Timestamp,HeartRate
450,63
1460,63
2468,63
3278,63
4274,63
5274,63
6251,63
7263,63
8262,63
9277,63
10079,63
11056,63
12053,63
13063,63
14072,63
15070,63
16070,63
16877,63
17855,63
18864,63
19868,63
20873,63
21854,63
22862,63
23673,63
24665,63
25676,63
26651,63
27659,63
28657,63
29500,63
30473,63
31470,63
32455,63
33455,63
34469,63
35465,63
36306,63
37278,63
38269,63
39257,63
40264,63
41268,63
42275,63
43262,63
44072,63
45066,63
46073,63
47069,63
48068,63
49057,63
49899,63
50869,63
51867,63
52869,63
53853,63
54861,63
55861,63
56698,63
57677,63
58671,63
59662,63
