Timestamp,HeartRate
670,167
1681,167
2667,167
3661,167
4666,167
5677,167
6503,167
7477,167
8462,167
9466,167
10471,167
11479,167
12459,167
13468,167
14466,167
15275,167
16275,167
17275,167
18263,167
19272,167
20274,167
21110,167
22089,167
23066,167
24067,165
25071,167
26082,167
27071,167
28063,167
29067,167
29879,167
30876,167
31862,167
32862,167
33872,167
34873,167
35882,167
36859,167
37677,167
38662,167
39678,167
40676,167
41658,167
42663,167
43666,166
44500,166
45483,166
46475,166
47464,166
48466,166
49479,166
50474,166
51476,166
52294,166
53274,166
54270,167
55277,167
56272,167
57272,167
58268,167
59270,167
