Timestamp,Pulse
5,35782
101,35743
148,35726
198,35801
292,35362
340,33543
437,32426
491,32359
533,32557
630,33490
679,35065
728,35678
823,35809
872,35783
968,35817
1016,35962
1064,35986
1162,35745
1210,35258
1258,33222
1354,32543
1404,32361
1504,32590
1549,33749
1599,35519
1703,35997
1744,35890
1790,35655
1887,35793
1935,35782
2032,35721
2079,35833
2127,35302
2224,33316
2273,32639
2372,32326
2419,32484
2468,33740
2564,34865
2614,35723
2662,35718
2758,35844
2805,35805
2906,35860
2953,35992
3003,35900
3097,34899
3147,33273
3193,32508
3290,32320
3338,32494
3434,33360
3487,34980
3531,35838
3627,36005
3678,35849
3725,35635
3820,35753
3870,35788
3965,35628
4015,34587
4064,32908
4160,32515
4207,32351
4316,32704
4353,33685
4404,35332
4499,35807
4546,35717
4595,35715
4695,35860
4743,35800
4836,35848
4885,35943
4932,34628
5035,33522
5077,32677
5133,32353
5223,32668
5273,33572
5370,35004
5416,35778
5466,35921
5560,35992
5611,35826
5658,35645
5754,35777
5803,35746
5902,34863
5949,33300
5996,32437
6093,32343
6142,32588
6239,33579
6288,34906
6335,35758
6432,35848
6480,35758
6528,35781
6625,35880
6675,35801
6770,35832
6817,34638
6867,33219
6963,32548
7015,32322
7060,32739
7157,33585
7206,35270
7305,35837
7350,35824
7399,35963
7495,35940
7543,35808
7592,35656
7688,35611
7738,34497
7833,33092
7883,32531
7929,32234
8026,32693
8074,33881
8172,35833
8220,35742
8268,35762
8367,35779
8413,35696
8463,35837
8558,35866
8606,35776
8707,34758
8752,33347
8801,32604
8903,32349
8944,32535
8993,33254
9093,34780
9140,35877
9234,35761
9282,35898
9330,36024
9427,35768
9475,35705
9523,35808
9620,34821
9669,33250
9764,32359
9813,32253
9861,32533
9959,33661
10007,35238
10106,35662
10151,35780
10202,35777
10297,35723
10346,35762
10393,35801
10493,35740
10538,35146
10635,32990
10681,32401
10731,32386
10827,32703
10875,33730
10972,35651
11021,35799
11070,35801
11166,35895
11217,35932
11261,35768
11359,35648
11408,35800
11511,34854
11552,33197
11601,32395
11699,32266
11747,32666
11796,34288
11889,35717
11944,35670
12035,35819
12083,35784
12134,35697
12228,35832
12276,35800
12325,35858
12422,34755
12469,33195
12566,32527
12615,32319
12663,32636
12760,33927
12809,35307
12908,35844
12954,35810
13001,35953
13097,35886
13145,35711
13193,35731
13290,35628
13344,34564
13434,32798
13483,32342
13530,32219
13628,32844
13677,33973
13773,35633
13821,35743
13869,35804
13965,35713
14018,35776
14063,35811
14159,35818
14211,35932
14308,35235
14352,32994
14403,32587
14496,32369
14544,32791
14594,34177
14694,35250
14737,35793
14835,35913
14884,35990
14930,35729
15028,35679
15076,35770
15172,35684
15221,34487
15269,33085
15366,32393
15414,32274
15461,32762
15558,33714
15607,35237
15707,35706
15752,35798
15800,35707
15897,35759
15946,35801
15994,35785
16096,35785
16139,34312
16235,32913
16284,32466
16332,32338
16429,32757
16476,33850
16525,35719
16622,35801
16671,35868
16767,35956
16815,35878
16863,35678
16959,35739
17009,35802
17106,34243
17158,32955
17203,32421
17309,32355
17346,33034
17396,33723
17492,35567
17540,35705
17636,35784
17684,35746
17733,35777
17829,35828
17882,35816
17925,35904
18025,34699
18071,33147
18167,32473
18220,32369
18264,32624
18365,33696
18408,35534
18509,35783
18554,35854
18605,35954
18700,35847
18747,35730
18795,35811
18891,35542
18944,34071
19036,32847
19084,32332
19132,32303
19229,32807
19278,33931
19325,35640
19421,35742
19470,35768
19567,35739
19616,35808
19663,35869
19760,35854
19809,35647
19909,34982
19954,32867
20003,32550
20099,32389
20149,32856
20195,33783
20291,35749
20341,35804
20435,35991
20484,35944
20532,35716
20629,35735
20678,35813
20728,35712
20823,34564
20874,33107
20969,32418
21015,32360
21066,32797
21159,33930
21215,35565
21312,35884
21354,35747
21402,35745
21499,35877
21549,35821
21595,35932
21692,35758
21741,34425
21837,32909
21886,32468
21933,32368
22035,32683
22078,34253
22125,35805
22223,35835
22273,35965
22368,36008
22415,35811
22465,35713
22562,35836
22611,35497
22658,34321
22754,32944
22804,32339
22899,32367
22949,33026
22998,34250
23101,35695
23141,35786
23239,35879
23287,35723
23335,35842
23431,35811
23483,35870
23527,35889
23627,34713
23673,32994
23769,32497
23823,32461
23865,32925
23966,34522
24010,35811
24060,35793
24155,35894
24204,35967
24306,35840
24349,35757
24402,35733
24494,35648
24543,34200
24638,32893
24687,32392
24738,32282
24832,32870
24880,34121
24928,35626
25025,35716
25073,35780
25170,35775
25219,35763
25266,35916
25363,35762
25412,35573
25460,34091
25557,32825
25606,32476
25708,32384
25750,32974
25799,34114
25895,35813
25945,35832
25992,35797
26089,35997
26135,35856
26233,35742
26282,35775
26330,35726
26426,34522
26477,32832
26571,32358
26620,32360
26669,33158
26764,34658
26812,35635
26859,35729
26959,35818
27009,35734
27105,35764
27150,35797
27200,35827
27295,35752
27346,34427
27394,33060
27488,32442
27543,32384
27633,32678
27681,34132
27730,35724
27826,35819
27880,35887
27971,35969
28020,35829
28067,35718
28164,35822
28213,35553
28261,34357
28357,32996
28406,32299
28506,32322
28552,32948
28598,34182
28695,35626
28744,35781
28792,35771
28888,35719
28938,35830
29033,35854
29082,35833
29129,35902
29226,34515
29275,32739
29371,32407
29419,32450
29468,33104
29565,34135
29616,35815
29661,35814
29757,35965
29808,35956
29906,35693
29950,35750
30001,35817
30095,35555
30148,33915
30192,32837
30290,32406
30343,32416
30433,32906
30481,34216
30529,35702
30626,35803
30674,35763
30771,35768
30819,35820
30867,35866
30963,35908
31012,35622
31059,33836
31157,32793
31205,32395
31305,32352
31350,32929
31400,34030
31495,35744
31544,35912
31591,35955
31689,35780
31736,35710
31833,35805
31881,35740
31928,35431
32025,34013
32073,32573
32171,32400
32221,32496
32267,33131
32363,34376
32415,35735
32460,35743
32557,35724
32606,35830
32707,35763
32749,35928
32795,36010
32897,35576
32944,34206
33038,32955
33087,32418
33136,32442
33232,32736
33279,33280
33329,33310
33425,35851
33473,35825
33575,35714
33618,35752
33666,35772
33762,35698
33812,35828
33859,34631
33955,33404
34009,32627
34105,32377
34150,32529
34198,33579
34293,34279
34343,34265
34439,34295
34486,34297
34535,34335
34632,34415
34680,34416
34728,34245
34825,34316
34875,34313
34970,34318
35017,35686
35066,35786
35163,35854
35214,35944
35259,35916
35356,35737
35404,35759
35503,35720
35547,34248
35598,32774
35694,32334
35745,32468
35839,33337
35886,33920
35938,35432
36032,35712
36083,35824
36127,35745
36228,35763
36276,35823
36370,35774
36418,35574
36466,34068
36568,32859
36614,32396
36663,32268
36756,32868
36805,33956
36907,35837
36950,35804
37000,35775
37095,36006
37149,35846
37195,35667
37290,35714
37337,35222
37433,33628
37481,32779
37529,32330
37625,32326
37674,33069
37771,34680
37820,35706
37867,35698
37963,35770
38012,35740
38060,35733
38157,35800
38206,35791
38303,35545
38350,34331
38400,32946
38503,32353
38545,32512
38592,33031
38689,34486
38736,35709
38834,35750
38884,35858
38930,35919
39026,35878
39076,35654
39171,35794
39219,35407
39268,33882
39363,32787
39416,32257
39459,32390
39558,33027
39603,34876
39707,35634
39755,35730
39799,35739
39899,35716
39942,35838
40039,35745
40088,35888
40135,35492
40237,33772
40280,32732
40328,32285
40425,32385
40474,33002
40575,34472
40618,35757
40666,35834
40763,35982
40812,35739
40859,35671
40955,35765
41006,35683
41104,35275
41150,33769
41198,32519
41293,32263
41342,32522
41437,33260
41489,34650
41535,35782
41631,35672
41679,35746
41727,35870
41824,35748
41874,35904
41969,35932
42017,35420
42065,33872
42161,32701
42212,32376
42259,32438
42355,33249
42405,35099
42503,35852
42549,35955
42597,35781
42692,35673
42745,35713
42837,35789
42885,35740
42939,35247
43031,33569
43079,32603
43126,32346
43227,32415
43272,33109
43369,34407
43416,35674
43465,35765
43566,35772
43613,35789
43657,35912
43755,35908
43802,35726
43903,35122
43947,33864
43996,32457
44092,32304
44140,32468
44236,33247
44285,34993
44332,35887
44430,35726
44479,35697
44526,35729
44622,35686
44671,35719
44767,35837
44816,35376
44863,33765
44960,32776
45008,32391
45107,32341
45153,33435
45202,34169
45299,35756
45349,35793
45398,35794
45492,35900
45540,35894
45636,35672
45684,35712
45732,35181
45830,33464
45879,32588
45927,32222
46023,32367
46071,33093
46168,34586
46218,35734
46265,35660
46360,35741
46413,35707
46507,35721
46556,35805
46605,35778
46704,35577
46753,33853
46796,32532
46895,32330
46941,32481
47037,33325
47085,34713
47133,35702
47231,35812
47280,35794
47328,35826
47424,35897
47475,35769
47573,35665
47617,35380
47666,33891
47763,32525
47811,32260
47858,32242
47955,33320
48008,34420
48103,35872
48149,35722
48198,35702
48295,35763
48341,35714
48439,35737
48488,35783
48536,35206
48633,33582
48681,32681
48736,32380
48825,32420
48874,33081
48970,34351
49019,35706
49068,35771
49164,35776
49212,35791
49261,35857
49357,35920
49411,35766
49506,35060
49552,33630
49599,32588
49695,32276
49744,32444
49792,33200
49888,34847
49937,35925
50033,35754
50080,35689
50129,35759
50227,35705
50276,35750
50372,35806
50419,35146
50468,33674
50566,32658
50616,32402
50662,32564
50760,33406
50806,34826
50906,35659
50953,35773
51000,35802
51096,35761
51145,35931
51194,35867
51290,35708
51338,35122
51434,33625
51484,32674
51530,32286
51627,32569
51676,33208
51772,34369
51819,35876
51869,35769
51968,35645
52016,35736
52064,35720
52158,35659
52211,35806
52306,35415
52352,33328
52400,32588
52502,32288
52550,32534
52593,33211
52693,34711
52738,35619
52834,35772
52883,35806
52930,35744
53029,35928
53075,35928
53127,35662
53221,35063
53269,33323
53366,32851
53415,32296
53463,32441
53558,33499
53608,34520
53706,35989
53752,35797
53804,35712
53898,35771
53946,35712
53993,35721
54095,35777
54139,35332
54235,33605
54284,32706
54331,32377
54429,32370
54477,33063
54524,34229
54622,35701
54671,35767
54766,35811
54813,35851
54863,35891
54959,35889
55008,35696
55114,34945
55153,33387
55201,32642
55297,32302
55346,32416
55395,33290
55490,34884
55541,35823
55635,35762
55684,35693
55733,35814
55828,35734
55876,35811
55925,35847
56020,34929
56069,33884
56165,32793
56219,32354
56261,32598
56359,33319
56411,35064
56508,35758
56558,35859
56601,35794
56699,35908
56745,35978
56795,35739
56890,35722
56937,35267
57033,33600
57082,32715
57131,32306
57228,32424
57277,33281
57325,34828
57427,35846
57472,35724
57566,35809
57615,35760
57663,35735
57763,35785
57809,35825
57908,35056
57955,33559
58001,32649
58103,32347
58147,32528
58195,33306
58292,34646
58343,35728
58436,35875
58484,35815
58532,35815
58630,35999
58680,35877
58726,35672
58823,34870
58871,33389
58968,32580
59017,32327
59065,32518
59163,33522
59209,35218
59255,36022
59353,35786
59401,35715
59500,35846
59545,35688
59596,35765
59691,35748
59739,34896
59837,33668
59884,32690
59933,32396
