Timestamp,HeartRate
685,73
1506,73
2486,73
3490,74
4475,75
5477,75
6473,75
7310,75
8281,75
9290,75
10286,75
11287,75
12273,75
13110,75
14084,75
15082,75
16083,75
17085,73
18092,75
18903,75
19877,75
20873,75
21876,75
22885,74
23887,75
24698,75
25671,75
26672,75
27672,74
28674,74
29681,75
30491,75
31484,75
32489,73
33473,75
34472,75
35477,75
36293,75
37247,75
38224,73
39233,74
40233,74
41231,74
42233,73
43044,73
44043,74
45026,75
46026,75
47028,75
48031,75
48844,75
49841,75
50839,75
51838,75
52826,75
53830,75
54634,75
55638,75
56637,75
57638,75
58642,75
59450,75
