Timestamp,HeartRate
166,68
1160,68
1990,68
2957,68
3945,68
4958,68
5962,68
6958,68
7783,67
8764,67
9742,67
10752,67
11751,67
12755,67
13579,67
14559,67
15565,67
16541,67
17547,68
18552,68
19373,68
20364,68
21363,68
22358,68
23362,68
24349,68
25168,68
26154,67
27157,67
28161,67
29162,67
29997,67
30971,67
31951,67
32951,67
33948,67
34953,67
35797,68
36766,68
37759,68
38748,68
39752,68
40747,68
41587,68
42565,68
43558,68
44557,68
45559,67
46547,67
47549,67
48358,67
49361,67
50355,67
51359,67
52366,67
53345,67
54147,68
55146,68
56148,68
57167,68
58158,68
58969,68
59960,68
