Timestamp,HeartRate
477,69
1472,69
2472,69
3283,69
4256,69
5268,69
6264,69
7267,69
8272,69
9082,69
10067,69
11058,69
12058,69
13060,69
14071,69
14882,69
15866,69
16877,69
17853,69
18871,69
19867,69
20685,69
21662,69
22671,69
23671,69
24671,69
25653,69
26492,69
27469,69
28461,69
29465,69
30473,69
31480,69
32302,69
33268,69
34258,69
35262,69
36261,69
37265,69
38270,69
39081,69
40071,69
41071,69
42056,69
43057,69
44071,69
44879,69
45867,69
46879,69
47871,69
48858,69
49862,69
50682,69
51664,69
52670,69
53668,69
54674,69
55678,69
56485,69
57470,69
58463,69
59464,69
