Timestamp,Pulse
23,5968
69,5412
166,5412
219,6158
263,7524
359,8797
412,8818
505,8906
552,8833
604,8851
699,8823
747,8818
795,8155
893,6520
941,5788
1038,5348
1088,5611
1135,6547
1232,8455
1280,8963
1329,8862
1426,8857
1476,8811
1571,8878
1624,8823
1668,8861
1765,8707
1815,7640
1862,6159
1964,5520
2009,5411
2104,6911
2152,7670
2205,8727
2308,8878
2347,8833
2396,8788
2494,8839
2542,8828
2638,8870
2687,8637
2735,7287
2831,6014
2881,5458
2929,5384
3026,5962
3074,7211
3172,8870
3221,8827
3268,8846
3365,8800
3413,8851
3462,8821
3559,8809
3614,8344
3706,6654
3753,5640
3803,5277
3899,5436
3947,6136
3996,7459
4092,8851
4141,8819
4238,8755
4287,8875
4334,8781
4438,8878
4481,8790
4531,8883
4626,7492
4679,5682
4777,5474
4820,5487
4871,6554
4965,7888
5019,8988
5063,8873
5162,8859
5213,8856
5306,8778
5358,8857
5405,8811
5499,8787
5550,7605
5596,6165
5693,5522
5742,5354
5838,5788
5887,7285
5936,8723
6032,8857
6080,8825
6129,8828
6226,8774
6276,8801
6371,8869
6423,8685
6469,7374
6566,6005
6622,5479
6663,5384
6760,5951
6812,7246
6906,8829
6954,8841
7003,8797
7098,8777
7149,8884
7196,8782
7294,8853
7343,8669
7439,7627
7488,5451
7536,5287
7632,5414
7683,6062
7730,7430
7827,8846
7874,8800
7972,8864
8023,8813
8069,8876
8166,8782
8215,8861
8264,8818
8360,8005
8410,6322
8457,5311
8554,5539
8611,6461
8704,8063
8749,8876
8797,8821
8893,8828
8943,8825
8993,8848
9088,8824
9135,8868
9232,8739
9282,7654
9333,6216
9427,5515
9476,5368
9524,5762
9625,7672
9669,8547
9766,8776
9820,8849
9864,8825
9965,8850
10016,8829
10060,8799
10153,8705
10208,7275
10302,6057
10349,5490
10399,5395
10495,5936
10543,7209
10591,8783
10689,8854
10738,8840
10833,8852
10883,8779
10931,8801
11029,8840
11076,8927
11126,6901
11221,5610
11270,5311
11369,5443
11422,6166
11465,7432
11561,8810
11614,8876
11658,8812
11757,8795
11809,8850
11901,8787
11949,8885
11998,8799
12095,7923
12144,6227
