Timestamp,Pulse
17,38298
62,38959
112,40849
208,42772
258,42685
360,41266
404,43046
452,41706
549,38955
604,38667
647,37858
747,41424
792,42355
843,42396
938,42400
988,42328
1084,42864
1138,39619
1183,38285
1280,38664
1327,40836
1377,42267
1474,42417
1524,41605
1620,43439
1668,41769
1717,39839
1815,38280
1865,38413
1913,41344
2010,42306
2059,42393
2108,42419
2205,42337
2255,42102
2350,40054
2399,38394
2450,38569
2544,39812
2594,41834
2648,42382
2743,42396
2790,43167
2886,41394
2935,41472
2984,38493
3081,38239
3129,39488
3178,42077
3276,42357
3324,42364
3422,42375
3470,42366
3519,40810
3623,38646
3665,37834
3716,39960
3811,40957
3865,42128
3907,42429
4008,42366
4055,41617
4151,41670
4204,38601
4255,38751
4347,38270
4394,41037
4447,42385
4541,42334
4589,42339
4686,42339
4737,41855
4784,39262
4882,38255
4933,38744
4979,40903
5076,42389
5131,42826
5173,41287
5270,42246
5320,41550
5417,39446
5465,38779
5514,38710
5611,40243
5661,41681
5710,42291
5806,42418
5855,42330
5950,41236
6000,39672
6050,38945
6147,38292
6197,39922
6244,43260
6341,41922
6391,42743
6486,42335
6537,41992
6584,40400
6682,38318
6731,38353
6779,40052
6883,42123
6924,41690
6974,42386
7070,42345
7123,42368
7222,40836
7267,38411
7317,38213
7412,39844
7460,41678
7508,42307
7606,42388
7659,41647
7752,43219
7800,40527
7851,38587
7948,37972
7997,39405
8046,42022
8143,42347
8190,41633
8288,43449
8338,42140
8385,41032
8482,38713
8530,37795
8579,38992
8677,40743
8726,42374
8774,41304
8871,43040
8919,42436
9017,42909
9065,39048
9114,38938
9211,38796
9260,41728
9309,42425
9406,42395
9455,41591
9551,42370
9603,41768
9651,40009
9747,37652
9795,38797
9844,40211
9941,42342
9991,42384
10086,42328
10137,42827
10185,41321
10281,40515
10331,38395
10379,38517
10483,39969
10526,42240
10573,42370
10670,42205
10720,41858
10822,43138
10865,39821
10915,38534
11012,37657
11059,39636
11107,42123
11208,41990
11254,42761
11351,41376
11401,42333
11448,40376
11548,37841
11595,38246
11648,38290
11744,41726
11789,42350
11886,42397
11937,42384
11984,43186
12081,41120
12129,38421
12178,38156
12276,38984
12325,41173
12422,42370
12470,42053
12519,42195
12617,42255
12668,41638
12714,41404
12811,39511
12859,38352
12908,39855
13005,42061
13055,42372
13150,42337
13200,42420
13253,42338
13349,40954
13397,38587
13447,38858
13542,39095
13591,41587
13686,43370
13735,41732
13784,42362
13882,41597
13933,40977
13979,38541
14076,38272
14125,38923
14222,42224
14271,42811
14319,42269
14416,42428
14464,42183
14514,41412
14611,38699
14660,37843
14707,39351
14808,41146
14854,42378
14951,42368
15000,42331
15049,42353
15146,41776
15197,39386
15245,38174
15340,38848
15389,40731
15486,42380
15540,42433
15584,43225
15681,42396
15729,42382
15778,39501
15876,38494
15925,38979
16022,40350
16070,42278
16119,42358
16216,42457
16265,42069
16313,43097
16411,39529
16470,38639
16506,38397
16605,40106
16656,42178
16751,42391
16800,42385
16851,42219
16947,43173
16997,40311
17054,38461
17142,38502
17190,40293
17286,41237
17336,42370
17384,42401
17484,42387
17530,42352
17579,40737
17676,38742
17724,38544
17822,38304
17871,41363
17919,42344
18016,43334
18064,41856
18115,42220
18210,41764
18259,38662
18307,38193
18409,39150
18460,41658
18551,42288
18600,41777
18649,42355
18749,42354
18795,41149
18847,38908
18941,37689
18989,38833
19089,39951
19137,42329
19184,42414
19281,43260
19329,42410
19379,41152
19478,39394
19527,37739
19621,39390
19669,40972
19719,42333
19817,41514
19866,42967
19914,42315
20011,41672
20059,39550
20109,37465
20205,38641
20257,40305
20350,42221
20400,42311
20449,42580
20545,42419
20599,42116
20646,39960
20743,38306
20790,38062
20886,39774
20938,42291
20984,42390
21082,42439
21131,42361
21180,41418
21277,40067
21325,38472
21373,38217
21470,39768
21520,42013
21617,42324
21665,42389
21715,41454
21811,43086
21860,40646
21908,38817
22010,38017
22054,39449
22152,42030
22207,42398
22256,42360
22349,42447
22397,42996
22447,41541
22544,38712
22590,38212
22688,38738
22738,41483
22785,41538
22884,43169
22931,42339
22980,41534
23078,41833
23126,38989
23174,39048
23272,38626
23322,40823
23418,43303
23471,42262
23515,42561
23614,42212
23665,41904
23710,38849
23808,38534
23856,38662
23954,40970
24004,42347
24051,41563
24148,43151
24197,42434
24245,41602
24350,39424
24393,37809
24442,39361
24539,40544
24587,41477
24683,43360
24733,42392
24781,43239
24878,41523
24927,40549
24978,37525
25073,38944
25123,40343
25219,42357
25271,42422
25317,43283
25414,42462
25462,42368
25511,38969
25608,38365
25658,38343
25754,39748
25802,42203
25852,41563
25949,42241
26000,42385
26049,41564
26151,40693
26193,39141
26247,38236
26339,39210
26388,42253
26491,41347
26533,42338
26583,42488
26679,41521
26731,40915
26777,38677
26875,37995
26924,39595
27019,42157
27069,41955
27117,42978
27215,41695
27264,42920
27311,41236
27409,38728
27458,37735
27554,38819
27604,40553
27654,42048
27749,42243
27798,41811
27846,42431
27944,41165
27993,39424
28042,38313
28138,38624
28189,40745
28284,43225
28339,41813
28381,42371
28483,42603
28528,41666
28577,39407
28673,38936
28723,38668
28822,39873
28870,42282
28917,42377
29013,42251
29062,42876
29110,41420
29208,40404
29258,37867
29354,38322
29403,40382
29451,42331
29548,42371
29598,42371
29645,42363
29744,42985
29792,40260
29847,39009
29942,38274
29992,39814
30083,42218
30132,42959
30182,42396
30278,42386
30331,42398
30375,40072
30473,39198
30521,37675
30618,39249
30666,41205
30716,42316
30814,42349
30865,42367
30911,43423
31008,41501
31056,38865
31154,37402
31203,39236
31255,41702
31349,42603
31397,42364
31447,41371
31543,42940
31593,41102
31687,38872
31738,38685
31786,38562
31881,40626
31934,42337
31978,42375
32079,42426
32129,42387
32177,41677
32273,39266
32327,38245
32419,38521
32467,39994
32518,42285
32613,42421
32661,41767
32710,42284
32809,42398
32858,39150
32953,39100
33002,38619
33051,39789
33148,43254
33197,42389
33245,42414
33346,41540
33391,42541
33488,39855
33540,37966
33586,39030
33687,39688
33732,41764
33780,42206
33878,42394
33928,43022
33975,42498
34073,40393
34121,37910
34218,39047
34267,40222
34315,42217
34416,42353
34463,42395
34511,43419
34607,41340
34658,40411
34757,38404
34802,38808
34855,39440
34948,41731
35002,41837
35049,42760
35144,42390
35192,42390
35288,40066
35338,38712
35386,38219
35483,39357
35533,41323
35580,41461
35678,43221
35727,42382
35775,42376
35873,41491
35922,38980
36019,37541
36066,38847
36117,41854
36213,42335
36265,42363
36310,42392
36409,42347
36455,41599
36553,39223
36606,37773
36653,38754
36749,40217
36799,42346
36847,42398
36944,42416
36992,41716
37047,43148
37138,39472
37187,38337
37285,38570
37335,40553
37381,42251
37478,42372
37528,42363
37577,41265
37678,42038
37722,39854
37820,37621
37869,38797
37917,39630
38017,42199
38063,42323
38113,42359
38209,42365
38259,41622
38355,40681
38407,38729
38452,38324
38549,39381
38600,42557
38646,42497
38745,42336
38794,42405
38846,42382
38942,40863
38988,39040
39085,37446
39134,39140
39182,41864
39279,42304
39328,42383
39379,42303
39474,43154
39527,41211
39620,38808
39668,38272
39719,38979
39814,40310
39863,42341
39912,42237
40011,42374
40060,42366
40108,41991
40204,39022
40255,37763
40349,39293
40400,41073
40454,41592
40548,42363
40593,42327
40644,41311
40740,41781
40788,39419
40885,38263
40935,39071
40983,40582
41080,42288
41136,42401
41177,42336
41279,41556
41324,42116
41421,38771
41474,38614
41517,38627
41616,39775
41664,41738
41713,42208
41810,42428
41860,42341
41907,41157
42004,40576
42054,38798
42151,37781
42199,39712
42247,42699
42345,42373
42394,41714
42443,43344
42539,42265
42588,41048
42688,38587
42738,38243
42782,39415
42880,42246
42929,42802
42977,42367
43074,41979
43128,42007
43221,41229
43268,38218
43320,38857
43414,39233
43463,42110
43511,42499
43609,42218
43667,42422
43755,42336
43804,41122
43852,38684
43953,38894
44001,38906
44049,41642
44145,42336
44196,42343
44253,42322
44339,42015
44389,41342
44485,39031
44537,37784
44582,38839
44681,41063
44728,42350
44777,43449
44879,42345
44923,42342
45020,41959
45070,39626
45117,38310
45220,39262
45264,40247
45311,42245
45409,42348
45457,41674
45560,43419
45603,42185
45654,40199
45750,37471
45799,38423
45847,39161
45947,42893
45993,42386
46043,42362
46139,42725
46189,42655
46285,38866
46335,38961
46383,37809
46480,39777
46530,41212
46578,42328
46677,41947
46725,42703
46821,42285
46868,40019
46918,38576
47015,38250
47065,39073
47112,41886
47210,42311
47259,42342
47309,42390
47404,42322
47455,41171
47550,37812
47599,38197
47653,39086
47745,42097
47792,41728
47847,43248
47940,41993
47987,42712
48086,40371
48135,39159
48183,38667
48280,38929
48331,41349
48378,43324
48475,42024
48523,42697
48621,42421
48671,41916
48719,38568
48816,38879
48864,38733
48913,41658
49010,42626
49060,42737
49107,41295
49209,42352
49253,41530
49350,40061
49400,38242
49454,38551
49547,40617
49594,41577
49647,43366
49740,42333
49789,42332
49889,41354
49934,40636
49984,38345
50080,38369
50131,39260
50178,42007
50277,43050
50325,42284
50421,42905
50466,42289
50518,40879
50615,38234
50665,38644
50713,40070
50810,42099
50859,42284
50907,43073
51004,42465
51053,41638
51150,41119
51199,38539
51250,38189
51345,39173
51394,41023
51443,42308
51539,42406
51590,42352
51686,42274
51739,40882
51783,37959
51881,38718
51932,38718
51979,41800
52075,42353
52124,42315
52220,43440
52271,42338
52319,41464
52416,38102
52466,38258
52512,39745
52610,40246
52661,42106
52708,43398
52809,42401
52853,42372
52951,42108
53001,38677
53048,38587
53146,38804
53194,41154
53249,42345
53344,42403
53388,41655
53486,42382
53536,41839
53585,39689
53681,38294
53732,38493
53779,40157
53876,42279
53925,42422
54022,42360
54072,42342
54119,42376
54217,39562
54266,38295
54314,38240
54411,40411
54459,42497
54508,41358
54605,42368
54656,42337
54753,43258
54801,40057
54856,38394
54946,38356
54995,39279
55044,43071
55141,42306
55189,43045
55286,42315
55335,41706
55383,40472
55481,38302
55530,38335
55578,38357
55676,42814
55728,41631
55822,43465
55869,42345
55921,42359
56016,40350
56068,39067
56113,38239
56211,39399
56260,42172
56308,42299
56404,42169
56453,42659
56551,42421
56601,41471
56648,38792
56745,38927
56795,38933
56845,41133
56941,42727
56989,42713
57086,42420
57135,42998
57183,41527
57281,39514
57330,38237
57378,39479
57481,40805
57524,41581
57621,43439
57670,42325
57718,42355
57821,41231
57864,39792
57913,38969
58010,38708
58061,40589
58107,42250
58207,43098
58258,41585
58351,43397
58399,41753
58454,39345
58547,38984
58596,38384
58647,40059
58740,42270
58789,43102
58886,42244
58936,42485
58983,41466
59080,40005
59128,38437
59178,38280
59275,39500
59325,41668
59421,42664
59469,42406
59519,42364
59616,42266
59665,40143
59713,39165
59811,37870
59859,39987
59911,42297
