Timestamp,Pulse
27,40516
71,41939
119,43737
221,42513
271,42359
364,42792
412,42773
463,42721
558,40731
613,38750
656,38883
756,38519
802,39830
851,43714
948,42785
996,42019
1095,43804
1144,42772
1191,42797
1288,43250
1337,40902
1385,39032
1482,38435
1533,38554
1628,38688
1676,38836
1725,38526
1824,38702
1873,40741
1920,41672
2023,43533
2066,42720
2164,42723
2220,43150
2261,42984
2359,40708
2406,39608
2457,38559
2553,38488
2603,39067
2649,40628
2747,42557
2797,42734
2893,42895
2946,42159
2990,42785
3088,42718
3138,42106
3186,39522
3283,38765
3331,37888
3428,38962
3479,40494
3525,43450
3627,42122
3672,43241
3725,42773
3820,42063
3867,43455
3963,42201
4011,40114
4064,38814
4158,37634
4212,38715
4254,40377
4356,41708
4401,43023
4451,43923
4546,42364
4595,42476
4696,42698
4741,42824
4791,40627
4887,38941
4938,38416
4984,38774
5082,39886
5131,42254
5235,42829
5276,42757
5328,42842
5427,42962
5473,43084
5521,42769
5617,41152
5665,38727
5763,39170
5812,38638
5861,39341
5959,41423
6007,43234
6056,42765
6153,42738
6205,42785
6249,42723
6347,42819
6396,41787
6493,38201
6547,38475
6590,38593
6689,40057
6738,41588
6786,42764
6883,42061
6932,43115
7029,41751
7078,42792
7127,42636
7226,41479
7274,39588
7321,38488
7422,38367
7468,39508
7517,41292
7614,42336
7664,42473
7759,42676
7809,42686
7856,42939
7959,42126
8004,42031
8053,39993
8149,38210
8200,38229
8295,39052
8343,41096
8392,42720
8489,42787
8540,42803
8586,42809
8684,42792
8734,42451
8829,42728
8880,39804
8927,38681
9034,38434
9074,38916
9125,41205
9228,42388
9268,43232
9317,43683
9414,42772
9464,42804
9559,41849
9608,42883
9658,39594
9754,39175
9803,38073
9851,38746
9949,40213
9997,42301
10095,43164
10149,42788
10191,42828
10289,41871
10339,42782
10389,40979
10484,40468
10535,38871
10636,38450
10680,38344
10731,40276
10827,42568
10874,42775
10922,42817
11021,42753
11068,42731
11164,43831
11212,42467
11261,40471
11362,39604
11408,38040
11456,38586
11553,39720
11602,41915
11649,41724
11747,43200
11797,43115
11893,42786
11942,42764
11990,42810
12089,41186
12137,39291
12185,39168
12287,38518
12331,39704
12428,42353
12476,43229
12525,42952
12626,42985
12672,43273
12722,42755
12822,42731
12865,41512
12966,38240
13010,38777
13061,38705
13157,39714
13206,42003
13253,42762
13351,42763
13402,42842
13497,42794
13545,41670
13594,42497
13691,41583
13741,39973
13788,39387
13885,39277
13934,40075
13983,40636
14080,42726
14130,42782
14234,42703
14273,42737
14325,42785
14423,41900
14469,42705
14517,40729
14615,38546
14663,37843
14760,38927
14810,41369
14858,41610
14954,42959
15004,43113
15058,41755
15149,42828
15201,42797
15294,42573
15344,39654
15394,38625
15490,37624
15537,38378
15587,40525
15684,43475
15733,42807
15836,41740
15878,43224
15927,42997
16027,41841
16075,42556
16122,40276
16226,37914
16267,38966
16364,38698
16415,40125
16462,42217
16558,42733
16608,42777
16655,41775
16753,43079
16802,43195
16850,41672
16947,40316
16997,39625
17092,38434
17142,38281
17190,39736
17287,42818
17338,43186
17386,42015
17481,42791
17533,42777
17627,42856
17676,41986
17726,41279
17824,38899
17873,38078
17921,39328
18023,40446
18067,41977
18163,43791
18212,42738
18260,43639
18356,42712
18407,42767
18453,42781
18551,41466
18601,39567
18697,37522
18747,38895
18794,39662
18891,41528
18940,42792
