Timestamp,HeartRate
525,98
1527,98
2340,98
3317,98
4313,98
5328,98
6331,98
7333,98
8159,98
9129,98
10115,98
11132,98
12131,98
13128,98
14114,98
14950,98
15927,98
16928,98
17932,98
18913,98
19916,98
20935,98
21737,98
22730,98
23712,98
24714,98
25736,98
26727,98
27557,98
28537,98
29513,98
30525,98
31527,98
32529,98
33531,98
34519,98
35325,98
36322,98
37330,98
38336,98
39309,98
40323,98
41146,98
42129,98
43136,98
44114,98
45112,98
46120,98
47124,98
47940,98
48931,98
49914,98
50918,98
51929,98
52931,98
53932,98
54733,98
55721,98
56726,98
57725,98
58729,98
59712,98
