Timestamp,Pulse
18,36336
67,36261
115,35237
210,33779
260,33016
307,32755
402,32851
451,33531
548,34862
597,36220
645,36356
741,36359
790,36425
889,36519
934,36337
984,36258
1079,36249
1130,35641
1175,33711
1274,32947
1323,32690
1418,32812
1465,33514
1513,34595
1610,36217
1667,36384
1708,36328
1803,36304
1857,36349
1948,36343
1996,36416
2044,36554
2140,36150
2189,34612
2285,32998
2332,32752
2381,32698
2479,33115
2530,34257
2574,36263
2672,36560
2720,36343
2816,36231
2865,36343
2913,36268
3009,36274
3057,36367
3105,35631
3202,34157
3251,33140
3346,32721
3396,32742
3444,33531
3540,34479
3587,35799
3685,36398
3735,36341
3781,36437
3879,36516
3927,36306
3974,36259
4071,36345
4118,35681
4219,34094
4262,33401
4313,32787
4408,32673
4456,33014
4558,33752
4600,35403
4648,36336
4746,36227
4794,36326
4841,36327
4938,36354
4988,36449
5083,36500
5133,35988
5180,34423
5276,33231
5324,32759
5372,32651
5470,32976
5518,34360
5614,36318
5662,36466
5711,36263
5807,36221
5857,36324
5952,36244
6002,36292
6048,36356
6146,36177
6193,34930
6245,33395
6342,32860
6386,32714
6482,32996
6531,33819
6580,34967
6675,36320
6723,36325
6821,36442
6868,36488
6919,36251
7014,36248
7061,36266
7110,36268
7206,35089
7254,33508
7351,32788
7400,32616
7447,33032
7543,33779
7591,35279
7640,36344
7736,36209
7785,36374
7881,36285
7929,36366
7978,36495
8074,36413
8131,36217
8219,35420
8266,33835
8316,32894
8411,32611
8462,32831
8509,33603
8605,35296
8653,36313
8749,36242
8799,36260
8847,36311
8942,36193
8995,36294
9087,36368
9136,36249
9187,35852
9279,34106
9330,33054
9377,32764
9474,32739
9521,33227
9618,34731
9667,35805
9715,36346
9815,36412
9859,36503
9908,36232
10003,36246
10058,36263
10148,36221
10197,35920
10244,34201
10342,33147
10391,32693
10485,32720
10537,33327
10582,34459
10679,36297
10729,36198
10776,36427
10872,36308
10920,36321
11018,36573
11064,36355
11114,36232
11209,36123
11263,34658
11306,33309
11402,32720
11452,32627
11547,33007
11595,34322
11644,36099
11739,36168
11791,36321
11885,36219
11937,36235
11981,36322
12078,36326
12127,36339
12177,36367
12271,35041
12319,33523
12416,32861
12464,32670
12513,32967
12609,33966
12657,35688
12754,36351
12802,36446
12850,36351
12946,36204
12996,36270
13046,36286
13142,36221
13187,36347
13287,35453
13334,33520
13381,32933
13477,32673
13525,32909
13574,33635
13671,35201
13719,36209
13815,36335
13865,36300
13911,36321
14008,36539
14058,36345
14153,36151
14199,36106
14249,34881
14347,33511
14396,32790
14442,32583
14538,32895
14587,33756
14687,35110
14732,36170
14781,36264
14876,36270
14927,36235
14973,36320
15070,36307
15120,36298
15215,36334
15263,35685
15312,34232
15407,33149
15456,32691
15553,32661
15601,33293
15649,34527
15746,36284
15794,36419
15846,36497
15938,36304
15993,36212
16084,36329
16132,36287
16179,36233
16276,35292
16332,33571
16373,33107
16471,32688
16519,32964
16615,33104
16663,34186
16711,36086
16808,36225
16856,36351
16953,36337
17002,36335
17050,36479
17145,36444
17195,36235
17243,35799
17339,33991
17388,33176
17484,32677
17535,32692
17580,33132
17677,34276
17728,35922
17774,36327
17871,36189
17918,36278
18017,36232
18067,36259
18112,36335
18208,36344
18257,35833
18357,34218
18405,33126
18451,32783
18546,32731
18598,33247
18643,34115
18738,35188
18790,36282
18883,36306
18937,36444
18981,36423
19078,36256
19126,36233
19176,36307
19271,35949
19324,34469
19416,33207
19463,32654
19514,32639
19609,33137
19663,34198
19754,35755
19802,36279
19850,36211
19947,36264
19996,36337
20045,36257
20145,36350
20188,36470
20285,36274
20335,34835
20380,33443
20478,32802
20526,32615
20574,32785
20671,33950
20720,35582
20816,36493
20863,36397
20913,36158
21009,36279
21058,36283
21154,36211
21204,36289
21250,36288
21347,35283
21397,33592
21444,32893
21541,32693
21588,32905
21686,33740
21736,35235
21782,36234
21878,36352
21926,36339
21975,36329
22072,36507
22121,36329
22217,36165
22266,36054
22313,34831
22409,33569
22459,32799
22507,32601
22601,32769
22652,33566
22747,34978
22798,36193
22846,36210
22941,36358
22993,36197
23085,36314
23133,36350
23184,36298
23278,36405
23332,35821
23375,34270
23476,33108
23521,32743
23616,32657
23665,33288
23713,34597
23811,36238
23857,36422
23906,36469
24003,36326
24057,36222
24148,36260
24196,36294
24246,36176
24338,35475
24387,33537
24486,33045
24534,32783
24581,32710
24679,33161
24729,34272
24775,36055
24873,36238
24921,36269
25017,36338
25065,36296
25113,36491
25210,36413
25258,36239
25306,35801
25403,34146
25452,33123
25547,32662
25595,32680
25644,33112
25741,34328
25791,35978
25886,36132
25936,36298
25981,36244
26078,36184
26129,36351
26176,36259
26271,36359
26324,35935
26416,34402
26463,33518
26514,32751
26609,32705
26658,33078
26753,34273
26802,35325
26850,36293
26946,36495
26996,36394
27047,36248
27144,36269
27188,36321
27284,36173
27334,35985
27381,34389
27477,33111
27525,32751
27572,32679
27670,33194
27719,34288
27815,35778
27866,36260
27911,36308
28009,36312
28058,36332
28153,36453
28206,36450
28249,36184
28344,36140
28395,34741
28446,33324
28538,32891
28587,32594
28684,32771
28732,33964
28781,35942
28876,36182
28929,36218
28973,36328
29069,36164
29121,36321
29215,36290
29262,36330
29310,36535
29407,35235
29455,33611
29552,32840
29601,32679
29647,32895
29744,33835
29791,35526
29841,36225
29938,36465
29987,36352
30082,36198
30130,36265
30179,36228
30275,36199
30325,36092
30420,35471
30471,33718
30516,32967
30615,32701
30666,32868
30711,33517
30805,34861
30854,36190
30954,36295
30999,36258
31048,36365
31144,36431
31198,36316
31239,36173
31336,36236
31385,35677
31480,33893
31537,33004
31578,32587
31675,32684
31723,33471
31819,34745
31868,35848
31915,36228
32017,36238
32060,36190
32110,36256
32204,36248
32259,36302
32350,36470
32398,35856
32446,34253
32543,33148
32592,32655
32640,32606
32736,33161
32785,34379
32880,34706
32930,34832
32977,34735
33074,34633
33121,34742
33218,34667
33268,34611
33315,34664
33412,34677
33465,34713
33508,34866
33606,34789
33653,35662
33749,36259
33797,36267
33845,36133
33941,36324
33992,36255
34087,36290
34139,36396
34182,36300
34281,35442
34329,33916
34377,32843
34473,32651
34521,32859
34617,33595
34666,34466
34716,36239
34811,36289
34859,36197
34907,36228
35009,36212
35052,36182
35148,36296
35197,36272
35245,35560
35347,33931
35390,32978
35487,32670
35536,32775
35584,33456
35679,34699
35728,35883
35776,36297
35873,36328
35931,36462
36018,36277
36065,36158
36115,36272
36210,36172
36259,35712
36307,34061
36402,33021
36451,32589
36548,32631
36596,33315
36646,34481
36741,35862
36791,36186
36890,36179
36935,36260
36984,36245
37078,36363
37132,36410
37175,36235
37276,35891
37320,34433
37417,33185
37465,32672
37512,32553
37608,33048
37657,34359
37754,36308
37804,36099
37851,36215
37947,36187
37995,36162
38043,36257
38139,36243
38189,36268
38284,36200
38333,34830
38380,33332
38477,32759
38527,32586
38574,32833
38670,34005
38718,35764
38817,36321
38862,36375
38912,36218
