Timestamp,HeartRate
300,69
1272,69
2205,69
3222,69
4182,69
5146,69
6111,69
7081,69
8025,69
9026,69
9984,69
10951,69
11919,69
12890,69
13839,69
14830,69
15792,69
16758,69
17730,69
18699,69
19632,69
20633,69
21601,69
22570,69
23543,70
24511,68
25444,68
26448,70
27414,70
28378,68
29348,68
30340,70
31253,70
32258,70
33223,70
34189,70
35162,70
36149,68
37057,68
38071,69
39031,68
40003,69
40975,69
41953,68
42869,68
43880,68
44838,68
45811,68
46778,67
47754,67
48692,67
49680,67
50645,67
51622,68
52583,68
53562,68
54494,68
55485,68
56451,68
57421,68
58413,68
59366,68
