Timestamp,Pulse
425,1954809
427,1954745
429,1953887
430,1954221
430,1955981
431,1953321
432,1954871
432,1954557
434,2019443
435,1954955
900,1953929
902,1952943
902,1954703
903,1953991
904,1954411
904,1954599
905,1944459
906,1937313
906,1929835
907,1928199
1383,1929247
1385,1929813
1386,1928179
1387,1927257
1387,1933563
1388,1940163
1389,1952965
1390,2044333
1391,1953929
1392,1954221
1863,1953237
1865,1953887
1865,1954347
1866,1954577
1867,1954515
1867,1943725
1868,1934443
1870,1982401
1871,1928221
1872,1928137
2355,1931993
2357,1941105
2358,1952525
2359,1954703
2360,1954221
2361,1955249
2361,1954011
2362,1954305
2363,1865345
2363,1953279
2838,1953509
2840,1942007
2841,1932223
2842,1930127
2843,1928283
2843,1937921
2844,1933585
2845,1945695
2845,1954389
2846,1953573
3331,1954829
3333,1953697
3334,1954011
3334,1954221
3335,1955437
3336,1868405
3337,1947663
3339,1937691
3340,1932683
3343,1928515
3803,1928535
3805,1927697
3806,1934297
3807,2029583
3807,1954619
3808,1954473
3809,1953907
3810,1953929
3811,1954179
3811,1954095
4298,1958999
4300,1954619
4301,1945045
4301,1934423
4302,1931783
4303,1928367
4304,1928263
4304,1930043
4305,1939891
4305,1954369
4775,1954201
4776,1952839
4777,1954389
4778,1953929
4779,1954263
4780,1955059
4780,1863355
4782,1990949
4783,1943599
4783,1931469
5259,1928745
5261,1922731
5262,1929667
5263,1934087
5264,2023633
5265,1953949
5265,1954431
5266,1954305
5267,1951519
5268,1974377
5743,1953929
5744,1954075
5746,1953907
5746,1954451
5747,1937251
5748,1932033
5749,1928451
5750,1927885
5750,1930421
5751,1934275
6231,1951205
6232,1954011
6233,1954473
6234,1954327
6235,1954557
6236,1956337
6237,1954347
6237,1954473
6238,1954389
6239,1947455
6712,1934255
6713,1928745
6714,1928871
6715,1928431
6716,1933437
6716,1934025
6717,1953655
6718,1953971
6719,1955101
6720,1954891
7194,1954243
7195,1954767
7196,1954725
7197,1954683
7198,1954451
7199,1965535
7200,1933941
7200,1930107
7201,1928137
7202,1928871
7675,1933751
7677,1940477
7678,1953739
7679,1955081
7680,1955835
7680,1954515
7681,1954305
7682,1955185
7682,1954201
7683,1954619
8166,1953173
8167,1942551
8168,1930421
8169,1929959
8170,1927781
8171,1930315
8171,1935051
8172,1944751
8173,1954369
8173,1952085
8640,1953971
8642,1954871
8643,1954851
8643,1954095
8644,1955605
8645,1955771
8645,1947789
8646,1938109
8646,1931489
8647,1929101
9139,1927445
9141,1932935
9142,1940079
9144,1951959
9145,1955311
9145,1954683
9146,1954411
9147,1954913
9147,1953363
9148,1954619
9610,1955143
9613,2017913
9614,1945883
9615,1862559
9616,1928913
9618,1928681
9619,1929771
9620,1932935
9621,1940939
9622,1954641
10104,1954745
10105,1954829
10107,1954515
10107,1954577
10108,1954683
10109,1955165
10110,1954745
10111,1950031
10112,1939367
10113,1932789
10575,1928263
10577,1928117
10578,1930483
10579,1934611
10580,1942971
10580,1954095
10581,1955207
10582,1954683
10583,1996857
10584,1864089
11069,1954891
11071,1955311
11072,1916907
11073,1978315
11074,1934799
11075,1929645
11076,1929143
11076,1929121
11077,1930043
11077,1939869
11552,1950911
11554,1953865
11555,2045633
11556,1954891
11557,1954201
11558,1954473
11559,1955101
11560,1955165
11561,1955185
11562,1860381
12035,1995475
12037,1929981
12038,1928891
12039,1929667
12040,1934653
12041,1941629
12041,1954033
12042,1955101
12042,1956275
12043,1954285
12516,1954095
12518,1864675
12520,1956421
12521,1955059
12521,1949863
12522,1940205
12522,1931971
12523,1930127
12524,1928703
12525,1997905
13006,1921893
13008,1950765
13009,1954243
13010,1955081
13011,1955101
13011,1954493
13012,1952253
13013,1954305
13013,1955457
13014,1955227
13490,1948941
13491,1931237
13492,1930945
13493,1928493
13494,1927885
13494,1930651
13495,1941503
13496,1953195
13496,1953823
13497,1955961
13974,2043139
13975,1955227
13976,1954809
13977,1954577
13978,1955521
13979,1951015
13980,1955039
13981,1932683
13981,1930421
13982,1928431
14455,1929981
14457,1933961
14459,1902493
14460,1957343
14461,1955751
14461,1955625
14462,1956485
14463,1955123
14463,1954557
14464,1954703
14941,1956023
14942,1949025
14943,1937041
14944,1931887
14944,1929875
14945,1928577
14946,1929729
14946,1936119
14947,1996417
14948,1955291
15422,1954891
15423,1954619
15424,1954787
15425,2020659
15426,1954745
15427,1955039
15428,1954431
15429,1878525
15430,1935449
15431,1929583
15916,1929499
15917,1928933
15919,1933249
15920,1938633
15921,1953447
15922,1971297
15923,1953739
15924,1954913
15924,1955143
15925,1954159
16385,1956589
16387,1954515
16389,1955269
16390,1941127
16391,1934003
16392,1929561
16392,1928263
16393,1930525
16393,1934297
16394,1950387
16885,1954411
16886,1954053
16887,1955919
16889,1866791
16890,1954243
16890,1954535
16892,1954913
16893,1954599
16893,1947287
16894,1938739
17363,1931029
17364,1928389
17365,1928577
17366,1999287
17366,1935659
17367,1950135
17368,1955647
17369,1993443
17369,1955249
17370,1954473
17848,1954327
17850,1954829
17850,1954997
17851,1954641
17852,1948439
17853,1936517
17853,1930735
17854,1929227
17854,1928975
17855,1933605
18332,1864801
18334,1952713
18335,1955017
18335,1955437
18336,1955081
18337,1955101
18337,1955521
18338,1954933
18339,1958475
18340,1951455
18807,1947015
18809,1932705
18810,1929477
18811,1929017
18811,1930127
18812,1935575
