Timestamp,HeartRate
448,54
1410,54
2344,54
3353,54
4348,54
5304,54
6273,54
7252,54
8199,54
9198,54
10170,54
11140,54
12121,54
13100,54
14035,54
15039,54
16018,54
16996,54
17958,54
18927,54
19874,54
20897,54
21850,54
22823,54
23793,54
24766,54
25699,54
26713,54
27678,54
28654,54
29646,54
30625,54
31539,54
32542,54
33515,54
34498,54
35457,54
36430,54
37369,54
38398,54
39353,54
40321,54
41299,54
42271,54
43209,54
44216,54
45188,54
46164,54
47150,54
48109,54
49052,54
50053,54
51042,54
52001,54
52970,54
53943,54
54887,54
55896,54
56858,54
57829,54
58805,54
59794,54
