Timestamp,HeartRate
406,156
1346,156
2357,156
3324,156
4292,156
5270,156
6261,156
7181,156
8191,156
9166,156
10158,156
11107,156
12081,155
13015,155
14029,155
15011,156
15972,156
16946,156
17918,155
18855,155
19859,156
20831,156
21810,156
22805,156
23756,156
24686,156
25695,156
26669,156
27652,156
28614,156
29582,156
30517,156
31556,155
32507,156
33476,155
34451,156
35420,156
36362,156
37371,156
38339,156
39324,156
40330,156
41259,156
42202,156
43206,156
44202,156
45152,156
46121,156
47091,156
48038,156
49048,156
50017,156
50982,155
51960,156
52954,155
53871,155
54876,156
55851,156
56824,156
57799,156
58768,156
59706,156
