Timestamp,Pulse
5,12944665
7,12897177
7,12829503
8,12740341
9,12747345
9,12811219
10,12887797
11,12944547
11,12912611
12,12849567
497,12762779
499,12737967
500,12792223
501,12871057
501,12945853
502,12928519
503,12865357
503,12781775
504,12727755
505,12777977
992,12852773
993,12930657
995,12937899
996,12880555
997,12804215
998,12726213
998,12765155
999,12831997
1000,12910711
1001,12947991
1486,12900619
1488,12820361
1490,12729655
1491,12748651
1491,12812763
1492,12888391
1493,12945615
1493,12907743
1494,12840781
1495,12756487
1956,12736541
1958,12795191
1959,12871057
1960,12946565
1961,12922465
1962,12855385
1962,12774415
1963,12731437
1965,12779639
1965,12853129
2455,12931487
2457,12937423
2458,12876161
2459,12798873
2460,12723363
2460,12762779
2461,12834489
2462,12908693
2462,12939085
2463,12888985
2937,12811931
2939,12720751
2940,12747583
2941,12820955
2942,12894565
2943,12942055
2944,12904419
2944,12838051
2945,12747821
2946,12735829
3421,12798397
3423,12874619
3424,12943123
3424,12919615
3425,12852299
3426,12767291
3426,12728943
3428,12781419
3428,12853129
3430,12934219
3907,12930301
3909,12869039
3911,12792461
3912,12720633
3912,12764917
3913,12834727
3914,12917835
3915,12937305
3916,12889221
3916,12809913
4399,12723839
4401,12749839
4402,12816799
4402,12895277
4403,12947635
4404,12896701
4405,12825347
4405,12740103
4406,12739509
4407,12795667
4874,12877231
4876,12943361
4876,12911541
4877,12843037
4878,12761237
4879,12726569
4879,12784507
4880,12857641
4880,12936355
4882,12924127
5380,12861797
5382,12781539
5383,12721227
5384,12771565
5384,12841019
5385,12922583
5386,12933981
5386,12879011
5388,12799941
5388,12719445
5849,12747583
5851,12817511
5852,12906675
5852,12936949
5853,12892071
5855,12817987
5856,12732979
5857,12735355
5859,12804097
5860,12879961
6344,12940867
6345,12909405
6346,12839475
6348,12753757
6348,12727399
6349,12785931
6350,12858829
6350,12943123
6351,12916885
6352,12852299
6826,12773821
6827,12715527
6828,12770735
6829,12842207
6830,12922345
6830,12929945
6831,12873193
6831,12796261
6832,12712915
6833,12751857
7320,12824635
7321,12902163
7322,12937187
7323,12886491
7323,12811339
7324,12721583
7325,12740815
7325,12807657
7326,12885423
7327,12937187
7804,12901093
7806,12825585
7807,12744733
7808,12723245
7809,12792935
7809,12865951
7810,12942411
7811,12912611
7811,12846599
7812,12765867
8297,12718971
8298,12770853
8299,12847787
8300,12925907
8301,12918665
8301,12866663
8302,12788069
8303,12715171
8303,12756607
8304,12829147
8780,12907149
