Timestamp,HeartRate
890,98
1861,98
2794,98
3807,98
4789,98
5773,98
6711,98
7689,98
8630,98
9644,98
10605,98
11578,98
12550,98
13544,98
14464,98
15465,98
16433,98
17408,98
18393,98
19354,98
20282,98
21294,98
22266,98
23245,98
24206,98
25179,98
26112,98
27150,98
28095,98
29065,98
30042,98
31008,98
31951,98
32953,98
33925,98
34894,98
35867,98
36850,98
37785,98
38780,98
39755,98
40749,98
41704,98
42667,98
43605,98
44611,98
45601,98
46557,98
47529,98
48498,98
49435,98
50454,98
51445,98
52380,98
53363,98
54329,98
55259,98
56284,98
57245,98
58215,98
59207,98
