Timestamp,Pulse
373,37099
376,35203
377,25887
378,23747
379,22911
379,24431
380,27815
381,36995
381,37059
382,37515
875,36897
877,36979
879,37591
879,36961
880,37053
881,34361
881,29619
882,25761
883,22929
884,22961
1364,24575
1367,32649
1369,37209
1370,37149
1371,37233
1371,37053
1372,37139
1373,37551
1373,36953
1374,37239
1843,35303
1845,29609
1846,23559
1846,23005
1847,22929
1848,29141
1849,32429
1850,37223
1851,37327
1851,36955
2332,37113
2334,37435
2335,37117
2336,37149
2336,37307
2337,35355
2339,26307
2340,23839
2340,22961
2341,23995
2810,27975
2812,32321
2812,37409
2813,37071
2814,37067
2814,37695
2815,36955
2816,37019
2816,37593
2817,37085
3302,29713
3303,26047
3304,23839
3305,22843
3306,24683
3306,27937
3307,37021
3308,37155
3309,37195
3310,37239
3777,37091
3778,36993
3779,37273
3780,37027
3781,37201
3781,29635
3782,25991
3783,23125
3783,22849
3784,24723
4255,31757
4257,37531
4258,37073
4259,36917
4260,37519
4261,36989
4261,37067
4262,37143
4263,37053
4264,35247
4752,29763
4753,23541
4754,22687
4755,22967
4756,29257
4757,32435
4758,37051
4760,37077
4761,37773
4762,37255
5239,37157
5240,37385
5242,36995
5243,37143
5245,35765
5246,29881
5247,23721
5248,23001
5249,24397
5250,27839
5721,32511
5722,37083
5723,37357
5724,37175
5724,37025
5725,37359
5726,36845
5726,37001
5727,37479
5728,35209
6217,25911
6219,23767
6220,22895
6221,24399
6222,27849
6222,37031
6223,37135
6224,37541
6224,37085
6225,36957
6689,37317
6690,37051
6691,37077
6692,36909
6693,29635
6693,25929
6694,23877
6695,23079
6695,24441
6696,32673
7184,37155
7185,37463
7186,37195
7187,37157
7188,37637
7188,36911
7189,37157
7190,37577
7190,35059
7191,29601
7664,25627
7666,22863
7667,22879
7668,24611
7669,32425
7670,37391
7670,37079
7671,37131
7671,37499
7672,37085
8155,37093
8157,37509
8159,37171
8160,35333
8161,30061
8162,23843
8163,22935
8164,23005
8167,28061
8169,32517
8633,36883
8635,36961
8636,37741
8638,36989
8639,37007
8640,37449
8640,36993
8641,37007
8641,35667
8642,25475
9120,23709
9122,23001
9123,24509
9124,27865
9125,32375
9125,37085
9126,37489
9127,36883
9128,37129
9128,37559
9604,37129
9606,36975
9607,37327
9608,28423
9610,25769
9610,23787
9611,22955
9612,24585
9612,27887
9613,37047
10089,37093
10091,37019
10092,37071
10093,37281
10094,37059
10095,37073
10095,37353
10096,34545
10097,29703
10098,26059
10567,23085
10569,22775
10570,24619
10570,32513
10571,37265
10572,37197
10572,37051
10573,37599
10574,37151
10574,37041
11055,37713
11057,37027
11058,35169
11059,29875
11059,25815
11060,22891
11061,23015
11061,29103
11062,32357
11063,37105
11541,37027
11543,37547
11544,37065
11544,37119
11545,37371
11546,37123
11546,37163
11547,35761
11548,29653
11548,23807
12033,22875
12034,22863
12035,27917
12036,32355
12037,37177
12038,37557
12039,37087
12039,37163
12040,37385
12041,37067
12505,37163
12506,36981
12508,35291
12509,25437
12509,23843
12510,22917
12511,24629
12511,27927
12512,32477
12513,37391
13003,37079
13005,37129
13005,37531
13006,37129
13007,36999
13008,36935
13009,36967
13009,28947
13010,25925
13011,23921
13482,22917
13484,24431
13484,27867
13485,37261
13486,37123
13486,37041
13488,36859
13488,37155
13489,37301
13490,37229
13970,37183
13972,34527
13972,29575
13973,25879
13974,23079
13974,22853
13975,24633
13976,32407
13978,37035
13979,37109
14451,37057
14453,36885
14454,37775
14455,37151
14455,37031
14456,37411
14457,35303
14458,29659
14459,25709
14459,22857
14930,22825
14931,29681
14932,32435
14932,37209
14933,37021
14934,37051
14935,37683
14936,37131
14940,37137
14943,37623
15425,37073
15427,35261
15428,29187
15429,23793
15430,22833
15430,24445
15431,27985
15431,32473
15432,37139
15433,36983
15904,37453
15905,37079
15906,37113
15907,37403
15908,37113
15909,37085
15910,35493
15910,25757
15911,23759
15911,23013
16394,24651
16396,27839
16396,36343
16398,37087
16399,37201
16399,37119
16400,37009
16401,37435
16401,37119
16402,37151
16875,37501
16877,29633
16878,25913
16879,23843
16880,23117
16881,24623
16882,32799
16883,37035
16883,37559
16884,37033
17351,37117
17352,37145
17353,36883
17354,37233
17355,37429
17355,35031
17356,29583
17357,25909
17358,23079
17359,22753
17851,24605
17853,32257
17855,37931
17856,37061
17856,37217
17857,37441
17858,37009
17859,37099
17859,37131
17860,37059
18323,35251
18324,29543
18325,23723
18326,23001
18328,24295
18329,27933
18330,32451
18330,37169
18331,37215
18332,37441
18820,37171
18822,37207
18823,37221
18824,37073
18825,37077
18826,35307
18826,25705
18827,23663
18828,22909
18829,24565
19300,27867
19302,36467
19304,37105
19304,37441
19305,37169
19306,37169
19306,37019
19308,37105
19308,37117
19309,37079
19783,29769
19785,25957
19786,23859
19786,22969
19787,24603
19788,32341
19789,36875
19789,37483
19790,36823
19791,37155
20271,37047
20273,37031
20274,37541
20275,36961
20275,35235
20276,29757
20278,25969
20279,22877
20279,22921
20280,29329
20763,32395
20765,37545
20766,37241
20766,37229
20767,37143
20768,36979
20769,37403
20769,37113
20770,37197
20771,35851
21235,29603
21236,23651
21238,22961
21239,22987
21239,27891
21240,32425
21241,37099
21241,37383
21242,36981
21243,36955
21721,37509
21723,37113
21724,37243
21725,37213
21725,35277
21726,25523
21727,23781
21728,22921
21729,24581
21730,27893
22200,32271
22202,37279
22203,37163
22204,37111
22205,37463
22206,37149
22206,37165
22207,37643
22208,37155
22208,29115
22698,26001
22699,23645
22700,22691
22701,24571
22702,27891
22702,37269
22703,37195
22704,37209
22705,37489
22706,37165
23178,37209
23180,37181
23181,37001
23182,34761
23183,29673
23183,25839
23184,22903
23184,22905
23185,24587
23186,32519
23669,37057
23670,37177
23671,37421
23672,37027
23673,37099
23674,37079
23675,37057
23676,37149
23676,35241
23677,29633
24149,23581
24151,22817
24152,22885
24152,28229
24153,32237
24154,37171
24154,37145
24155,37229
24156,37891
24157,37007
24633,37197
24634,37501
24636,37171
24636,35313
24638,24941
24639,23833
24640,22917
24640,24561
24641,27809
24642,32609
25109,37149
25111,37117
25112,37539
25113,37197
25113,37281
25114,37013
25115,36963
25115,37123
25116,35323
25116,25955
25609,23723
25610,22961
25611,24467
25612,27899
25613,36241
25613,37161
25614,37325
25615,37045
25615,37155
25616,37123
26078,37071
26080,37349
26081,37071
26082,29569
26084,25981
26085,23897
26088,22929
26089,24611
26089,27881
26090,37337
26580,37273
26582,37027
26583,37721
26583,37065
26584,37025
26585,37359
26586,37091
26586,34811
26588,29817
26589,26001
27050,22865
27052,22895
27052,24649
27053,32401
27054,37209
27054,37109
27055,37629
27056,37087
27056,37149
27058,37235
27544,36955
27546,37119
27546,35481
27548,29705
27548,23723
27549,22845
27550,23079
27552,27873
27555,32303
27557,37091
28026,37479
28028,36999
28029,37161
28029,37547
28030,36967
28031,37177
28031,37041
28032,35299
28032,25573
28033,23929
28512,22877
28514,24495
28515,27841
28516,32337
28516,37617
28518,37019
28518,37145
28519,37401
28520,37061
28520,37233
28995,37065
28997,36921
28998,32647
28999,25835
29000,23909
29000,22739
29001,24597
29001,27771
29002,36755
29003,36955
29481,37073
29482,37487
29483,37019
29484,37135
29484,37189
29485,37235
29486,37539
29486,29705
29487,25995
29488,23305
29966,22941
29968,24379
29969,32951
29970,37117
29971,37105
29972,37469
29972,36987
29973,37265
29974,36967
29974,37041
30453,37161
30455,35261
30456,29783
30458,24805
30459,22767
30460,23001
30461,29203
30462,32399
30462,36979
30463,37171
30939,36929
30941,36995
30942,37155
30943,37087
30944,37295
30945,37135
30945,35293
30946,27801
30947,23663
30947,22883
31421,23319
31423,27767
31424,32367
31425,37229
31425,37085
31426,37031
31426,37123
31427,37195
31428,37201
31429,37203
31901,37123
31902,35435
31903,25969
31904,23773
31904,22871
31905,24659
31906,28011
31906,36981
31907,37057
31908,37137
32396,37125
32398,37181
32399,37409
32399,37175
32400,36955
32401,37061
32401,29529
32402,25871
32402,23607
32403,22849
32867,24519
32869,29781
32870,36935
32871,37111
32871,37325
32872,37253
32873,37175
32873,37213
32875,37149
32875,37291
33364,35207
33366,29687
33366,25913
33368,23039
33369,22831
33369,24497
33370,32239
33371,37155
33372,37209
33373,37191
33847,37065
33849,37353
33850,37027
33851,37165
33852,37293
33853,35285
33854,29619
33854,23947
33855,22875
33855,24073
34332,28041
34334,32271
34335,37213
34335,37045
34336,36957
34337,37239
34338,37253
34339,36949
34339,37083
34341,36947
34817,35161
34818,25735
34819,23735
34820,22993
34821,24761
34821,28009
34822,35311
34823,37599
34823,37031
34824,37221
35302,37353
35303,37059
35305,37131
35305,36941
35306,37265
35307,29575
35308,25819
35309,23129
35310,22825
35310,24519
35782,31873
35783,37423
35784,37007
35785,36995
35785,37183
35786,36967
35786,37187
35787,37143
35788,37091
35789,35271
36273,29875
36274,25877
36275,22981
36276,23025
36277,28861
36278,32637
36279,37099
36280,37215
36281,37275
36281,37265
36756,37149
36758,37163
36759,37135
36760,37249
36761,35225
36761,29593
36762,23687
36762,22973
36763,23093
36764,28231
37247,32409
37249,37191
37250,37291
37250,37119
37251,37195
37252,37001
37252,37051
37253,37223
37254,37031
37254,35241
37725,26029
37727,23779
37728,22941
37729,24599
37729,27951
37730,34673
37731,37103
37731,37039
37732,37359
37732,37015
38215,37109
38216,37457
38217,37083
38218,37275
38219,29705
38220,25853
38220,23781
38221,22929
38221,24669
38222,31173
38681,36989
38683,36823
38684,37435
38685,37035
38686,37073
38686,37495
38687,37117
38688,37041
38689,35441
38689,29673
39173,25957
39175,23065
39176,22917
39176,24535
39177,32387
39178,37097
39179,37505
39179,37061
39180,37175
39181,37449
39661,37189
39663,37083
39664,37227
39665,35245
39666,29665
39667,26013
39668,22905
39669,22771
39669,24709
39670,32317
40149,37307
40150,36921
40151,37079
40152,37473
40153,37113
40153,37169
40154,37019
40155,37079
40157,35417
40161,29697
40632,23675
40633,22747
40634,23061
40635,28427
40637,32581
40638,37111
40639,37071
40640,37427
40640,37259
40642,37279
41128,37105
41129,36943
41130,37195
41131,35409
41132,29737
41133,24747
41134,22833
41134,22793
41135,29687
41136,32193
41601,37145
41603,36969
41604,37007
41605,37435
41605,37085
41606,37057
41607,37713
41607,37035
41608,35221
41609,28875
42088,23663
42090,22961
42091,24345
42092,27907
42093,32409
42093,37123
42094,37027
42095,37573
42095,37087
42096,37137
42573,37583
42575,36969
42576,37077
42577,35655
42578,25893
42580,23577
42580,22819
42581,24625
42582,28335
42583,36851
43054,37071
43055,37481
43056,36967
43057,37171
43058,37183
43059,37093
43060,37111
43060,37097
43061,29783
43062,25819
43542,23871
43543,22849
43545,24585
43545,32485
43546,37157
43547,37423
43548,36961
43549,37207
43549,37149
43550,37079
44033,37229
44035,36967
44036,34949
44038,29759
44039,25945
44040,22797
44041,22995
44042,24457
44043,32403
44043,36931
44511,37249
44512,37123
44513,37085
44514,37203
44514,37475
44515,36941
44516,37077
44516,35677
44517,29791
44518,23845
44997,22909
44999,22825
45000,28609
45001,32297
45002,36989
45003,37401
45003,37071
45004,37161
45005,37723
45005,37073
45477,37111
45480,36969
45481,35323
45481,27165
45483,23775
45484,22849
45484,24493
45485,27795
45486,32363
45486,37435
45961,37051
45963,37213
45964,37197
45965,37045
45966,37681
45966,36987
45967,37013
45968,35507
45969,25913
45969,23727
46447,22869
46449,24409
46450,27939
46450,36649
46451,37079
46451,37411
46452,37131
46453,37099
46453,37559
46454,37035
46941,37217
46943,37085
46944,29713
46945,25747
46945,23769
46946,22843
46947,24597
46948,32537
46949,37175
46950,37671
47410,37007
47412,37053
47413,37299
47413,37123
47414,37169
47414,36865
47415,35207
47416,29745
47416,25917
47417,22999
47909,22849
47910,29497
47912,32393
47912,37729
47913,37047
47914,37183
47914,37073
47915,37041
47916,37217
47916,37013
48388,37051
48389,35363
48390,29685
48391,23769
48391,23109
48392,24289
48393,27807
48393,32341
48394,37111
48395,37481
48879,36973
48881,37165
48882,37525
48882,36999
48883,37099
48884,37311
48884,28391
48885,25743
48885,23821
48886,23041
49359,24397
49361,27835
49362,35663
49362,37441
49363,36879
49364,36901
49364,37635
49365,36981
49366,37229
49366,37449
49836,36903
49838,29725
49839,25897
49840,23071
49840,23033
49841,24675
49842,31971
49843,37467
49843,37273
49844,37165
50327,37215
50329,36843
50330,37325
50331,37067
50332,37059
50332,35485
50333,29613
50334,25871
50334,23061
50335,22983
50813,28213
50815,32283
50816,37109
50818,37431
50819,37145
50820,37129
50820,37583
50821,36955
50822,37155
50822,37359
51295,35443
51297,29589
51298,23785
51299,22963
51300,23625
51300,27991
51301,32265
51302,37253
51302,36999
51303,37123
51782,37149
51783,37171
51784,37207
51785,37015
51786,36981
51786,35589
51787,25819
51788,23715
51789,23013
51789,24559
52258,27893
52260,32207
52261,37187
52262,37447
52262,37109
52263,37085
52263,37449
52264,36915
52265,37053
52266,37139
52756,29321
52757,25893
52758,23773
52759,22851
52760,24585
52760,28047
52761,36891
52762,37623
52765,37093
52768,37265
53226,37175
53228,36825
53229,37287
53230,37175
53230,35409
53232,29853
53232,25851
53233,23125
53234,23113
53234,24519
53723,32433
53725,37027
53726,37113
53728,37009
53729,37083
53730,37085
53731,37609
53732,37097
53733,36975
53733,35677
54203,29613
54205,23735
54207,23077
54209,22957
54210,27907
54210,32257
54211,37059
54212,37357
54212,37035
54213,36871
54688,37401
54689,37083
54690,37155
54691,37097
54692,35383
54693,29821
54693,23767
54694,22853
54695,23781
54695,27897
55173,32315
55174,37207
55175,37067
55176,37099
55176,37041
55177,37117
55178,37319
55179,36961
55179,37067
55180,35583
55648,25847
55650,23821
55651,22953
55651,24469
55652,27861
55653,32263
55653,37077
55654,37483
55655,37161
55656,37051
56138,37681
56140,36935
56140,37201
56141,37175
56142,29321
56143,25859
56143,23931
56144,22989
56145,24613
56145,27995
56629,37143
56630,37455
56631,37077
56632,36983
56633,37457
56633,37093
56634,37025
56635,37071
56636,35063
56636,29717
57106,25961
57108,22853
57109,22981
57110,24587
57111,32297
57111,37449
57112,36953
57112,37177
57113,37021
57114,37013
57595,37499
57597,37109
57598,37047
57599,35579
57599,29647
57600,23727
57601,22947
57602,23045
57602,28437
57603,32409
58080,37087
58081,37525
58083,37215
58083,37169
58084,37533
58085,37091
58085,37079
58086,37085
58088,35221
58088,29719
58569,23681
58571,22915
58572,23577
58572,28037
58573,32221
58574,37429
58574,37015
58575,37113
58576,37163
58576,37083
59051,37299
59053,37045
59054,36949
59054,35557
59055,25657
59056,23805
59058,23071
59059,24623
59060,27951
59060,32309
59539,37191
59541,37233
59542,37035
59543,37327
59543,37369
59544,37027
59545,37189
59545,37591
59546,29537
59546,25715
