Timestamp,Pulse
243,31575
245,35097
246,35355
246,35661
247,35201
248,35259
249,35299
250,35247
251,35383
251,33579
697,24775
700,22671
701,21869
702,23321
703,31327
704,35363
705,35151
705,35495
706,35333
706,35219
1189,35047
1191,35021
1192,35357
1193,26461
1194,24737
1194,22661
1195,21999
1196,23475
1196,31317
1197,35293
1668,35429
1670,35371
1670,35181
1671,35195
1671,35235
1672,35397
1673,35329
1673,33511
1674,24737
1674,22683
2158,21979
2159,23365
2160,31415
2161,35253
2161,35233
2162,35485
2163,35135
2163,35391
2164,35189
2164,35329
2650,35519
2651,26689
2652,24625
2653,22739
2654,21801
2655,23391
2656,31407
2657,35115
2657,35355
2658,35215
3119,35339
3121,35261
3122,35255
3123,35233
3123,35675
3125,26801
3125,24643
3126,22823
3127,21827
3129,23493
3614,30661
3616,35363
3617,35357
3618,35235
3620,35085
3621,35637
3621,35117
3622,35199
3623,35699
3624,26899
4094,24671
4096,22499
4097,21953
4097,23223
4099,31107
4099,35097
4100,35819
4101,35279
4101,35241
4102,35689
4592,35281
4594,35299
4595,35591
4597,26963
4598,24709
4599,22743
4600,22005
4601,23267
4601,30857
4602,35193
5062,35447
5063,35091
5064,35227
5065,35615
5065,35129
5066,35213
5067,35273
5067,27601
5068,24857
5069,22489
5555,21753
5556,23561
5557,30843
5558,35429
5559,35125
5560,35247
5560,35261
5561,35235
5562,35313
5562,35579
6029,35245
6031,28361
6032,24825
6032,22669
6033,21785
6034,23447
6034,30699
6035,35423
6035,35103
6036,35307
6526,36013
6528,35079
6529,35273
6530,35377
6531,35265
6531,29231
6532,24761
6533,22609
6533,21807
6534,23461
7005,30857
7007,35543
7008,35169
7009,35271
7010,35583
7011,35169
7011,35403
7012,35213
7012,35187
7013,32175
7485,24723
7487,22609
7488,22019
7489,23481
7490,30685
7491,35611
7491,35229
7492,35391
7493,35285
7493,35161
7974,35625
7976,35131
7977,35381
7978,28367
7979,24721
7980,21947
7981,21911
7981,23435
7982,30805
7983,35273
8457,35479
8459,35545
8460,35265
8461,35267
8461,35355
8462,35381
8463,35215
8463,28277
8464,24605
8465,21719
8942,22045
8944,27277
8945,30921
8947,35149
8947,35311
8948,35175
8949,35227
8950,35817
8950,35245
8951,35331
9436,35363
9437,28145
9438,24637
9439,21989
9440,21979
9441,26741
9441,30777
9442,35255
9443,35517
9443,35313
9907,35157
9909,35531
9910,35253
9911,35423
9912,35297
9912,28251
9913,24689
9914,21949
9914,21723
9915,27975
10404,30785
10406,35319
10407,35389
10408,35255
10409,35481
10410,35219
10411,35305
10412,35475
10412,35235
10413,28069
10869,24847
10871,21771
10872,21727
10873,23451
10873,30841
10874,35759
10875,35199
10875,35241
10876,35553
10876,35277
11364,35407
11365,35199
11366,35175
11367,28275
11368,24575
11369,21813
11370,21877
11371,26747
11372,30673
11373,35715
11846,35091
11847,35157
11848,35141
11849,35057
11850,35715
11850,35351
11851,33641
11852,28335
11852,24721
11854,21837
12340,21963
12342,26887
12343,30905
12344,35311
12345,35201
12345,35667
12346,35389
12346,35163
12347,35865
12348,35385
12819,34589
12821,28297
12823,24715
12824,21895
12824,21779
12825,27079
12826,30927
12826,35303
12827,35173
12828,35741
13293,35281
13295,35213
13296,35039
13297,35245
13299,35427
13300,28293
13301,24717
13303,21811
13304,22093
13305,23469
13786,31051
13788,35157
13789,35363
13790,35149
13791,35317
13791,35545
13792,35129
13792,35279
13793,35725
13794,28245
14266,24579
14268,21967
14269,21987
14270,26859
14271,30681
14272,35273
14273,35865
14273,35219
14274,35219
14275,35805
14760,35235
14762,35305
14762,35137
14764,28319
14765,24703
14765,21985
14766,21885
14767,23533
14767,30719
14768,35357
15237,35219
15238,35313
15239,35487
15240,35027
15241,35255
15242,35621
15242,35051
15243,28217
15244,24807
15245,21969
15728,21797
15730,28035
15731,30815
15732,35661
15733,35177
15733,35389
15734,35557
15735,35151
15735,35381
15736,35181
16209,33149
16211,28295
16212,24773
16212,21773
16213,21941
16214,26825
16214,30671
16215,35435
16218,35141
16221,35371
16687,35143
16689,35177
16690,35519
16690,35195
16691,33979
16692,28347
16692,24727
16693,21871
16694,21909
16694,26631
17182,30873
17183,35251
17184,35287
17185,35279
17185,35079
17186,35311
17187,35199
17187,35131
17188,32641
17189,28431
17652,24729
17653,21773
17654,21859
17655,26813
17656,30811
17657,35385
17658,35817
17659,35181
17660,35235
17660,35715
18150,35333
18152,35279
18153,32565
18154,28249
18154,23137
18155,21989
18155,21921
18156,26919
18157,30823
18157,35143
18630,35181
18631,35057
18633,35371
18633,35279
18634,35297
18636,35591
18637,32701
18638,28397
18640,24787
18640,21871
19115,21729
19116,26631
19117,30863
19118,35787
19119,35233
19120,35291
19120,35573
19121,35215
19122,35391
19122,35073
19599,33343
19600,28355
19601,24685
19602,21771
19603,21833
19603,26917
19604,30791
19604,35193
19605,35215
19606,35543
20088,35151
20089,35319
20090,35729
20091,35203
20091,34499
20092,28315
20093,24891
20093,21875
20094,21953
20095,26541
20562,30875
20564,35073
20565,35363
20565,35401
20566,35167
20567,35537
20567,35183
20568,35169
20569,32663
20570,28323
21052,24769
21054,21963
21055,21921
21055,27131
21056,30785
21057,35199
21057,35751
21059,35207
21059,35303
21060,35579
21537,35391
21539,35109
21540,32283
21540,28339
21541,24727
21542,21889
21542,21885
21543,26643
21544,30739
21544,35297
22019,35625
22021,35267
22022,35435
22023,35037
22024,35253
22025,35577
22025,32565
22026,28193
22027,24169
22029,22063
22504,21827
22506,26651
22507,30785
22507,35511
22508,35219
22509,35305
22510,35661
22511,35213
22511,35199
22512,35079
22994,33233
22995,28397
22996,22487
22997,21891
22997,21927
22999,26475
23000,30765
23000,35447
23001,35187
23002,35375
23468,35297
23469,34985
23470,35897
23471,35017
23471,33049
23472,28567
23473,24863
