Timestamp,Pulse
104,24853
107,28257
108,32655
109,37421
110,37743
110,37311
111,37469
112,37149
112,37287
113,37521
601,37287
603,37293
604,37671
605,37349
605,37383
606,35461
608,30051
609,26169
610,23955
611,23223
1075,23259
1077,24833
1078,28229
1079,32601
1079,37319
1080,37605
1081,37319
1081,37305
1083,37943
1083,37279
1568,37353
1570,37227
1571,37345
1572,37691
1573,37229
1574,37469
1575,35973
1575,29991
1577,26111
1577,24201
2047,23209
2049,23165
2051,24857
2052,28255
2052,32765
2053,37377
2054,37539
2054,37165
2055,37235
2056,37767
2539,37305
2540,37395
2541,37811
2542,37331
2542,37401
2543,37123
2543,37235
2544,35891
2545,30099
2545,26105
3015,24087
3017,23111
3018,23025
3019,24961
3020,28191
3021,32915
3022,37285
3023,37389
3024,37723
3024,37313
3496,37539
3498,37299
3499,37279
3499,37873
3500,37319
3501,37499
3501,37743
3502,35409
3503,29321
3504,30043
3985,26179
3988,23955
3989,23233
3990,23197
3990,24851
3991,28165
3992,32603
3993,37371
3994,37217
3994,37859
4464,37299
4467,37401
4469,37651
4471,37389
4472,37513
4473,37301
4475,37235
4476,37591
4478,35443
4480,29771
4956,26215
4958,23937
4959,23473
4960,23281
4960,23261
4961,24761
4962,28283
4963,32519
4964,37643
4965,37227
5439,37551
5441,37217
5442,37275
5443,37727
5444,37287
5444,37475
5445,37739
5447,37483
5447,37597
5448,35545
5921,29893
5923,26153
5924,23889
5925,23239
5926,23221
5927,24521
5928,28219
5928,28327
5929,32653
5930,37813
6408,37175
6409,37449
6410,37259
6411,37325
6411,37591
6412,37291
6413,37405
6413,37567
6414,37259
6415,37403
6890,35333
6891,29651
6892,25721
6893,23671
6894,24003
6895,23269
6896,23265
6897,24747
6897,28231
6898,32581
7376,37577
7377,37191
7378,37351
7379,37505
7380,37275
7380,37461
7381,37189
7382,37239
7382,37559
7383,37321
7849,37207
7850,35733
7851,30037
7852,26095
7853,23963
7853,23325
7854,23285
7855,23207
7855,24915
7856,28393
8342,32689
8344,37353
8345,37307
8345,37359
8347,37865
8347,37401
8348,37305
8349,37561
8349,37379
8350,37535
8819,37331
8821,37171
8823,36033
8824,29997
8825,26101
8826,23961
8827,23027
8829,23267
8830,24743
8831,28615
9300,33057
9301,32485
9302,37557
9303,37305
9303,37409
9304,37765
9304,37275
9305,37239
9306,37611
9307,37243
9797,37473
9799,37175
9799,37307
9800,35921
9801,29973
9803,26237
9803,24217
9804,23291
9805,23067
9806,24929
10277,28229
10279,32713
10280,37189
10280,37443
10281,37447
10282,37215
10282,37431
10283,37171
10284,37191
10284,37727
10764,37229
10767,37317
10768,37427
10768,37311
10769,35929
10770,30073
10771,26041
10772,24159
10773,23165
10773,23123
11245,25023
11247,28219
11249,32869
11250,37273
11251,37345
11252,37161
11252,37323
11253,37547
11254,37247
11255,37301
11728,37599
11730,37207
11731,37281
11731,37327
11732,37339
11733,35751
11733,29921
11734,26325
11735,24077
11735,23267
12212,22981
12214,24975
12215,28101
12218,32847
12219,37319
12221,37349
12222,37265
12223,37239
12224,37577
12225,37233
12696,37217
12697,37649
12698,37305
12699,37417
12700,37299
12700,37353
12701,35611
12702,29915
12704,26091
12704,24201
13183,23195
13185,23143
13186,24827
13187,28153
13188,32899
13189,37281
13190,37365
13190,37171
13191,37311
13192,37655
13658,37389
13660,37281
13661,37585
13661,37403
13662,37421
13663,37265
13663,35433
13664,35383
13665,30015
13667,25991
14147,24035
14149,23105
14150,23087
14150,24891
14151,28133
14152,32855
14152,37371
14153,37369
14154,37265
14154,37389
14628,37943
14629,37339
14630,37247
14630,37287
14631,37343
14632,37635
14632,37187
14633,35007
14634,28393
14634,25709
15115,24333
15117,24061
15118,23181
15118,23281
15120,24917
15121,28095
15122,32725
15123,37279
15123,37493
15124,37301
15599,37365
15600,37713
15601,37285
15602,37299
15602,37321
15603,37383
15603,37681
15604,37275
15605,35449
15605,30095
16092,25971
16094,23863
16095,23321
16096,23269
16097,24047
16098,24909
16099,28145
16099,32783
16100,37345
16101,37333
16566,37213
16568,37061
16569,38033
16570,37235
16571,37437
16572,37651
16572,37455
16573,37317
16574,37223
16574,35521
17049,29951
17052,26033
17053,23963
17054,24051
17055,23221
17055,23093
17056,24929
17057,28339
17058,32795
17058,37217
17536,37481
17537,37481
17538,37261
17539,37339
17540,37369
17540,37401
17541,37519
17542,37307
17542,37265
17544,37613
18014,35543
18017,29755
18019,26225
18020,24025
18021,23105
18022,23273
18023,24535
18023,27193
18024,28295
18024,32603
18505,37519
18507,37203
18508,37363
18509,37453
18510,37275
18510,37671
18511,37467
18512,37223
18515,37409
18518,37397
18993,37443
18995,35507
18997,29971
18998,26267
18999,24027
18999,23313
19000,23227
19001,24821
19001,28307
19003,32695
19474,37157
19476,37487
19477,37377
19478,37353
19479,37631
19480,37351
19480,37417
19481,37455
19482,37447
19482,37493
19958,37479
19960,37415
19961,35597
19962,30161
19963,26195
19963,24185
19964,23189
19965,23139
19965,24847
19966,28057
20436,32715
20438,37203
20439,37351
20440,37977
20441,37293
20442,37455
20443,37151
20443,37379
20444,37525
20445,37351
20927,37343
20929,37759
20930,37279
20930,35635
20931,29881
20932,26137
20932,23859
20933,23093
20934,23145
20934,24967
21404,28245
21407,32583
21408,37223
21409,37337
21410,37443
21410,37299
21411,37279
21411,37545
21412,37333
21413,37383
21905,37559
21907,37285
21908,37567
21908,37437
21909,35559
21910,30207
21911,26321
21912,24047
21913,23221
21913,23235
22374,24723
22376,28069
22377,32719
22378,37775
22379,37203
22380,37321
22380,37675
22381,37377
22382,37469
22382,37327
22868,37233
22870,37467
22871,37339
22872,37449
22873,39917
22874,35651
22875,29997
22875,26267
22877,23977
22877,23145
23349,23131
23351,24785
23352,28217
23353,32669
23354,37371
23355,37759
23355,37151
23357,37343
23357,37339
23358,37467
23835,37749
23837,37391
23838,37295
23838,37507
23839,37327
23840,35531
23841,29783
23842,25991
23842,24709
23843,24155
24316,23181
24317,22995
24318,24853
24319,28113
24319,32523
24320,37495
24321,38073
24322,37273
24323,37281
24324,37613
24798,37365
24800,37457
24801,37267
24802,37273
24802,37793
24803,37343
24804,35533
24804,30069
24806,25983
24807,23999
25286,23255
25287,23117
25288,24681
25289,29733
25289,32031
25291,32825
25291,37247
25292,37295
25293,37325
25293,37287
25769,37609
25771,37327
25772,37379
25773,37859
25774,37255
25775,37435
25775,37203
25776,35559
25778,30185
25779,26145
26258,24091
26259,23203
26260,23177
26261,24867
26262,28241
26263,32571
26264,37161
26265,37319
26265,37369
26266,37519
26747,37467
26748,37457
26750,37241
26750,37457
26751,37587
26752,37395
26752,37255
26753,37579
26753,35493
26755,29947
27217,26315
27219,24045
27220,23105
27221,23293
27222,24865
27222,28341
27223,32517
27223,37311
27224,37343
27225,37325
27712,37921
27714,37187
27715,37495
27715,37473
27716,37409
27717,37385
27718,37247
27719,37369
27720,37755
27721,35527
28180,29893
28182,26223
28183,24003
28184,23071
28185,23301
28186,24937
28187,28289
28189,32711
28190,37319
28190,37269
28680,37175
28681,37559
28682,37217
28683,37279
28684,37773
28684,37349
28685,37411
28685,37657
28687,37201
28688,37593
29159,35447
29161,29911
29162,26341
29162,24003
29163,23065
29164,23093
29165,25045
29166,28323
29167,32643
29169,37233
29646,37553
29648,37243
29649,37339
29650,37421
29650,37097
29651,37609
29652,37221
29652,37383
29653,37599
29654,37165
30126,36247
30128,35267
30129,29997
30130,26169
30130,23935
30131,23169
30132,23157
30132,24841
30133,28089
30134,32491
30604,37215
30606,37401
30607,37177
30608,37463
30609,37917
30610,37187
30611,37301
30611,37441
30612,37351
30612,37437
31094,37333
31095,35109
31097,35209
31097,25585
31098,26131
31099,23987
31100,23149
31100,23137
31101,24903
31102,28301
31578,33037
31580,37249
31581,37447
31582,37401
31583,37247
31584,37869
31585,37279
31585,37339
31587,37435
31587,37317
32065,37269
32067,37203
32068,35693
32069,30101
32070,26079
32071,23921
32071,23321
32072,23267
32073,24233
32073,24825
32548,28147
32550,32771
32551,37279
32552,37223
32553,37239
32554,37177
32554,37691
32555,37295
32555,37345
32557,37715
33033,37371
33034,37431
33035,37321
33037,35489
33037,29895
33039,26065
33040,23951
33040,23213
33041,23207
33042,24779
33516,29889
33518,32247
33520,33895
33521,37261
33521,37441
33522,37735
33523,37255
33523,37467
33524,37227
33525,37343
33990,37539
33991,37273
33992,37157
33994,37903
33995,35527
33996,29913
33997,26295
33997,23967
33998,23105
33999,23085
34479,24681
34480,28157
34482,32707
34483,37149
34483,37269
34484,37241
34485,37663
34485,37385
34486,37441
34487,37197
34966,37295
34968,37513
34969,37415
34969,37299
34970,37661
34971,35397
34972,29853
34973,26173
34974,23857
34975,23221
35458,23265
35460,24779
35461,28365
35462,32687
35463,37313
35464,37249
35465,37281
35465,37655
35466,37505
35468,37301
35936,37879
35938,37175
35940,37317
35940,37215
35941,37267
35942,37499
35942,35695
35943,30073
35944,26191
35945,24093
36419,23083
36420,23269
36421,24975
36422,28281
36422,32655
36423,37327
36424,37611
36424,37357
36425,37469
36427,37259
36902,37291
36904,37375
36904,37311
36905,37285
36906,37767
36907,37265
36908,37359
36908,35469
36910,29859
36911,26173
37388,24013
37390,23165
37391,23241
37392,24899
37393,28041
37394,32413
37395,37233
37396,37547
37397,37117
37397,37375
37875,37917
37877,37247
37878,37411
37879,37201
37880,37343
37880,37539
37881,37389
37881,37541
37882,35799
37883,30041
38354,26221
38356,24163
38357,23385
38358,22995
38359,24949
38359,28283
38360,32873
38361,37233
38361,37385
38362,37623
38860,37223
38861,37339
38862,37305
38863,37495
38864,37943
38864,37395
38865,37291
38865,37417
38866,37291
38867,35651
39321,30067
39323,26147
39324,24027
39325,23105
39326,23015
39327,24997
39328,28287
39329,32695
39330,37365
39331,37431
39807,37843
39809,37073
39810,37267
39811,37299
39812,37343
39812,37661
39813,37469
39813,37351
39814,37917
39815,35313
40295,30699
40298,29945
40299,26209
40300,24059
40301,23015
40301,23071
40302,24943
40303,28151
40304,32661
40305,37299
40771,37449
40772,37493
40773,37221
40773,37327
40774,37463
40775,37391
40775,37551
40776,37215
40777,37455
40778,37753
41265,35485
41268,29849
41269,25189
41270,23947
41271,23987
41271,23305
41272,23209
41272,24995
41273,28203
41274,32821
41742,37213
41744,37249
41745,37871
41747,37287
41748,37455
41748,37221
41749,37423
41750,37865
41750,37239
41751,37363
42228,37651
42229,35569
42231,30265
42232,26183
42233,24093
42234,23369
42234,23137
42235,24371
42235,24841
42237,28205
42710,32881
42712,37129
42713,37209
42714,37359
42715,37333
42715,37877
42717,37281
42717,37333
42718,37509
42719,37317
43205,37493
43207,37273
43208,35623
43209,30283
43210,26231
43211,23975
43212,23299
43212,23217
43213,24789
43213,29925
43679,32139
43681,32439
43682,37323
43683,37519
43684,37371
43684,37379
43685,37859
43686,37377
43687,37195
43688,37203
44165,37323
44167,37665
44168,37365
44168,35673
44170,30145
44171,26215
44171,23931
44172,23215
44173,23369
44173,24889
44640,29711
44641,31921
44642,32487
44643,37191
44643,37429
44644,37235
44645,37415
44645,37833
44646,37331
44647,37247
45132,37415
45134,37351
45135,37609
45136,37301
45137,35467
45138,29953
45138,26295
45139,23925
45140,23187
45140,23151
45614,24853
45616,27989
45617,32511
45618,37513
45619,37333
45619,37269
45620,37187
45621,37473
45621,37807
45622,37209
46104,37307
46106,37249
46107,37385
46108,37505
46108,37281
46109,35507
46110,30047
46111,26249
46112,23931
46113,23267
46583,23239
46585,24753
46586,28127
46587,32689
46588,37655
46588,37321
46589,37429
46590,37331
46590,37395
46592,38001
47065,37403
47067,37357
47068,37663
47069,37311
47070,37345
47070,37377
47071,35625
47071,30265
47072,26275
47073,24003
47545,23189
47547,23085
47549,24931
47550,28135
47550,32511
47551,37657
47552,37233
47552,37311
47553,37449
47554,37161
48035,37541
48037,37243
48038,37325
48039,37793
48040,37239
48040,37545
48042,37527
48043,35559
48044,30031
48045,26143
48521,24009
48522,23291
48523,23165
48524,24853
48525,28167
48526,32675
48527,37831
48528,37509
48528,37175
48529,37651
49010,37397
49012,37457
49013,37305
49014,37215
49015,37631
49016,37279
49017,37377
49018,34409
49019,28881
49020,26981
49484,26209
49485,23903
49487,23307
49488,23187
49488,24769
49489,28161
49490,32659
49491,37695
49492,37139
49492,37175
49976,37671
49978,37449
49979,37339
49980,37157
49981,37181
49981,37883
49982,37313
49983,37415
49983,35675
49985,29667
50454,25831
50455,23597
50457,23249
50457,23093
50458,23235
50459,24799
50459,28275
50460,32565
50461,37307
50461,37409
50939,37403
50942,37929
50946,37311
50948,37363
50949,37811
50951,37371
50952,37275
50953,37157
50954,37337
50955,35773
51421,29887
51424,25799
51425,23727
51426,23267
51428,23191
51429,23189
51429,24815
51430,28141
51431,32661
51432,37337
51912,37611
51913,37273
51914,37327
51915,37317
51916,37411
51917,37645
51918,37299
51919,37287
51920,37539
51920,37479
52391,35637
52393,29941
52394,26249
52394,24025
52395,23233
52396,23189
52397,24859
52398,28531
52399,32945
52400,36677
52874,37319
52877,37825
52878,37217
52879,37363
52879,37397
52880,37305
52881,37917
52881,37401
52882,37311
52883,37389
53353,37437
53355,35583
53355,29815
53357,26069
53358,24081
53359,23273
53360,23109
53360,24801
53361,28133
53362,32629
53842,37375
53843,37195
53845,37839
53846,37411
53847,37253
53848,37359
53848,37441
53849,37577
53850,37369
53850,37281
54318,37759
54320,37379
54320,35517
54321,29853
54322,26133
54323,23931
54324,23191
54325,23175
54326,24983
54327,28269
54817,32659
54819,37353
54820,37359
54821,37837
54821,37317
54822,37505
54823,37331
54823,37435
54824,37377
54825,37423
55292,37275
55294,37561
55296,37319
55298,35681
55299,30019
55300,26209
55300,24065
55301,23275
55302,23259
55303,24833
55782,28245
55784,32701
55785,37401
55786,37363
55787,37717
55788,37299
55788,37321
55789,37313
55789,37431
55790,37805
56255,37391
56257,37083
56257,37779
56258,37183
56259,35675
56259,29973
56260,26173
56261,24085
56261,23279
56262,23047
56750,24963
56752,28231
56753,32959
56753,37353
56754,37267
56755,37707
56755,37327
56756,37417
56757,37389
56758,37403
57231,37739
57233,37209
57234,37535
57235,37177
57235,35233
57237,29135
57237,25393
57238,24061
57239,24053
57239,23255
57709,23183
57710,24969
57711,28193
57713,32757
57714,37319
57714,37307
57715,37643
57716,37301
57717,37299
57718,37265
58197,37345
58200,37895
58201,37227
58201,37403
58202,37377
58203,35507
58203,29933
58204,26241
58205,23889
58205,23947
58681,23191
58682,23215
58683,24943
58684,28183
58685,32961
58686,37455
58687,37369
58688,37635
58689,37337
58689,37427
59165,37215
59166,37311
59167,37739
59168,37469
59169,37269
59169,37635
59170,35357
59171,29841
59172,26249
59173,24009
59658,23273
59659,23109
59661,24871
59662,29911
59663,32271
59664,33225
59665,37275
59665,37527
59667,37507
59667,37215
