Timestamp,HeartRate
803,93
1751,94
2717,94
3648,94
4643,94
5612,94
6584,94
7564,94
8515,94
9446,94
10446,92
11416,92
12387,92
13373,92
14320,92
15247,92
16249,92
17216,92
18196,92
19178,92
20132,92
21050,92
22061,92
23023,92
23997,92
24988,92
25937,92
26858,92
27869,92
28833,92
29799,92
30766,92
31745,92
32673,92
33668,92
34637,92
35605,92
36570,92
37558,93
38461,93
39471,94
40439,94
41404,94
42372,94
43341,94
44294,94
45274,94
46241,94
47203,93
48181,93
49142,93
50080,93
51076,93
52041,93
53010,93
53973,93
54946,93
55885,93
56883,93
57845,93
58817,93
59779,93
