Legion7 1回目
2021/05/30 13:15:56,140,60
2021/05/30 13:18:22,140,65
2021/05/30 13:20:49,140,70
2021/05/30 13:23:16,140,75
2021/05/30 13:25:43,140,80
2021/05/30 13:28:10,140,85
2021/05/30 13:30:38,140,90
2021/05/30 13:33:08,140,95
2021/05/30 13:35:35,140,100
Legion7 2回目
2021/05/30 13:38:07,140,60
2021/05/30 13:40:34,140,65
2021/05/30 13:43:03,140,70
2021/05/30 13:45:30,140,75
2021/05/30 13:47:57,140,80
2021/05/30 13:50:25,140,85
2021/05/30 13:52:54,140,90
2021/05/30 13:55:22,140,95
2021/05/30 13:57:49,140,100
