Timestamp,Pulse
60,5602
109,6253
155,8389
255,8649
302,8645
349,8622
445,8592
494,8664
590,8625
639,7757
687,6068
783,5515
831,5958
928,7671
977,8994
1025,8628
1121,8557
1173,8665
1218,8557
1316,8688
1362,8382
1458,5735
1509,5732
1554,5973
1654,6670
1699,8331
1748,8559
1843,8698
1891,8617
1987,8609
2036,8628
2084,7915
2181,6573
2230,5779
2325,5613
2374,6331
2421,7426
2518,8666
2567,8674
2618,8588
2711,8683
2760,8604
2854,8497
2903,7498
2954,6348
3047,5578
3096,5921
3197,6777
3239,8785
3291,8626
3384,8662
3434,8607
3482,8619
3578,8623
3625,8358
3723,6954
3771,5652
3822,5582
3915,6925
3963,8612
4061,8698
4108,8627
4157,8616
4252,8656
4304,8658
4348,8664
4447,7204
4493,6079
4589,5599
4638,6136
4687,7523
4787,8653
4830,8654
4928,8583
4977,8627
5025,8672
5121,8600
5169,7915
5226,6428
5312,5721
5362,5925
5458,6738
5504,8149
5554,8644
5649,8602
5700,8666
5794,8628
5846,8623
5891,8276
5987,6953
6036,5846
6085,5561
6181,6529
6232,7581
6324,8642
6375,8645
6427,8650
6518,8626
6571,8680
6619,8655
6710,7429
6758,6449
6857,5537
6905,5776
6952,7649
7047,8966
7096,8641
7193,8609
7242,8672
7288,8630
7385,8598
7435,7882
7481,7046
7578,5653
7629,5567
7723,6876
7769,8178
7823,8586
7915,8681
7964,8669
8060,8626
8109,8651
8156,8569
8258,7303
8301,5997
8351,5582
8445,6326
8493,7412
8594,8684
8639,8630
8686,8684
8783,8612
8832,8575
8927,8706
8978,7405
9034,6454
9121,5517
9169,5816
9220,7659
9314,8040
9365,8642
9459,8577
9505,8657
9556,8660
9650,8605
9705,7987
9746,7041
9846,5674
9892,5555
9988,6193
10037,8311
10086,8599
10187,8687
10236,8657
10326,8619
10376,8643
10433,8615
10519,6828
10567,6086
10620,5597
10711,5998
10761,7365
10857,8697
10905,8580
10953,8701
11049,8628
11099,8669
11194,8640
11245,7730
11291,6297
11389,5729
11436,5807
11484,6590
11580,8423
11632,8667
11725,8599
11773,8650
11824,8574
11918,8695
11965,8759
12016,5850
12115,5974
12160,5570
12255,6186
12304,8120
12352,8612
12447,8593
12495,8670
12597,8643
