Timestamp,HeartRate
335,87
1334,87
2337,88
3243,88
4249,88
5241,88
6241,88
7074,88
8050,88
9042,88
10028,88
11035,88
12029,87
12858,87
13837,87
14848,87
15840,87
16838,87
17676,87
18652,87
19644,87
20626,88
21643,88
22638,88
23455,88
24439,88
25444,88
26443,88
27441,88
28272,88
29250,88
30245,87
31233,87
32239,87
33231,87
34055,87
35036,87
36042,87
37037,87
38039,87
39043,88
39848,88
40848,88
41842,88
42835,88
43827,88
44659,88
45639,88
46641,88
47636,88
48640,87
49642,87
50451,87
51440,87
52429,87
53444,87
54428,87
55430,87
56241,87
57245,87
58235,88
59240,88
