Timestamp,Pulse
87,34868
135,33072
182,32328
279,32293
327,32909
424,34343
473,35790
520,35695
617,35640
666,35693
713,35690
809,35638
859,35716
955,34865
1002,33187
1051,32419
1148,32369
1200,32913
1245,34201
1340,35630
1390,35653
1486,35713
1537,35730
1583,35753
1679,35893
1729,35843
1823,34825
1873,33325
1926,32451
2017,32304
2063,32930
2113,34068
2213,35628
2258,35868
2354,35864
2409,35662
2451,35626
2552,35715
2595,35627
2695,34303
2741,33240
2788,32324
2893,32325
2933,32975
2986,34140
3079,35557
3130,35680
3223,35632
3271,35669
3321,35731
3416,35680
3466,35763
3512,34967
3609,33382
3658,32468
3755,32341
3804,32910
3851,34064
3947,35648
3995,35724
4092,35740
4143,35874
4190,35816
4293,35629
4333,35676
4381,34282
4478,33249
4528,32350
4622,32266
4676,32847
4718,34180
4818,35811
4864,35622
4914,35583
5008,35701
5060,35660
5153,35671
5201,35766
5253,34735
5346,33168
5394,32376
5498,32299
5539,32838
5589,34022
5684,35548
5733,35679
5779,35737
5882,35743
5925,35826
6021,35915
6071,35711
6116,34264
6212,32928
6260,32386
6309,32275
6408,32817
6456,34004
6552,35703
6601,35884
6649,35740
6746,35627
6797,35757
6896,35649
6939,35666
6986,34606
7084,33115
7133,32329
7180,32294
7276,32884
7326,33904
7420,35666
7468,35662
7519,35656
7613,35741
7661,35759
7709,35766
7808,35844
7855,35208
7952,32976
8000,32408
8048,32312
8148,32762
8196,33929
8294,35669
8338,35705
8386,35875
8482,35831
8531,35673
8583,35677
8676,35565
8725,34444
8820,33058
8869,32328
8916,32187
9014,32835
9062,34187
9158,35703
9207,35639
9255,35683
9351,35706
9400,35625
9447,35791
9544,35645
9593,34995
9690,32891
9739,32391
9786,32332
9893,32754
9930,33849
9979,35638
10076,35717
10124,35714
10219,35778
10270,35915
10315,35790
10415,35455
10460,34474
10558,33046
10606,32381
10654,32232
10750,32704
10799,34155
10850,35792
10943,35817
10997,35565
11092,35725
11137,35689
11190,35587
11282,35605
11331,34674
11379,32825
11478,32350
11523,32304
11620,32829
11668,34084
11715,35586
11812,35658
11861,35712
11958,35784
12007,35670
12054,35823
12150,35800
12199,34489
12247,32947
12344,32407
12395,32311
12497,32658
12537,34313
12586,35494
12682,35782
12731,35893
12778,35760
12879,35655
12923,35638
13021,35624
13068,34533
13116,33290
13213,32367
13261,32277
13360,32905
13405,34405
13455,35434
13551,35636
13599,35692
13647,35698
13744,35688
13797,35785
13892,35729
13940,35776
13986,35891
14083,35773
14131,35679
14180,35613
14276,35739
14325,35667
14420,35652
14469,35803
14521,35672
14614,34717
14667,33765
14711,33745
14810,32514
14856,32328
14953,32750
15000,34073
15049,35594
15149,35765
15195,35701
15295,35818
15340,35907
15387,35793
15489,35557
15532,34524
15581,32950
15677,32341
15731,32258
15823,33256
15869,34042
15919,35656
16016,35865
16064,35746
16112,35558
16214,35706
16257,35721
16354,35538
16403,34356
16451,33310
16553,32355
16596,32314
16693,32775
16742,34558
16789,35525
16894,35691
16934,35675
16985,35631
17079,35740
17128,35734
17224,35704
17272,34632
17320,33156
17417,32425
17467,32318
17513,32567
17610,34078
17659,35511
17755,35704
17805,35746
17852,35809
17949,35875
17999,35740
18045,35635
18141,34499
18191,33092
18295,32415
18339,32361
18383,32837
18481,34534
18529,35787
18624,35929
18678,35726
18722,35638
18821,35681
18866,35683
18916,35617
19011,34669
19060,33011
19161,32401
19206,32313
19255,32708
19349,34385
19399,35440
19447,35691
19545,35665
19595,35679
19696,35768
19737,35715
19786,35752
19881,34884
19930,33241
19980,32477
20075,32421
20129,32964
20220,34333
20268,35606
20324,35778
20413,35726
20461,35804
20558,35963
20606,35732
20655,35643
20751,34782
20800,33114
20848,32445
20949,32337
20996,32757
21092,34305
21139,35660
21187,35884
21283,35618
21331,35649
21379,35732
21476,35652
21524,35654
21621,34800
21670,33161
21718,32354
21815,32370
21864,33024
21911,34187
22008,35617
22056,35662
22153,35633
22202,35674
22250,35783
22345,35688
22395,35682
22495,34837
22540,32782
22588,32383
22685,32367
22733,32813
22781,34105
22878,35641
22929,35764
23023,35654
23075,35814
23120,35901
23218,35664
23265,35607
23314,34925
23409,32759
23461,32384
23554,32256
23602,32851
23652,34012
23748,35831
23800,35842
23843,35571
23943,35659
23989,35680
24089,35653
24135,35482
24185,34505
24280,33155
24327,32281
24424,32289
24472,32856
24521,34008
24623,35685
24665,35637
24715,35660
24810,35705
24859,35738
24960,35631
25004,35780
25053,35090
25149,33347
25198,32426
25245,32265
25341,32930
25390,34000
25493,35752
25536,35700
25583,35715
25680,35910
25728,35761
25824,35579
25874,35509
25922,34314
26018,33051
26066,32317
26114,32249
26212,32738
26261,34209
26356,35972
26407,35663
26453,35628
26550,35717
26599,35678
26647,35631
26743,35467
26793,34681
26892,33212
26938,32339
26987,32274
27082,32734
27130,33885
27178,35632
27275,35650
27324,35629
27419,35754
27470,35729
27516,35719
27612,35751
27664,34322
27758,32971
27804,32389
27854,32216
27951,32735
27998,34147
28049,35674
28144,35664
28198,35832
28292,35891
28338,35646
28387,35599
28482,35534
28536,34489
28579,33211
28679,32263
28723,32340
28820,32603
28869,34278
28916,35666
29013,35542
29061,35675
29158,35593
29208,35629
29255,35670
29351,35575
29401,34261
29449,32871
29544,32403
29595,32260
29697,33167
29738,34226
29785,35528
29883,35652
29931,35713
29982,35710
30077,35728
30126,35873
30221,35694
30269,34255
30318,33021
30414,32343
30463,32348
30563,32929
30609,34386
30657,35667
30752,35800
30800,35857
30849,35677
30945,35584
30994,35689
31092,35518
31139,34404
31186,32935
31288,32321
31331,32307
31383,33229
31477,34503
31524,35473
31621,35684
31669,35629
31722,35608
31814,35762
31864,35710
31911,35806
32012,34613
32056,33087
32152,32377
32202,32421
32249,32963
32350,34265
32394,35725
32493,35693
32539,35797
32589,35952
32689,35714
32732,35633
32781,35693
32877,34512
32925,32902
33021,32287
33071,32380
33118,33113
33215,34669
33265,35776
33312,35597
33408,35645
33457,35680
33552,35641
33601,35668
33650,35755
33745,34536
33794,32954
33899,32277
33940,32285
33990,33042
34085,34323
34133,35669
34181,35684
34280,35725
34326,35704
34422,35810
34470,35912
34519,35732
34619,34624
34664,33191
34716,32336
34808,32391
34857,33076
34953,34397
35001,35776
35050,35966
35146,35780
35197,35602
35300,35707
35339,35706
35389,35631
35484,34740
35534,32998
35581,32284
35678,32384
