Timestamp,HeartRate
824,83
1641,83
2633,83
3636,83
4638,83
5639,83
6462,83
7442,83
8423,83
9427,83
10429,83
11437,83
12250,83
13239,83
14241,83
15225,83
16228,83
17228,83
18040,83
19040,83
20038,83
21040,83
22024,83
22862,83
23831,83
24833,83
25833,83
26835,83
27678,83
28647,83
29631,83
30629,83
31634,83
32630,83
33634,83
34439,83
35443,83
36429,83
37430,83
38433,83
39247,83
40245,83
41235,83
42246,83
43231,83
44228,83
45036,83
46030,83
47036,83
48038,83
49046,83
49857,83
50829,83
51826,83
52826,83
53834,83
54837,83
55649,83
56643,83
57633,83
58623,83
59631,83
