Timestamp,Pulse
81,36206
130,35650
227,33974
281,33019
323,32557
420,32713
469,33355
518,34554
613,36094
667,36183
758,36199
806,36172
854,36269
951,36219
998,36307
1046,35787
1148,33935
1192,32994
1288,32583
1337,32734
1385,33481
1481,35053
1529,36216
1626,36258
1675,36404
1722,36164
1818,36109
1870,36224
1915,36069
2012,35700
2059,34383
2156,32650
2207,32589
2253,32855
2349,33253
2405,35159
2494,36238
2541,36152
2591,36169
2687,36254
2735,36203
2783,36341
2880,36341
2934,35668
3024,33996
3075,33004
3121,32610
3218,32636
3272,33581
3315,34967
3411,36327
3459,36410
3555,36109
3604,36163
3652,36177
3748,36150
3796,36187
3893,35490
3943,34392
3990,32917
4086,32595
4136,32775
4182,33520
4278,35146
4328,36125
4425,36180
4473,36240
4519,36220
4618,36300
4667,36405
4714,36249
4811,35809
4858,34417
4958,32824
5003,32582
5052,32770
5147,33859
5198,35623
5293,36422
5341,36264
5390,36090
5485,36163
5539,36199
5586,36129
5680,36248
5726,35606
5823,33738
5872,32941
5920,32598
6016,32717
6065,33353
6161,35534
6213,36128
6257,36256
6354,36198
6401,36267
6454,36419
6547,36270
6596,36106
6692,35599
6738,33699
6789,32801
6885,32510
6934,32715
6981,33536
7078,35288
7126,36268
7221,36136
7271,36216
7320,36200
7416,36136
7466,36215
7561,36191
7610,35291
7659,33628
7754,32759
7806,32586
7850,32870
7949,33713
7997,34983
8092,36184
8140,36211
8189,36236
8285,36287
8335,36408
8382,36227
8478,36103
8526,35649
8628,33879
8671,32931
8719,32567
8816,32796
8865,33609
8965,35150
9010,36286
9059,36076
9154,36182
9202,36205
9250,36088
9347,36191
9396,36218
9492,35347
9542,33846
9589,32839
9685,32600
9734,32777
9782,33572
9878,35022
9927,36141
10023,36257
10074,36178
10120,36352
10217,36357
10266,36163
10361,36100
10412,35201
10457,33725
10555,32845
10601,32535
10651,32804
10746,33961
10795,35777
10895,36110
10938,36099
10989,36185
11084,36147
11133,36167
11181,36220
11281,36143
11328,35417
11421,34043
11471,32877
11518,32592
11621,33007
11663,33473
11760,35996
11808,36240
11856,36245
11957,36305
12000,36331
12050,36064
12145,36073
12195,36122
12290,35259
12337,33599
12387,32752
12484,32471
12533,32736
12585,33619
12682,35222
12725,36050
12822,36161
12872,36100
12918,36091
13015,36200
13063,36146
13158,36148
13208,35031
13257,34017
13353,32763
13403,32553
13449,32881
13548,33630
13595,35502
13691,36198
13745,36167
13788,36323
13888,36286
13932,36115
13985,36096
14077,36178
14130,35460
14222,33806
14270,32727
14321,32451
14415,32807
14470,33442
14560,35800
14609,36065
14660,36183
14753,36117
14802,36057
14850,36226
14946,36188
14995,36166
15091,36087
15139,33782
15188,32914
15284,32546
15332,32705
15380,33492
15478,35060
15527,36204
15621,36113
15672,36308
15718,36370
15816,36077
15866,36126
15961,36176
16008,36145
16057,36084
16156,36220
16201,36194
16251,36220
16346,36373
16399,36188
16491,36077
16540,36183
16589,36128
16685,36121
16739,35975
16782,34937
16877,33434
16928,32655
17023,32651
17073,33159
17119,34292
17216,36083
17265,36093
17360,36123
17411,36194
17457,36210
17554,36257
17601,36354
17650,36173
17747,34753
17798,33289
17892,32696
17940,32574
17988,33111
18085,34160
18135,35735
18181,36309
18277,36250
18325,36004
18423,36116
18472,36152
18520,36025
18615,35975
18667,34502
18761,33123
18810,32595
18858,32576
18954,32982
19006,34054
19051,36033
19148,36055
19196,36158
19292,36219
19339,36161
19388,36279
19489,36318
19536,36081
19587,35351
19679,33576
19732,32636
19822,32539
19872,33007
19921,34289
20016,36030
20065,36334
20165,36190
20210,36078
20257,36114
20354,36231
20403,36080
20451,36184
20547,34886
20595,33154
20692,32666
20742,32543
20788,33258
20885,33955
20934,35909
20980,36081
21078,36121
21127,36216
21223,36155
21271,36306
21319,36334
21417,35920
21467,34754
21568,33170
21610,32648
21659,32468
21755,32958
21805,34293
21853,36053
21947,36384
22001,36204
22092,36003
22140,36165
22191,36064
22285,36103
22338,35982
22382,34913
22478,32956
22529,32532
22625,32597
22672,33147
22720,34102
22821,36073
22869,36042
22914,36158
23011,36207
23058,36132
23155,36223
23202,36357
23252,36104
23347,34692
23396,33022
23493,32616
23540,32608
23591,33111
23686,34333
23735,36135
23781,36317
23879,36268
23927,36107
24023,36148
24074,36152
24120,36053
24216,35972
24265,34497
24313,33111
24411,32578
24459,32580
24555,33009
24604,34119
24651,35999
24747,36095
24797,36150
24892,36157
24944,36146
24989,36275
25087,36317
25134,35835
25185,34377
25278,33023
25326,32603
25425,32542
25476,33139
25520,34349
25617,36199
25666,36346
25762,36140
25811,36058
25859,36131
25955,36138
26004,36068
26051,36208
26148,34473
26200,33206
26293,32598
26342,32681
26389,33327
26485,34372
26534,35466
26585,36036
26680,36129
26728,36156
26824,36135
26873,36273
26920,36346
27017,35891
27066,34483
27162,33165
27211,32630
27258,32495
27355,32931
27403,34054
27452,36063
27548,36310
27596,36190
27694,36045
27740,36118
27787,36085
27885,36067
27934,35959
27983,34929
28079,32939
28128,32553
28224,32569
28277,33045
28321,34397
28417,35688
28468,36062
28514,36119
28611,36209
28661,36144
28759,36223
28803,36330
28854,36082
28948,34930
29001,33188
29094,32647
29143,32517
29193,33069
29287,34130
29335,35662
29383,36344
29478,36251
29529,36033
29624,36178
29678,36090
29720,36107
29817,36001
29868,34486
29917,33107
30010,32600
30065,32539
30155,32923
30203,34092
30251,35750
30348,36054
30398,36182
30493,36122
30541,36192
30589,36277
30685,36200
30734,35730
30783,34389
30878,33170
30927,32559
31025,32518
31075,33076
31121,34351
31216,36178
31265,36191
31366,36062
31411,36090
31457,36129
31554,36084
31601,36114
31651,36180
31747,34538
31797,33290
31892,32690
31940,32661
31988,33318
32090,34510
32133,35815
32186,36127
32277,36186
32326,36135
32421,36297
32472,36308
32519,36021
32615,35933
32665,34563
32760,33097
32810,32587
32858,32441
32954,33144
33003,34150
33050,36109
33146,36127
33195,36043
33291,36219
33341,36089
33388,36132
33485,36223
33533,35703
33585,34120
33680,32997
33727,32638
33823,32564
33875,33207
33918,34406
34018,35963
34064,36210
34159,36058
34210,36179
34257,36357
34359,36241
34401,36052
34451,35579
34547,34320
34600,33316
34692,32554
34740,32526
34789,33334
34884,34347
34940,36203
34985,36128
35078,36051
35126,36125
35223,36118
35273,36093
35318,36290
35415,35918
35465,34534
35561,33108
35611,32622
35658,32568
35755,33063
35803,34566
35851,35896
35946,36173
35996,36177
36092,36151
36139,36379
36187,36134
36286,36066
36333,35680
36381,33996
36477,33137
36527,32479
36621,32533
36669,33162
36720,34589
36815,36145
36868,36046
36960,36172
37008,36098
37058,36142
37153,36151
37201,36133
37249,36063
37350,34773
37395,33115
37490,32517
37539,32684
37587,33243
37689,34474
37732,36152
37781,36137
37876,36157
37925,36321
38028,36261
38072,36047
38117,36104
38216,35927
38265,34366
38358,32809
