Timestamp,Pulse
19,7117
115,4791
163,5865
266,6638
310,8126
355,8699
456,8717
501,8699
549,8642
646,8731
693,8724
790,7919
841,6382
888,5922
983,5584
1032,6442
1080,7474
1176,8038
1224,8736
1319,8740
1368,8701
1418,8715
1513,8685
1561,8737
1658,8132
1704,7422
1754,5901
1850,5649
1898,6341
1947,7684
2046,9019
2102,8703
2188,8649
2237,8756
2289,8774
2380,8692
2429,8716
2526,8239
2573,6773
2623,5853
2717,5679
2770,6272
2814,7696
2912,9149
2961,8665
3055,8714
3108,8696
3152,8623
3249,8764
3303,8679
3393,8293
3441,6774
3494,5643
3591,5633
3634,6292
3687,7605
3777,8707
3827,8648
3924,8765
3971,8714
4018,8740
4115,8737
4166,8657
4212,6937
4308,6618
4357,5707
4452,5619
4503,6266
4550,7612
4646,8703
4698,8683
4790,8736
4841,8670
4889,8733
4982,8741
5037,8674
5079,8363
5179,6274
5223,5753
5319,5667
5374,6350
5417,7608
5519,8710
5561,8736
5657,8747
5705,8708
5754,8713
5851,8676
5898,8735
5947,8328
6043,5905
6091,5596
6188,5615
6237,6418
6286,7587
6380,8675
6430,8739
6525,8676
6575,8689
6621,8718
6718,8718
6767,8718
6815,7486
6911,6812
6957,5702
7060,5601
7104,6284
7154,7542
7248,8683
7296,8738
7395,8751
7439,8700
7492,8711
7585,8658
7633,8703
7684,7391
7778,6311
7826,5493
7922,5585
7972,6304
8019,7606
8115,8666
8163,8725
8259,8739
8308,8646
8356,8735
8452,8681
8501,8476
8549,6830
8644,5455
8693,5573
8789,5633
8842,6311
8887,7573
8982,8676
9031,8685
9127,8701
9180,8718
9223,8718
9318,8746
9368,8884
9416,7182
9512,6221
9560,5662
9656,5621
9703,6301
9752,8399
9848,8656
9898,8716
9945,8697
10041,8740
10089,8746
10185,8689
10234,8590
10286,7345
10377,5663
10428,5502
10523,5576
10571,6625
10619,8640
10715,8755
10764,8729
10859,8698
10909,8678
10960,8694
11053,8765
11106,8640
11150,7555
11250,6014
11295,5625
11390,5608
11440,6832
11491,8463
11587,8723
11631,8658
11680,8767
11776,8695
11825,8779
11919,8710
11968,8485
12017,7433
12113,6104
12163,5646
12257,5630
12310,7469
12354,8167
12450,8706
12505,8704
12548,8734
12643,8661
12692,8750
12789,8665
12835,8559
12889,7344
12981,6116
13034,5628
13125,5776
13174,7232
13221,8578
13317,8657
13367,8720
13414,8666
13511,8728
13558,8654
13655,8723
13702,8558
13751,7331
13846,6166
13897,5675
13991,5627
14040,7435
14095,8451
14186,8737
14233,8639
14286,8747
14379,8695
14427,8742
14525,8689
14572,8502
14620,7491
14720,6099
14763,5580
14814,5831
14909,7652
14957,8654
15058,8666
15101,8736
15150,8628
15246,8758
15302,8736
15391,8664
15439,8559
15495,7296
15584,5724
15633,5585
15683,6315
15776,7362
15825,8564
15920,8751
15970,8700
16017,8728
16114,8664
16164,8645
16257,8777
16311,8532
16357,7410
16451,6133
16501,5588
16548,6124
16648,6894
16705,8433
16788,8742
16837,8658
16889,8752
16980,8682
17029,8666
17126,8749
17175,8520
17221,7381
17317,5449
17367,5589
17414,5950
17511,7642
17561,8358
17656,8686
17702,8736
17752,8703
17848,8687
17897,8706
17992,8626
18046,8531
18089,7364
18188,5455
18234,5545
18285,5959
18378,7021
18432,8446
18521,8734
18571,8731
18619,8750
18714,8682
18763,8683
18859,8670
18908,8569
18955,7369
19052,5815
19102,5547
19149,6011
19245,6986
19293,8414
19394,8687
19437,8691
19489,8712
19582,8726
19629,8714
19684,8643
19775,8555
19822,6268
19917,5665
19966,5570
20014,5952
20113,7206
20159,8610
20256,8725
20308,8741
20353,8673
20449,8656
20499,8697
20546,8752
20641,8677
20689,6639
20787,5417
20835,5604
20890,5909
20979,7116
21028,8602
21124,8681
21172,8698
21221,8760
21316,8666
21365,8724
21413,8705
21511,7136
21558,5962
21654,5658
21702,5589
21751,5904
21848,6996
21893,8376
21991,8718
22041,8704
22088,8674
22185,8740
22234,8646
22286,8743
22378,7566
22427,5733
22523,5745
22577,5583
22619,5922
22719,7871
22764,8694
22814,8731
22909,8648
22957,8726
23057,8659
23101,8693
23148,8733
23246,8436
23295,6112
23390,5774
23439,5560
23493,5885
23583,7739
23632,8832
23681,8681
23776,8683
23824,8730
23920,8647
23970,8690
24018,8703
24114,7953
24162,6078
24261,5766
24306,5588
24355,5905
24450,7862
24504,8719
24547,8701
24646,8679
24693,8653
24788,8770
24836,8701
24887,8754
24980,8097
25028,6686
25126,5547
25174,5579
25221,6781
25317,8132
25366,8624
25413,8781
25510,8666
25559,8700
25655,8724
25702,8655
25752,8753
25848,8057
25898,6599
25992,5628
26039,5601
26093,6391
26184,8344
26234,8733
26285,8731
26378,8679
26429,8744
26523,8702
26572,8728
26621,8682
26715,8153
26767,6580
26860,5708
26909,5863
26957,6920
27053,7959
27101,8722
27149,8673
27250,8722
27301,8655
27390,8672
27440,8711
27493,8686
27587,8168
27631,6294
27681,5620
27775,5722
27825,6934
27919,7879
27969,8753
28016,8671
28112,8671
28162,8693
28256,8721
28310,8742
28354,8657
28449,8029
28502,6449
28547,5572
28643,5766
28699,6754
28788,7795
28836,8705
28890,8674
28979,8708
29030,8709
29124,8646
29172,8750
29220,8680
29317,7805
29367,5955
29414,5638
29510,5808
29558,6561
29655,7806
29701,8718
29752,8672
29848,8734
29896,8702
29996,8757
30040,8705
30092,8668
30186,7968
30239,5838
30288,5577
30378,5790
30427,6566
30523,7822
30577,8721
30619,8683
30720,8673
30764,8688
30814,8670
30908,8728
30956,8688
31057,6460
31102,6048
31150,5580
31246,5710
31294,6493
31391,7583
31438,8680
31488,8741
31584,8653
31634,8696
31684,8656
31777,8719
31825,8709
31921,6427
31972,5749
32018,5617
32114,5684
32165,6436
32259,7751
32307,8738
32356,8698
32452,8739
32503,8674
32548,8770
32647,8702
32693,8935
32789,7260
32838,5888
32887,5594
32983,5687
