Timestamp,HeartRate
611,74
1620,74
2623,74
3620,74
4449,74
5422,74
6429,74
7424,74
8429,74
9429,74
10237,74
11227,74
12221,74
13214,74
14220,74
15050,74
16029,74
17024,74
18024,72
19023,72
19873,74
20838,74
21834,74
22827,74
23836,74
24813,74
25815,74
26626,74
27621,73
28618,73
29624,73
30631,73
31443,73
32426,73
33433,73
34434,73
35431,74
36421,74
37228,72
38219,73
39230,73
40222,73
41221,73
42050,73
43024,73
44034,73
45032,74
46026,74
47032,74
47840,74
48814,74
49819,74
50827,74
51817,74
52650,74
53628,74
54630,74
55626,74
56629,74
57626,74
58438,74
59430,74
