Timestamp,HeartRate
645,69
1620,69
2447,69
3425,69
4432,69
5434,69
6430,69
7264,69
8238,69
9239,69
10241,69
11239,69
12237,69
13047,69
14026,69
15033,69
16032,69
17035,69
17858,69
18835,69
19845,69
20837,69
21844,69
22837,69
23641,69
24627,69
25637,69
26631,69
27631,69
28460,69
29436,69
30444,69
31437,69
32436,69
33436,69
34241,69
35223,69
36230,69
37233,69
38227,69
39062,69
40036,69
41043,69
42038,69
43039,69
44037,69
44840,69
45832,69
46829,69
47832,69
48829,69
49664,69
50637,69
51640,69
52635,69
53639,69
54636,69
55440,69
56427,69
57437,69
58432,69
59432,69
