Timestamp,Pulse
7,8520
54,8548
151,8513
200,8469
247,8569
343,8513
391,8256
488,6925
537,5962
584,5556
681,6032
728,7124
777,8457
873,8551
923,8585
1018,8469
1071,8522
1115,8457
1213,8447
1260,7415
1356,5825
1404,5625
1451,5785
1553,6770
1597,8139
1647,8475
1741,8544
1792,8470
1887,8606
1934,8526
1983,8500
2078,7936
2127,6195
2223,5514
2271,5640
2322,6426
2416,7748
2465,8466
2512,8599
2609,8500
2656,8502
2752,8554
2802,8476
2850,8269
2946,6662
2996,5601
3098,5535
3139,6368
3188,7345
3283,8542
3332,8542
3379,8533
3477,8566
3524,8490
3620,8454
3671,8385
3716,7139
3812,5657
3862,5481
3957,5939
4006,7562
4053,8340
4147,8497
4197,8570
4243,8532
4341,8454
4392,8526
4486,8516
4534,7641
4583,5768
4679,5510
4727,5746
4823,7172
4877,8384
4920,8540
5017,8585
5067,8512
5114,8466
5208,8577
5260,8561
5353,7688
5402,6300
5450,5412
5546,5599
5594,6982
5691,7374
5740,8522
5787,8573
5883,8477
5931,8503
5979,8522
6077,8542
6124,7007
6220,6314
6270,5526
6316,5511
6411,6066
6461,7677
6558,8503
6607,8528
6653,8453
6750,8571
6800,8490
6846,8497
6944,8123
6993,6516
7087,5387
7141,5448
7183,5840
7283,7876
7329,8190
7378,8595
7473,8517
7522,8521
7618,8519
7664,8461
7714,8599
7810,6910
7865,5461
7955,5417
8003,5679
8051,6513
8150,8489
8197,8537
8244,8468
8341,8553
8388,8535
8485,8507
8535,8517
8582,6520
8678,6123
8726,5538
8823,5549
8871,6642
8919,8450
9017,8567
9064,8521
9112,8552
9214,8536
9260,8466
9352,8598
9402,7844
9450,6397
9546,5676
9596,5507
9691,7147
9743,7483
9787,8458
9886,8476
9931,8466
9982,8568
10076,8500
10127,8526
10221,8272
10268,6067
10318,5710
10413,5484
10468,5999
10513,7283
10607,8937
10654,8568
10751,8493
10799,8527
10846,8486
10943,8497
10992,8347
11087,6203
11139,5985
11185,5517
11281,5803
11328,7359
11377,8532
11474,8542
11523,8471
11618,8590
11666,8515
11716,8474
11810,8686
11861,7557
11956,5565
12004,5420
12051,5483
12150,6976
12196,7998
12245,8563
12341,8558
12389,8529
12487,8530
12534,8514
12583,8495
12678,7492
12725,6625
12822,5542
12871,5513
12922,6543
13015,8180
13064,8534
13112,8562
13214,8484
13256,8528
13354,8515
13403,8508
13450,8498
13547,7047
13594,5911
13643,5521
13740,6407
13787,7786
13884,8585
13935,8532
13981,8574
14076,8495
14126,8486
14222,8586
14271,8633
14318,6776
14415,6089
14464,5587
14511,5973
14607,6836
14654,8331
14754,8451
14801,8558
14850,8542
14946,8551
14992,8506
15095,8484
15140,7127
15187,6209
15282,5692
15335,5697
15378,6452
15475,7849
15523,8522
15620,8533
15667,8510
15716,8491
15812,8516
15861,8515
15957,7621
16006,6646
16053,5839
16150,5550
16199,6174
16246,7428
16342,8484
16391,8511
16487,8575
16535,8494
16584,8537
16680,8480
16730,8225
16777,6118
16873,5992
16921,5581
17017,6114
17066,7069
17113,8491
17209,8498
17260,8556
17353,8545
17403,8504
17452,8552
17547,8424
17595,7696
17643,5693
17740,5526
17790,5825
17884,6702
17937,8026
17981,8557
18077,8520
18126,8541
18221,8533
18270,8489
18318,8535
18414,7945
18463,6544
18514,5623
18607,5764
18654,6523
18752,7705
18800,8502
18848,8437
18944,8556
18994,8495
19089,8504
19138,8506
19184,8201
19281,6874
19331,5755
19378,5534
19473,6214
19522,7286
19618,8499
19665,8533
19715,8507
19811,8541
19862,8558
19957,8476
20003,8362
20053,7235
20147,6050
20196,5504
20244,5949
20344,7082
20387,8321
20484,8551
20534,8542
20581,8503
20681,8568
20725,8513
20826,8438
20870,7640
20918,6321
21014,5470
21063,5751
21121,6580
21207,8341
21256,8593
21351,8547
21401,8504
21448,8509
21544,8470
21593,8527
21689,8161
21741,6412
21785,5606
21884,5560
21929,6209
21979,8212
22073,8467
22122,8570
22224,8524
22267,8476
22318,8584
22411,8495
22460,8337
22556,6130
22604,5518
22652,5482
22749,6008
22798,7577
22845,8479
22941,8453
22990,8523
23086,8498
23135,8548
23183,8436
23279,8460
23326,6893
23424,5922
23473,5462
23521,5779
23616,6969
23663,8675
23713,8496
23808,8530
23858,8458
23954,8586
24005,8478
24050,8526
24150,7783
24198,5937
24244,5506
24340,6024
24391,7260
24484,8379
24542,8579
24584,8517
24677,8504
24725,8531
24827,8447
24870,8571
24919,8188
25014,6032
25063,5468
25111,5481
25213,6996
25255,7931
25352,8550
25402,8506
25448,8470
25545,8541
25593,8534
25690,8559
25740,7651
25785,5784
25882,6145
25930,5669
25979,5502
26075,6855
26125,8198
26220,8573
26267,8519
26317,8507
26413,8491
26462,8559
26558,8496
26606,6045
26653,5715
26752,5511
26799,6093
26847,7731
26943,8554
26990,8540
27088,8574
27136,8536
27186,8586
27281,8506
27332,8669
27377,7178
27473,5724
27522,5570
27618,5546
27670,6595
27714,8362
27816,8518
27861,8554
27955,8516
28004,8498
28052,8505
28154,8405
28197,7201
28245,5462
28341,5622
28390,5595
28485,6606
28533,8253
28582,8498
28678,8519
28727,8528
28823,8494
28874,8523
28919,8483
29016,8112
29064,6598
29113,5713
29208,5597
29258,6898
29353,8021
29403,8561
29451,8502
29545,8532
29599,8496
29689,8454
29739,8539
29789,8097
29883,6851
29931,5922
29979,5491
30077,6077
30124,7597
30220,8520
30268,8478
30316,8548
30412,8499
30461,8548
30557,8528
30604,8085
30652,7134
30750,6100
30798,5587
30846,5700
30942,7423
30991,8494
31087,8484
31136,8519
31183,8547
31280,8519
31332,8562
31424,8502
31472,7568
31521,6316
31620,5668
31665,5784
31715,6522
31810,7845
31860,8559
31955,8517
32003,8518
32053,8507
32147,8472
32195,8557
32244,7699
32340,6491
32387,5564
32484,5544
32533,6291
32581,7423
32683,8516
32725,8529
32822,8474
32871,8585
32919,8509
33015,8493
33063,8445
33118,7010
33208,5595
33257,5509
33352,6069
33401,7047
33449,8326
33546,8558
33594,8509
33691,8482
33741,8501
33787,8524
33883,8504
33931,7605
33980,6245
34076,5580
34126,6003
34223,6670
34270,7981
34318,8573
34414,8476
34464,8536
34510,8492
34606,8488
34655,8529
34751,8014
34803,6405
34847,5494
34944,5609
34995,6343
35106,7859
35141,8461
35186,8547
35283,8503
35331,8507
35380,8484
35475,8491
35529,8225
35620,6901
35668,5481
35716,5509
35812,6076
35867,7432
35910,8536
36008,8461
36054,8540
36151,8523
36200,8520
36247,8430
36343,8200
36392,6274
36488,5796
36538,5471
36585,5787
36681,7035
36730,8524
36778,8564
36874,8531
36924,8461
37018,8542
37068,8519
37115,8585
37213,7632
37260,5937
37356,5452
37410,5644
37453,6461
37552,8628
37598,8549
37647,8468
37741,8514
37792,8488
37890,8467
37935,8529
37986,7368
38079,6133
38128,5586
38224,5540
38272,7144
38321,7978
38417,8483
38466,8502
38513,8504
38615,8548
38657,8515
38754,8470
38804,7836
38851,5859
38948,5649
38996,5492
39043,6630
39140,7826
39190,8617
39284,8538
39334,8467
39382,8576
39478,8493
39526,8484
39622,7588
39670,5722
39719,5706
39815,5613
39864,6350
39914,7548
40007,8538
40058,8556
40152,8478
40201,8548
40250,8515
40345,8484
40393,8569
40494,6239
40538,6045
40589,5536
40683,5963
40731,7242
40779,8478
40877,8581
40932,8536
41020,8504
41069,8530
41116,8515
41214,8384
41261,7142
41357,5427
41406,5617
41453,5975
41550,6900
41598,8084
41647,8515
41743,8531
41792,8523
41888,8552
41937,8483
41984,8551
42081,7587
42128,6671
42177,5746
42273,5500
42321,6469
42420,7667
42466,8501
42516,8566
42611,8472
42661,8564
42757,8476
42804,8520
42853,8558
42947,6854
42997,5930
43044,5527
43145,6503
43188,7534
43285,8461
43339,8500
43381,8538
43484,8511
43528,8509
43623,8504
43671,8193
43719,7162
43817,6048
43863,5498
43914,5890
44008,6923
44057,8273
44152,8566
44201,8529
44250,8495
44345,8502
44394,8529
44490,8556
44541,7736
44586,6355
44683,5645
44734,5728
44781,6420
44876,7871
44925,8507
45023,8465
45068,8578
45118,8497
45213,8493
45261,8515
45309,7977
45405,6646
45454,5741
45550,5568
45598,6254
45646,7483
45744,8589
45792,8525
