Timestamp,Pulse
31,42570
82,42642
181,41949
230,43110
276,43021
381,43138
424,39879
477,39611
571,38732
623,38929
669,40722
768,43304
818,43787
912,42913
965,42317
1011,42110
1108,43140
1158,43491
1205,42611
1305,39946
1352,38647
1404,39488
1500,39428
1548,40629
1651,41776
1696,42943
1745,43889
1842,42972
1890,42980
1940,43981
2038,43440
2087,41777
2135,40245
2235,39396
2288,38704
2385,38266
2429,40132
2479,42413
2585,43092
2624,43521
2674,42956
2771,42822
2820,43334
2869,42932
2967,41816
3017,40112
3115,38882
3163,38798
3211,38965
3309,40254
3365,42586
3408,42868
3509,42196
3553,43162
3603,44017
3702,42581
3751,43326
3848,41845
3898,39992
3946,38931
4043,37998
4092,38830
4140,39998
4238,43556
4288,42945
4336,42984
4438,42199
4483,43004
4582,42470
4634,42574
4679,41920
4787,39905
4825,38807
4875,38637
4976,38943
5020,39930
5069,42787
5167,42954
5217,42986
5313,43996
5363,42978
5412,42906
5509,42850
5563,42461
5608,40184
5708,39263
5754,38323
5806,38178
5901,40907
5951,42452
6048,42980
6098,42916
6145,42139
6244,43579
6292,43484
6341,42178
6439,41664
6488,40271
6537,38880
6634,38689
6685,38664
6782,40200
6834,42039
6880,43448
6988,42941
7027,42940
7075,42987
7173,42875
7222,42478
7275,41876
7369,40293
7417,38539
7520,38668
7565,39757
7615,41137
7709,41910
7763,42927
7808,43900
7908,42078
7955,42943
8004,42911
8101,42522
8151,41078
8248,39920
8298,39291
8346,38630
8448,39125
8492,40902
8544,42797
8640,42898
8688,42981
8737,42962
8835,43516
8883,42767
8987,42874
9030,42200
9082,39704
9180,38885
9228,38698
9275,39224
9379,40084
9422,42263
9472,42949
9569,42936
9623,42990
9717,43986
9765,43354
9814,44084
9911,41883
9963,40269
10009,38100
10107,38567
10156,39078
10204,40386
10303,42503
10351,42560
10449,42610
10499,43378
10546,43231
10645,42978
10693,42450
10743,41355
10840,39957
10892,38927
10938,38599
11041,39191
11086,39760
11182,43979
11233,42932
11281,42192
11379,43932
11428,42937
11476,42976
11578,42032
11623,41497
11671,40454
11770,39036
11818,38627
11920,38310
11965,40415
12014,42558
12112,43956
12160,43044
12209,42943
12307,42145
12357,42936
12404,42932
12503,41623
12551,39667
12649,39582
12699,38742
12747,39130
12848,40533
12895,43328
12944,42960
13040,42049
13089,42333
13139,42808
13236,42950
13287,43616
13391,41698
13432,39277
13481,38244
13580,38732
13629,39684
13676,40694
13778,41900
13824,42306
13873,42893
13969,42909
14018,42934
14118,42933
14178,42937
14215,41901
14311,39746
14361,38978
14410,38660
14508,38452
14556,41298
14604,42887
14703,42905
14753,42241
14849,42954
14900,42224
14946,42961
15047,42889
15093,41379
15144,39384
15241,38941
15290,38747
15338,38975
15437,40900
15486,43165
15534,44044
15631,42960
15681,42914
15782,42031
15833,43546
15879,42997
15978,41950
16023,39720
16072,38617
16170,39351
16219,39864
16267,40672
16365,42798
16413,42965
16512,42866
16561,42319
16612,42967
16708,42211
16761,43446
16805,41031
16906,39695
16954,38720
17001,38651
17099,38910
17148,40491
17246,42861
17296,42462
17343,42736
17442,43034
17489,42629
17540,43788
17637,43492
17691,41913
17735,39419
17835,38948
17883,38552
17981,39810
18031,39860
18078,42478
18177,42954
18225,42908
18273,42922
18379,42132
18420,43093
18474,42905
18567,41824
18615,40255
18715,38759
18763,38207
18812,38486
18908,40691
18958,41984
19007,42857
19104,43156
19154,43358
19201,42978
19299,42965
19348,43718
19446,41969
19496,39666
19544,38901
19642,38806
19690,39418
19741,41127
19836,42572
19888,42285
19933,42932
20034,42586
20084,42659
20189,42994
20228,43566
20277,42993
20378,43863
20425,42473
20473,40167
20571,39100
20620,38716
20669,39876
20765,39886
20815,42264
20911,41924
20963,42968
21011,42942
21108,43878
21156,42957
21205,42935
21303,42543
21353,40267
21400,38843
21499,38406
21549,38687
21646,40614
21693,41756
21743,42966
21844,43141
21890,43472
21939,41949
22036,42683
22086,42517
22134,43868
22231,40023
22282,39029
22379,38707
22429,38849
22476,39942
22579,41900
22623,42467
22675,43961
22770,42713
22819,43683
22916,42909
22969,43651
23013,41434
23114,40276
23161,38923
23210,38697
23307,39671
23356,39982
23404,42466
23502,42919
23552,42969
23600,42911
23703,42283
23746,43718
23843,43032
23897,43091
23942,40498
24043,38337
24089,38646
24139,38985
24236,39905
24286,42124
24384,42932
24432,43633
24481,42925
24581,43516
24627,42417
24678,42762
24778,42111
24822,40330
24870,38990
24970,38872
25018,39187
25116,40763
25168,41704
25213,42872
25311,42908
25360,42951
25410,43879
25507,41994
25556,42940
25604,43047
25702,40475
25757,39216
25849,37768
25898,38556
25947,39843
26044,41564
26093,43445
26141,43089
26240,42088
26290,42356
26338,42825
26435,42988
26484,42263
26582,39253
26632,38973
26679,38642
26782,39649
26827,40656
26879,42378
26975,42937
27022,42312
27072,43894
27170,43264
27221,42685
27315,42989
27366,41793
27414,40697
27511,39794
27561,38623
27610,38856
27707,40525
27756,41767
27806,41916
27903,43026
27958,43371
