Timestamp,HeartRate
986,58
1968,58
2899,58
3786,58
4781,57
5767,57
6776,57
7782,57
8768,57
9778,57
10599,57
11576,57
12578,57
13579,57
14576,58
15466,58
16434,58
17403,58
18380,58
19369,58
20381,58
21365,58
22372,58
23381,57
24368,57
25184,57
26182,57
27162,57
28173,57
29180,57
30176,57
31169,57
31995,57
32988,58
33968,58
34973,58
35974,58
36977,58
37993,58
38801,58
39775,58
40776,58
41783,57
42785,57
43788,57
44773,57
45602,57
46585,57
47584,57
48587,57
49569,57
50578,57
51582,58
52403,58
53386,58
54388,58
55373,58
56373,58
57384,58
58389,58
59203,58
