Timestamp,HeartRate
534,80
1516,80
2348,80
3321,78
4332,80
5322,80
6327,80
7331,80
8144,80
9134,80
10132,80
11117,80
12118,80
13121,80
13931,80
14927,79
15927,79
16928,79
17940,79
18747,79
19724,79
20719,80
21725,80
22718,80
23725,80
24539,80
25529,79
26533,80
27537,80
28524,80
29516,80
30326,80
31320,80
32322,80
33325,80
34331,80
35149,80
36134,80
37139,80
38115,78
39118,78
40126,78
40943,79
41922,78
42933,78
43940,79
44932,79
45931,79
46744,79
47716,79
48721,79
49728,79
50724,79
51723,79
52534,79
53532,78
54533,78
55531,79
56516,78
57352,78
58326,79
59321,79
