Timestamp,Pulse
79,40794
129,42653
176,42768
278,42756
321,42763
375,41693
469,42719
515,43214
619,41253
662,38528
711,38386
807,38505
859,39215
903,40586
1004,42660
1053,43538
1146,43813
1194,43325
1243,42707
1342,42566
1388,41543
1438,40840
1535,40243
1584,38640
1683,38359
1729,38389
1779,39572
1875,42696
1926,42752
1982,42744
2069,42794
2119,42753
2215,42707
2266,42408
2311,41129
2409,39317
2458,38459
2506,38414
2603,39120
2652,40895
2749,42725
2797,42759
2846,42794
2941,42751
2992,42771
3039,42758
3137,42593
3185,41004
3282,39057
3331,38522
3380,38507
3477,39027
3526,41328
3574,42647
3676,42755
3719,42752
3820,42880
3864,43841
3913,43027
4010,42473
4062,40389
4107,39335
4203,38562
4254,39189
4350,39024
4399,41045
4446,41858
4544,41832
4593,42783
4641,42752
4738,42805
4786,43429
4884,42705
4933,40242
4980,39138
5078,38696
5126,38911
5176,39204
5271,40347
5325,42657
5417,42758
5469,42705
5515,42772
5611,43662
5666,42220
5707,42564
5809,42094
5855,39339
5905,38573
5998,38904
6047,39518
6149,40882
6196,42621
6243,42744
6338,43038
6387,43855
6435,42700
6535,42757
6584,42728
6678,41269
6726,39357
6779,38538
6874,38568
6921,39246
6973,40618
7067,42697
7115,43178
7215,43745
7260,43451
7310,42934
7405,42747
7456,42436
7502,40485
7600,38691
7650,38313
7746,38460
7799,39551
7843,41731
7940,42671
7990,42769
8037,42734
8134,42756
8182,42713
8279,43797
8330,43378
8377,41123
8474,39210
8523,38035
8571,37657
8667,39157
8717,41096
8814,43810
8861,43383
8910,42728
9007,42800
9057,42727
9104,41732
9202,41536
9251,40282
9347,39168
9396,38953
9444,38472
9546,39181
9590,40269
9640,41689
9735,41995
9784,42809
9881,42754
9929,42762
9977,42740
10075,42556
10124,40833
10172,39132
10268,39104
10317,37927
10414,39408
10465,41201
10512,43531
10610,42746
10658,42745
10707,42742
10802,42445
10851,42062
10948,42757
10995,41554
11046,38500
11142,38658
11189,38887
11239,38157
11339,41146
11384,42678
11481,42763
11529,43199
11578,42885
11679,42920
11724,43243
11776,42746
11871,40401
11918,39841
12019,38543
12063,38106
12114,39918
12209,40958
12261,42696
12304,42671
12403,42734
12450,43493
12547,42705
12601,43233
12645,42752
12744,41406
12790,39293
12839,37783
12935,38621
12984,38643
13084,40695
13129,42654
13179,42695
13274,42917
13325,43236
13371,42777
13469,43460
13519,42346
13614,41181
13663,39231
13711,38504
13809,38439
13859,38689
13905,40539
14002,42624
14049,43505
14149,42753
14194,42772
14244,42806
14340,42730
14388,42832
14438,40785
14534,39402
14588,37896
14680,39203
14731,38734
14777,40272
14874,42622
14924,42724
14970,42775
15066,42757
15115,42722
15215,43773
15265,42194
15310,41209
15406,38602
15455,38504
15503,38460
15601,39246
15649,40503
15745,42654
15795,42251
15842,42593
15940,42484
15988,42984
16036,41674
16133,42597
16182,40674
16279,39185
16328,38536
16375,38786
16472,39122
16521,41222
16577,42717
16669,43094
16716,42175
16811,42754
16859,42744
16909,43677
17005,42568
17056,40756
17102,39120
17204,38488
17248,38400
17344,38964
17394,40495
17442,42503
17540,42915
17586,42197
17635,42748
17733,42754
17781,42761
17878,43454
17927,41380
17981,39184
18074,37906
18121,38500
18172,39999
18267,41950
18315,43704
18412,42744
18461,42759
18509,42831
18605,42538
18657,41672
18705,42743
18800,41038
18854,39231
18947,38448
18994,37756
19045,39108
19139,40805
19188,42383
19237,42759
19337,42766
19382,42745
19480,42776
19529,42781
19577,42751
19677,42079
19723,40305
19772,38519
19867,38516
19919,39233
20017,40826
20062,43671
20112,43812
20208,42780
20259,42808
20305,42748
20403,42057
20453,42785
20548,40653
20598,39509
20643,38459
20741,37825
20792,39185
20840,40546
20935,42654
20984,42744
21082,42842
21129,43383
21178,42837
21275,42763
21325,42686
21372,41070
21470,38740
21519,38223
21614,38458
21666,39360
21711,39769
21809,42678
21859,42821
