Timestamp,Pulse
254,2381473
257,2395697
258,2398261
259,2397169
260,2397953
261,2397763
262,2397691
262,2396481
263,2396647
264,2382067
731,2372901
733,2368461
736,2371525
736,2376369
737,2390521
738,2397953
739,2398285
739,2398167
740,2398119
741,2394937
1223,2396861
1225,2396267
1226,2380571
1228,2374991
1229,2370765
1231,2369933
1232,2374351
1233,2387767
1233,2397287
1234,2397121
1702,2397573
1703,2396005
1704,2396529
1705,2396551
1706,2396125
1707,2392467
1707,2374397
1708,2369743
1710,2370099
1711,2371999
2192,2383469
2194,2396149
2195,2398357
2195,2396671
2196,2397097
2197,2396481
2197,2396575
2198,2395483
2199,2392681
2200,2380429
2664,2371953
2666,2368533
2667,2371667
2668,2380667
2668,2394629
2669,2398807
2670,2397287
2671,2396765
2672,2395483
2673,2396885
3161,2397287
3162,2392421
3163,2380477
3164,2371359
3165,2370195
3166,2369507
3167,2375467
3168,2387577
3168,2397359
3169,2396481
3630,2397051
3632,2396361
3633,2396219
3633,2395911
3634,2397075
3635,2390853
3635,2374231
3637,2369507
3638,2371383
3638,2374587
4115,2386223
4117,2396125
4117,2397169
4118,2395935
4119,2396171
4120,2395959
4121,2397501
4122,2396457
4123,2385629
4124,2375561
4596,2370693
4598,2370479
4600,2372997
4601,2377935
4602,2395317
4603,2395389
4603,2395959
4604,2394889
4605,2396813
4605,2397121
5088,2397525
5090,2395103
5091,2378459
5092,2370931
5093,2370005
5094,2371929
5095,2377175
5095,2393631
5096,2397525
5097,2396433
5566,2396361
5567,2397097
5569,2396029
5570,2397145
5572,2395223
5573,2386863
5574,2374991
5575,2371287
5575,2371619
5576,2372831
6057,2391637
6058,2395981
6060,2397691
6061,2396813
6061,2396291
6062,2397691
6063,2397287
6063,2397241
6064,2388953
6065,2378671
6528,2372403
6529,2370289
6531,2374493
6531,2382709
6532,2395413
6533,2396125
6533,2397691
6534,2396481
6535,2397241
6535,2398689
7014,2397383
7016,2393061
7017,2376535
7018,2373115
7019,2371691
7020,2372593
7021,2381735
7022,2396361
7023,2397097
7023,2396195
7489,2398951
7491,2398213
7492,2397027
7492,2397573
7493,2393275
7494,2381189
7495,2376037
7495,2370457
7496,2372403
7497,2376345
7980,2391541
7982,2396623
7983,2398333
7984,2395531
7984,2399259
7985,2397075
7986,2397691
7986,2394889
7987,2382899
7988,2375133
8460,2371359
8463,2370837
8466,2375751
8467,2384205
8468,2397573
8470,2398997
8471,2399021
8471,2396695
8472,2396481
8473,2395745
8954,2397953
8955,2389405
8957,2374849
8958,2371595
8960,2369721
8962,2371715
8962,2379313
8963,2394937
8964,2397977
8964,2396907
9417,2398167
9419,2394961
9420,2394913
9421,2396623
9422,2393013
9423,2380287
9424,2371833
9426,2369197
9427,2371453
9428,2380263
9912,2395127
9914,2396623
9918,2395745
9920,2396481
9921,2397027
9923,2397953
9924,2397051
9925,2392111
9926,2380263
9927,2372379
10384,2368723
10388,2370647
10389,2379787
10391,2389665
10392,2397193
10393,2394675
10394,2395887
10396,2394819
10397,2396053
10399,2395911
10877,2393251
10879,2383683
10881,2371359
10883,2370979
10884,2369293
10885,2373733
10886,2382755
10887,2395483
10888,2396149
10888,2395887
11355,2395625
11357,2395389
11358,2396719
11359,2395911
11360,2390021
11361,2376155
11362,2371121
11362,2370647
11363,2373899
11364,2382305
11844,2395769
11845,2395721
11846,2395055
11847,2397667
11848,2397121
11848,2396837
11849,2396267
11850,2393157
11851,2377959
11852,2370907
12325,2371359
12326,2372331
12327,2376939
12328,2391495
12329,2396077
12330,2395649
12331,2397193
12332,2396481
12332,2396695
12333,2396979
12812,2395127
12814,2387505
12815,2372593
12816,2371263
12817,2371287
12818,2377271
12818,2391969
12819,2396505
12820,2395269
12821,2396671
13286,2397477
13287,2395981
13288,2397621
13289,2397359
13290,2389239
13291,2376037
13292,2371573
13293,2371573
13294,2376203
13294,2383587
13771,2396719
13773,2397027
13774,2398213
13774,2397359
13775,2397193
13776,2398047
13777,2398143
13778,2389665
13779,2377247
13779,2371405
14256,2370479
14258,2370837
14259,2380975
14261,2395413
14262,2396291
14262,2396765
14263,2397383
14264,2396647
14264,2397121
14265,2397311
14747,2392753
14749,2380903
14750,2371311
14751,2369531
14752,2371121
14753,2375657
14753,2395175
14754,2396765
14755,2398095
14755,2397525
15216,2397265
15217,2394913
15218,2396149
15219,2391257
15220,2382115
15221,2373115
15223,2369079
15223,2370647
15224,2376963
15225,2390141
15708,2398427
15710,2397003
15711,2397953
15712,2395721
15713,2395317
15714,2396171
15714,2396551
15715,2379883
15716,2372261
15716,2369743
16183,2368889
16185,2374469
16186,2384299
16187,2396837
16188,2397359
16189,2395815
16189,2396671
16190,2395365
16191,2395935
16192,2395791
16668,2390901
16669,2375443
16671,2370883
16674,2369435
16675,2373425
16676,2385035
16678,2395791
16679,2397193
16681,2396647
16682,2395911
17151,2396053
17153,2396267
17154,2395911
17155,2393323
17155,2376273
17157,2371975
17158,2369815
17159,2372427
17160,2377769
17161,2384679
17639,2396599
17641,2396291
17642,2396885
17643,2397193
17643,2396053
17644,2396599
17645,2397501
17645,2380311
17646,2372949
17646,2371573
18111,2371263
18112,2376131
18114,2382329
18114,2395959
18115,2396339
18116,2397905
18116,2396647
18117,2397621
18118,2397027
18118,2395745
18598,2391517
18600,2375917
18602,2372451
18603,2371239
18604,2372047
18605,2381451
18606,2395815
18607,2396457
18607,2397621
18608,2397027
19075,2396599
19076,2395459
19077,2397691
19078,2390829
19078,2381093
19079,2373211
19080,2371287
19081,2371905
19081,2381877
19082,2395839
19563,2396529
19565,2395935
19567,2396575
19568,2397335
19570,2397383
19571,2397407
19572,2396267
19573,2382471
19575,2373519
19576,2370267
20042,2369435
20043,2375347
20044,2390805
20045,2396529
20046,2396765
20046,2397739
20047,2396955
20048,2398001
20048,2396789
20049,2396861
20526,2389855
20527,2375253
20528,2371145
20529,2370479
20530,2376179
20531,2383303
20532,2397335
20532,2397525
20533,2397715
20533,2397051
21004,2397265
21006,2395317
21007,2394865
21008,2389309
21008,2375063
21010,2372285
21011,2369721
21012,2370883
21012,2380381
21013,2395009
21491,2396005
21493,2396315
21494,2396837
21496,2397217
21497,2395579
21499,2396623
21500,2392919
21501,2379931
21502,2371311
21503,2370289
21967,2370313
21969,2374967
21971,2395033
21972,2398047
21972,2396765
21973,2397241
21974,2397383
21974,2396267
21975,2396861
21975,2392943
22460,2383873
22462,2373305
22463,2369697
22463,2369981
22464,2375633
22465,2387789
22465,2396125
22466,2396077
22467,2396029
22467,2395769
22942,2396267
22944,2396149
22945,2396505
22946,2382803
22947,2373425
22948,2370123
22949,2370859
22950,2374659
22951,2383753
22952,2395245
23430,2395887
23433,2396101
23437,2396339
23438,2395579
23440,2397667
23442,2397241
23443,2390615
23444,2376227
23445,2370623
23447,2369649
23910,2374303
23912,2381617
23913,2396291
23914,2397549
23915,2396291
23915,2395911
23916,2395863
23917,2396171
23917,2395579
23918,2390615
24395,2376393
24396,2371501
24397,2369079
24398,2371525
24399,2379431
24400,2388859
24401,2395127
24401,2396647
24402,2396361
24403,2395935
24880,2395935
24882,2395697
24882,2397359
24883,2380667
24885,2371215
24885,2369435
24887,2370029
24887,2375301
24888,2388455
24889,2397359
25357,2398831
25358,2397715
25360,2395293
25361,2396005
25362,2396599
25362,2397477
25363,2381901
25364,2372735
25364,2369173
25365,2369697
25842,2375301
25844,2388859
25845,2397287
25846,2396433
25846,2397763
25847,2397193
25848,2396529
25848,2395389
25849,2396267
25850,2382851
26336,2373971
26338,2370385
26339,2370599
26340,2375157
26341,2383183
26342,2397051
26342,2397265
26343,2397787
26344,2396931
26344,2397835
26818,2395721
26821,2393559
26822,2391375
26822,2380477
26823,2370907
26824,2370527
26825,2372617
26826,2383919
26827,2395625
26827,2396575
27315,2396813
27317,2396267
27318,2397431
27319,2397335
27321,2396433
27321,2391685
27322,2380215
27323,2372735
27323,2371785
27324,2370859
27789,2376131
27790,2394391
27791,2397597
27792,2396149
27793,2396931
27794,2396029
27794,2398213
27795,2397905
27796,2394319
27796,2381901
28285,2371857
28287,2369507
28288,2371809
28289,2377889
28291,2392611
28291,2396125
28292,2395317
28293,2396029
28294,2394723
28294,2396361
28767,2395911
28769,2394865
28770,2380239
28772,2371881
28772,2370077
28773,2369079
28774,2378173
28774,2389809
28775,2396551
28776,2396813
29258,2396339
29260,2396125
29261,2395389
29262,2394937
29263,2395769
29263,2383017
29264,2374089
29265,2370669
29265,2369577
29266,2374563
29743,2384727
29745,2396029
29746,2397051
29747,2396719
29748,2396385
29748,2398783
29749,2397121
29750,2397691
29751,2389191
29752,2375087
30222,2373471
30224,2370527
30225,2374825
30225,2383065
30226,2396315
30227,2395459
30227,2395413
30228,2396291
30229,2397787
30230,2395459
30718,2397501
30720,2385131
30721,2373211
30722,2371763
30723,2369103
30723,2373757
30724,2382899
30725,2395413
30725,2395959
30726,2395911
31230,2395055
31232,2396385
31232,2397051
31233,2396433
31234,2392183
31235,2377081
31235,2372047
31236,2369531
31237,2374065
31237,2379597
31687,2398023
31689,2396409
31690,2396741
31692,2396029
31693,2397287
31694,2396789
31694,2396385
31695,2392253
31696,2379859
31697,2371405
32178,2369791
32181,2370551
32182,2375585
32183,2391019
32184,2397667
32184,2396053
32185,2398261
32186,2396695
32186,2396885
32187,2397739
32658,2397003
32659,2380453
32660,2373447
32661,2370623
32662,2371525
32663,2376511
32664,2385557
32664,2395389
32665,2397573
32665,2396575
33155,2396005
33157,2395791
33158,2396551
33159,2394463
33161,2379907
33161,2371595
33162,2371049
33163,2369767
33164,2377033
33164,2391233
33631,2395791
33632,2394201
33633,2396291
33634,2395317
33635,2396695
33636,2396955
33636,2398427
33637,2391351
33638,2375633
33638,2369483
34124,2369957
34126,2373259
34127,2383421
34128,2396219
34129,2397145
34129,2395127
34131,2396101
34131,2394795
34132,2397169
34133,2395601
34611,2390925
34613,2374185
34614,2371287
34615,2369483
34616,2374635
34617,2382447
34618,2397193
34619,2398001
34619,2397051
34620,2396717
35106,2395579
35108,2397027
35109,2396053
35110,2389191
35111,2376559
35112,2371429
35112,2370837
35113,2371975
35114,2376321
35114,2396077
35577,2396385
35578,2396481
35579,2396907
35581,2397359
35581,2397145
35582,2396789
35583,2395269
35584,2381521
35584,2373091
35585,2371215
36074,2371667
36076,2381711
36077,2392587
36078,2396077
36078,2395935
36079,2396457
36081,2396457
36083,2396719
36086,2397431
36087,2392277
36548,2380857
36551,2369887
36552,2368723
36553,2371025
36554,2378387
36555,2385961
36556,2396813
36556,2395601
36557,2395863
36557,2395959
37049,2395815
37051,2396385
37052,2396291
37052,2382257
37053,2374185
37054,2370005
37054,2369721
37055,2376059
37056,2388787
37056,2396765
37528,2397217
37529,2396125
37531,2397977
37532,2395887
37532,2394415
37533,2396029
37534,2389405
37534,2374065
37535,2370195
