Timestamp,HeartRate
118,67
1094,69
2035,69
3036,69
4012,69
4985,69
5957,70
6938,69
7870,69
8870,69
9847,69
10835,68
11792,68
12761,68
13704,68
14728,68
15685,68
16660,69
17625,69
18600,69
19537,69
20550,69
21519,69
22495,69
23481,69
24439,69
25379,69
26387,68
27385,68
28336,68
29308,68
30281,68
31212,68
32235,68
33204,68
34171,68
35145,69
36135,69
37053,69
38062,69
39040,69
40034,69
41010,69
41958,69
42897,69
43906,69
44881,68
45852,68
46819,68
47799,68
48733,68
49739,68
50712,68
51687,68
52680,68
53635,69
54567,69
55574,69
56550,69
57529,69
58492,69
59462,69
