Timestamp,Pulse
326,2354547
329,2353905
330,2353265
331,2354927
332,2357801
333,2364543
334,2377935
335,2378885
335,2378861
337,2380215
816,2380049
817,2379597
819,2379005
820,2379741
821,2380025
822,2372427
823,2361907
823,2355211
824,2354143
825,2353313
1296,2352861
1297,2360769
1298,2376915
1299,2379645
1300,2378933
1300,2379407
1301,2380097
1302,2380239
1303,2379693
1303,2378505
1780,2378339
1781,2378221
1782,2372711
1783,2355995
1784,2352409
1785,2352433
1786,2350653
1787,2357325
1788,2361623
1789,2376797
2256,2379551
2258,2377769
2259,2379883
2260,2380595
2261,2379693
2262,2378505
2262,2377983
2263,2377793
2264,2373471
2265,2361575
2746,2356637
2748,2354215
2750,2351127
2751,2353265
2752,2356495
2753,2366159
2753,2378529
2754,2378839
2755,2379313
2755,2379741
3234,2379407
3236,2378387
3237,2377579
3237,2379621
3238,2377009
3239,2374375
3239,2360507
3240,2353525
3241,2353027
3242,2352433
3719,2353503
3720,2360365
3721,2372237
3722,2379479
3723,2380073
3724,2380287
3725,2378649
3725,2378909
3726,2377817
3727,2378957
4206,2378743
4208,2377057
4209,2367037
4209,2356257
4211,2352957
4214,2350915
4216,2351293
4217,2355307
4218,2365921
4219,2376273
4691,2379597
4693,2379955
4694,2379765
4695,2377841
4696,2378649
4696,2378719
4697,2378055
4698,2377509
4698,2375823
4699,2361907
5176,2355735
5178,2351223
5179,2351863
5180,2353621
5181,2357823
5181,2369387
5182,2378625
5183,2379051
5184,2379029
5185,2377627
5672,2379241
5674,2378149
5675,2377675
5676,2378269
5677,2379241
5677,2366253
5678,2356707
5679,2353525
5679,2352599
5681,2351151
6150,2353835
6152,2360151
6153,2376773
6154,2380263
6155,2378909
6155,2377651
6156,2378197
6157,2378435
6157,2379337
6158,2378291
6634,2379575
6636,2378553
6637,2364519
6638,2355853
6638,2352623
6639,2352363
6640,2351841
6640,2356327
6641,2365873
6642,2378031
7120,2378885
7122,2376249
7123,2378861
7124,2380239
7125,2378649
7125,2379669
7126,2379527
7127,2378719
7127,2373187
7128,2362121
7609,2353099
7611,2351483
7613,2351745
7614,2354357
7615,2358227
7616,2367037
7617,2377651
7617,2378197
7618,2378625
7619,2377793
8084,2379217
8085,2377555
8086,2381023
8087,2378387
8088,2377247
8088,2372641
8089,2361457
8089,2353669
8091,2351651
8092,2351887
8576,2355853
8577,2360245
8579,2368367
8580,2377865
8580,2378505
8581,2379099
8582,2378625
8583,2380667
8584,2378861
8585,2379005
9062,2379407
9063,2375371
9065,2366871
9066,2356161
9066,2352505
9067,2352647
9068,2353265
9068,2358987
9069,2359653
9070,2377461
9550,2379195
9552,2379171
9553,2378981
9554,2379717
9555,2378031
9555,2379669
9556,2379787
9557,2379337
9557,2376773
9558,2361979
10030,2354167
10032,2351531
10033,2353479
10034,2354975
10035,2358323
10035,2365969
10036,2378767
10037,2378245
10037,2377959
10038,2378363
10528,2378601
10530,2380239
10530,2380191
10531,2379717
10532,2379099
10533,2368177
10534,2359439
10535,2354951
10535,2353525
10536,2354523
10996,2355877
10998,2358917
10999,2375277
11000,2379503
11001,2379765
11002,2378933
11002,2379479
11003,2379361
11004,2378695
11005,2377247
11493,2380287
11495,2377533
11496,2368865
11497,2357017
11498,2353883
11499,2353835
11499,2353265
11500,2357895
11501,2364639
11501,2373495
11968,2378601
11970,2378577
11970,2378435
11971,2379955
11972,2379075
11973,2379289
11974,2378791
11975,2379527
11975,2373281
11976,2365803
12466,2357657
12468,2354831
12469,2352173
12469,2354405
12470,2356517
12471,2365233
12472,2377485
12473,2379147
12474,2378529
12474,2380595
12947,2379479
12949,2377175
12950,2379407
12951,2380643
12952,2379265
12953,2373995
12954,2362431
12954,2356897
12955,2352623
12956,2352861
13423,2354357
13425,2358061
13425,2372735
13426,2378269
13427,2379811
13428,2379171
13428,2379217
13429,2378885
13429,2379503
13430,2379765
13917,2378671
13918,2377745
13919,2365803
13920,2361339
13921,2353503
13922,2353811
13923,2353883
13923,2355021
13924,2365969
13925,2376749
14404,2379289
14406,2379337
14407,2380049
14407,2378839
14408,2381427
14409,2378553
14409,2377699
14410,2379147
14411,2372831
14411,2362977
14892,2356731
14894,2352339
14895,2352577
14895,2354143
14896,2357467
14897,2364615
14897,2379241
14898,2379859
14899,2379337
14899,2379835
15376,2379931
15378,2378505
15379,2378957
15379,2378909
15380,2378791
15381,2372475
15381,2361575
15382,2354073
15383,2353431
15384,2352647
15860,2353003
15862,2357823
15863,2373543
15864,2378601
15865,2379195
15865,2379931
15866,2379479
15867,2379575
15867,2378815
15868,2377913
16353,2377935
16355,2378387
16356,2371429
16357,2356613
16357,2354309
16358,2353099
16359,2351817
16359,2357801
16360,2362715
16360,2378363
16823,2379503
16825,2378885
16825,2379645
