Timestamp,HeartRate
463,93
1423,93
2391,93
3323,93
4328,93
5318,93
6268,93
7260,93
8199,93
9132,93
10131,93
11100,93
12077,93
13035,93
13997,93
14934,93
15937,93
16903,93
17884,93
18838,93
19807,93
20739,93
21742,93
22707,93
23693,93
24647,93
25618,93
26541,93
27551,93
28520,93
29497,93
30451,93
31420,93
32339,93
33359,93
34321,93
35306,93
36256,93
37222,93
38149,93
39154,93
40128,93
41112,93
42064,93
43020,93
43952,93
44953,93
45924,93
46890,93
47876,93
48824,93
49754,93
50756,93
51731,93
52695,94
53678,94
54629,94
55565,94
56560,94
57545,94
58496,94
59489,94
