Timestamp,Pulse
460,26919
462,34855
463,34575
464,34783
465,34767
465,34729
466,35029
467,34695
467,32827
468,24183
950,23333
952,22123
953,24069
953,27009
954,34745
955,34657
956,34935
957,34687
957,34639
958,34851
1431,34521
1432,33397
1433,28405
1434,23155
1434,22537
1435,23957
1436,30793
1436,34687
1437,34711
1437,35195
1919,34633
1921,34603
1922,34609
1922,34729
1923,33435
1924,25145
1924,22297
1925,22407
1925,27039
1926,30995
2402,34579
2403,34497
2404,34835
2405,34677
2405,34805
2406,34483
2406,34377
2407,28757
2408,25215
2409,22431
2873,23953
2874,26967
2875,30639
2876,34513
2877,34647
2877,34735
2878,34379
2879,34869
2880,34581
2881,32921
3372,28779
3374,22957
3375,22351
3376,23981
3376,26903
3377,35245
3378,34615
3379,34575
3380,34773
3380,34691
3844,35005
3846,34581
3847,33131
3848,28583
3849,23197
3849,22233
3850,24079
3851,30989
3851,35033
3852,34685
4338,34523
4340,34749
4341,34585
4341,35019
4342,34489
4343,33353
4343,25185
4344,23239
4344,22351
4345,27139
4817,30709
4819,34373
4820,34715
4821,35337
4821,34677
4822,34537
4823,34749
4823,34615
4824,27899
4825,25203
5307,22269
5309,22601
5310,26951
5311,30797
5312,34667
5313,34685
5314,35219
5317,34685
5320,34745
5322,34709
5774,32993
5776,28671
5777,25037
5778,22277
5779,24255
5779,26817
5780,34729
5781,34681
5781,34651
5782,35163
6259,34663
6261,34849
6262,34595
6263,33313
6264,28765
6265,23279
6266,22359
6266,23943
6267,30995
6268,35071
6752,34521
6754,34551
6755,34475
6756,34749
6757,35061
6757,34619
6758,33323
6759,25147
6760,23191
6760,22563
7239,28411
7241,30941
7242,35061
7242,34605
7243,34541
7244,34581
7244,34585
7245,35331
7245,34437
7246,28319
7723,25459
7725,22307
7726,23337
7727,27063
7729,30735
7730,34981
7730,34449
7731,34759
7732,34671
7732,34513
8211,34999
8213,32473
8214,28625
8215,25107
8216,22543
8217,22341
8218,26893
8219,34753
8219,35235
8220,34547
8689,34599
8691,34319
8692,34721
8692,35019
8693,33185
8694,28685
8694,23211
8695,22321
8695,23747
8696,30889
9175,34591
9177,35147
9178,34567
9179,34543
9180,34537
9180,34551
9181,34995
9182,33203
9182,25213
9183,23145
9651,22331
9653,27891
9653,30927
9654,34677
9655,35009
9655,34619
9656,34873
9657,34527
9657,34639
9658,35101
10130,28467
10131,25021
10132,22485
10132,23817
10133,26981
10133,30879
10134,34615
10134,34581
10135,34879
10136,34851
10612,34623
10614,34807
10615,32035
10615,28727
10616,24175
10617,22385
10618,23891
10618,27029
10619,34489
10620,35211
11101,34825
11102,34633
11103,34507
11104,34523
11105,35085
11105,33053
11106,28525
11107,23275
11107,22461
11108,23881
11584,30889
11585,34677
11586,35115
11587,34401
11587,34807
11588,34609
11589,34651
11590,35075
11590,33151
11592,25061
12061,23259
12062,22359
12062,23851
12063,30779
12064,34721
12064,35115
12065,34603
12065,34873
12066,34677
12067,34479
12555,34907
12556,28207
12557,25113
12558,22489
12559,22379
12560,27097
12561,30835
12561,34595
12562,34969
12563,34691
13030,34619
13031,34653
13032,34413
13033,34763
13034,28555
13034,23265
13035,22481
13036,22609
13037,27157
13037,34479
13523,34657
13524,34485
13525,34763
13526,35171
13527,34503
13527,34567
13528,34975
13529,28613
13530,22995
13531,22441
14006,23817
14008,31625
14009,34509
14010,34633
14010,34701
14011,34603
14012,34985
14012,34483
14013,34461
14013,33573
14494,25195
14495,23073
14496,22385
14497,23967
14497,28823
14498,34661
14499,34677
14500,35037
14500,34605
14501,34541
14966,34465
14968,34579
14969,33661
14969,25213
14970,22423
14970,22493
14971,23857
14971,31037
14972,34581
14973,34623
15470,35065
15472,34349
15473,34715
15474,34565
15474,33087
15475,28781
15476,25097
15476,22269
15477,24011
15477,26955
15935,34781
15937,34677
15937,34591
15939,34673
15939,34503
15940,34769
15941,34633
15942,33421
15943,28695
15943,25107
16419,22517
16421,22297
16422,22461
16422,35041
16423,34561
16424,34671
16424,34753
16425,34547
16426,34937
16426,34615
16912,33359
16914,24617
16915,23105
16915,22469
16916,24097
16917,30691
16917,35037
16918,34595
16919,34543
16920,34753
17392,34653
17394,34709
17395,34455
17396,27923
17396,25291
17397,22445
17398,23405
17399,26885
17400,30807
17400,35191
17874,34687
17876,34585
17877,34393
17878,34497
17879,34787
17880,32495
17881,33309
17881,25051
17882,22345
17883,23783
18360,27047
18361,34599
18362,34753
18363,34543
18364,34733
18364,34479
18365,34537
18366,34859
18367,33209
18368,28695
18841,23241
18843,22469
18844,24007
18845,30907
18846,34555
18846,35019
18847,34745
18848,34697
18848,34475
18849,34421
19330,35143
19332,33103
19333,24997
19333,23211
19334,22609
19335,28357
19335,30957
19336,34691
19337,34513
19337,34735
19813,35143
19814,34753
19815,34605
19817,34389
19818,28125
19819,25223
19819,22587
19820,23535
19821,27087
19821,30821
20295,34783
20297,34437
20297,34591
20298,34873
20299,34599
20300,35077
20301,32655
20301,28593
20302,25097
20303,22539
20779,23865
20780,26955
20781,34555
20782,35219
20782,34663
20783,34691
20784,34603
20784,34681
20785,35005
20786,33241
21250,28521
21251,22985
21252,22407
21253,24063
21253,30921
21254,34585
21254,34757
21255,34557
21256,34757
21256,34367
21740,34725
21741,35129
21742,33203
21743,25001
21743,23211
21744,22599
21744,27957
21746,30671
21746,34687
21747,34911
22219,34513
22221,34623
22222,34821
22223,34805
22223,35101
22224,27317
22225,25223
22225,23317
22226,22369
22226,23919
22718,30649
22720,34697
22721,34759
22722,34657
22723,35043
22723,34555
22724,34777
22725,34899
22725,33161
22726,25253
23185,22567
23186,22311
23188,27393
23189,34543
23190,34733
23190,34701
23191,34869
23192,35033
23192,34595
23193,34623
23682,34605
23684,28507
23685,23203
23685,22547
23686,23947
23687,31311
23688,34527
23689,35423
23690,34543
23691,34483
24151,34767
24152,34407
24153,35139
24153,33165
24154,24849
24155,23167
24156,22205
24156,23871
24157,30807
24158,34623
24645,35009
24647,34695
24648,34825
24652,34459
24654,34503
24655,35099
24656,33147
24658,26013
24660,23063
24661,22303
25127,23871
25129,30875
25130,35115
25131,34629
25131,34473
25132,35105
25133,34781
25133,34725
25134,34701
25135,33381
25609,25377
25611,22409
25612,22351
25613,27167
25613,30889
25614,35019
25615,34581
25615,34639
25616,34663
25617,34715
26089,34835
26091,34657
26092,28459
26093,25205
26093,22557
26094,23895
26094,26943
26096,33141
26096,34753
26097,34719
26579,34777
26581,34579
26582,34629
26583,35297
26583,33137
26584,28525
26585,22831
26585,22421
26586,23929
26587,27135
27054,34667
27055,34373
27056,34533
27057,35109
27058,34651
27059,34643
27059,34603
27060,33305
27061,25999
27061,23375
27539,22331
27541,24069
27541,30957
27542,34781
27543,34605
27543,34557
27544,35133
27545,34543
27545,34661
27546,34613
28029,33267
28030,25267
28031,23375
28032,22273
28033,27125
28033,30783
28034,35341
28034,34517
28035,34627
28036,34889
28518,34565
28520,34591
28520,34581
28521,28565
28522,25243
28522,22599
28523,23761
28524,26907
28525,33657
28526,35239
28986,34591
28988,34483
28989,34555
28990,34507
28991,35119
28992,33031
28993,28699
28993,22827
28994,22433
28995,23933
29482,27071
29484,34767
29485,34791
29486,34757
29486,34865
29487,34627
29488,34591
29488,35149
29489,33161
29490,25571
29961,23299
29962,22191
29963,23929
29964,30931
29965,34651
29965,34557
29966,34441
29967,34825
29967,34639
29968,34565
30446,34575
30447,33159
30449,25243
30449,23245
30450,22351
30451,27241
30452,30817
30453,34509
30454,34725
30455,34627
30928,35259
30929,34339
30930,34735
30931,34383
30932,28613
30932,25267
30933,22355
30934,23587
30934,27051
30935,30729
31413,35321
31415,34627
31419,34719
31421,34489
31422,34585
31424,35491
31425,32457
31426,28501
31427,25069
31429,22427
31897,24043
31899,26927
31900,34503
31901,34533
31901,34639
31902,34931
31903,34735
31903,34627
31904,34797
31905,33377
32379,28631
32380,23135
32381,22485
32382,24021
32383,30821
32383,34835
32384,34797
32385,34651
32385,35041
32386,34633
32855,34455
32856,34331
32858,33281
32859,25215
32859,23333
32860,22269
32861,28635
32861,31033
32862,35355
32862,34407
33341,34729
33342,34629
33343,34523
33344,34923
33344,34435
33345,27997
33345,25257
33346,22537
33347,23297
33347,26989
33831,30955
33833,34735
33834,34677
33835,34781
33835,34627
33836,34591
33837,35153
33837,32497
33838,28645
33839,25133
34309,22399
34311,23987
34312,27027
34313,34845
34314,34643
34314,34527
34315,34917
34316,34413
34316,34663
34317,34599
34795,33121
34796,28887
34797,23101
34798,22351
34799,23913
34800,30971
34800,34835
34801,34421
34802,34627
34802,34989
35284,34637
35286,34757
35286,34517
35287,33473
35288,25253
35289,23081
35290,22363
35290,28467
35291,30989
35292,34697
35758,34561
35759,34605
35760,34517
35761,34595
35762,34759
35763,34555
35764,28025
35765,25253
35765,22339
35766,22609
36247,26957
36250,30807
36252,34565
36253,34531
36254,34993
36255,34543
36255,34767
36256,34567
36257,34507
36258,28979
36730,25151
36732,22383
36733,22409
36733,27003
36734,34931
36735,34663
36736,34657
36737,34445
36737,34555
36738,35115
37213,34591
37215,34855
37216,28621
37216,23111
37217,22369
37218,23949
37219,30849
37220,34815
37221,34581
37221,34989
37696,34613
37698,34603
37700,34757
37700,34605
37701,33627
37702,25011
37702,23443
37703,22551
37704,23943
37705,30855
38189,34673
38191,34613
38192,35005
38193,34579
38193,34613
38194,34575
38195,34637
38195,27913
38196,25199
38196,22413
38656,22455
38658,26813
38659,30767
38660,34623
38661,34777
38662,35057
38662,34585
38663,34729
38664,34709
38665,34749
39149,28847
39150,25045
39151,22255
39152,22283
39153,27085
39153,35195
39154,34691
39154,34637
39155,34971
39156,34745
39631,34757
39633,34475
39634,34609
39634,28649
39635,23207
39636,22293
39636,23877
39638,30581
39639,34947
39640,34757
40120,34739
40121,34497
40122,34745
40123,35147
40123,34565
40124,32755
40125,24063
40125,23179
40126,22561
40126,23895
40587,26981
40588,34661
40589,34619
40590,35067
40591,34677
40592,34793
40592,34873
40593,34671
40594,33289
40594,25083
41087,23053
41089,22485
41090,23967
41091,30821
41091,34643
41092,34401
41093,35085
41093,34503
41094,34585
41095,34849
41549,34499
41550,28463
41550,25205
41551,22365
41551,22543
41552,27365
41553,34499
41554,34527
41554,34537
41555,35019
42037,34687
42038,34745
42039,34523
42039,34585
42040,28829
42041,23101
42042,22259
42042,23771
42043,30827
42044,35099
42516,34643
42517,34479
42518,34591
42519,34483
42520,35109
42521,34441
42522,32957
42523,24131
42523,23191
42524,22287
43008,24025
43010,30989
43011,35051
43011,34681
43012,34863
43013,34783
43013,34721
43014,34783
43014,34581
43015,33339
43494,28569
43496,23091
43497,22375
43497,23865
43498,30739
43499,34629
43501,34609
43502,35301
43504,34551
43505,34787
43981,34921
43984,34575
43985,33251
43986,25243
43987,22509
43987,22431
43989,27337
43990,34233
43994,34579
43996,34815
44464,35157
44465,34517
44466,34521
44467,34543
44468,34835
44468,28727
44469,23169
44470,22397
44471,23769
44471,27037
44949,34935
44951,34437
44952,34581
44952,35003
44953,34417
44954,34657
44954,34581
44955,33007
44955,28751
44956,23217
45423,22283
45424,23783
45425,27071
45426,35095
45426,34513
45427,34609
45428,35075
45428,34591
45429,34879
45430,34557
45913,33363
45915,27985
45916,23371
45916,22393
45917,23899
45918,30899
45919,35065
45919,34339
45920,34719
45921,34543
46400,34521
46402,35027
46403,34637
46405,33473
46406,25391
46407,22437
46409,22277
46411,27183
46412,30863
46413,35135
46888,34565
46890,34603
46891,34595
46891,34673
46892,35337
46893,34603
46893,28719
46894,25285
46894,22421
46895,23857
47369,26965
47370,33401
47371,34773
47372,34499
47373,34591
47373,34591
47374,34527
47374,35441
47375,32507
47376,28641
47851,22865
47852,22517
47854,24043
47855,26677
47856,34667
47857,34801
47858,34629
47859,34839
47859,34541
47860,34413
48327,34945
48329,33113
48331,28627
48332,23475
48332,22499
48333,23985
48334,30945
48334,34615
48335,34753
48335,34551
48817,34759
48819,34571
48820,34493
48821,35061
48823,33099
48824,25113
48825,23115
48826,22279
48827,28111
48828,30927
49302,34681
49304,34729
49305,34565
49306,34999
49307,34431
49308,34609
49309,35259
49310,28357
49310,25073
49311,22537
49784,23605
49786,27157
49787,30941
49789,34541
49790,34971
49791,34479
49792,34667
49792,34503
49793,34609
49794,32317
50270,28645
50272,23097
50273,22447
50273,23877
50274,26995
50275,34787
50275,34627
50276,35037
50277,34513
50277,34687
50761,34575
50763,34547
50764,33645
50765,28535
50765,23201
50766,22503
50767,23933
50767,30821
50768,34479
50769,34603
51230,34855
51231,34393
51232,34719
51232,34815
51233,34527
51233,33443
51234,25123
51235,22469
51235,22495
51236,27105
51716,30801
51718,34941
51718,34547
51719,34609
51720,34639
51720,34615
51721,35115
51721,34417
51722,28429
51723,25247
52205,22277
52206,23731
52207,26981
52208,33439
52209,35067
52210,34589
52211,34619
52211,34671
52212,34661
52212,35167
52692,33123
52695,28713
52696,22729
52697,22409
52697,23885
52699,26825
52699,34681
52700,35109
52701,34531
52701,34643
53174,34557
53175,34377
53176,35167
53177,33179
53178,25117
53179,23159
53180,22379
53181,23909
53182,30731
53183,34709
53663,35017
53664,34773
53665,34667
53666,34627
53667,34685
53667,34913
53668,33367
53669,25121
53670,22451
53670,22341
54142,27061
54144,30705
54144,34557
54145,35195
54146,34793
54146,34485
54147,34941
54148,34503
54149,34735
54149,28471
54614,25189
54615,22369
54616,23987
54617,26899
54617,34185
54618,34787
54619,35027
54619,34725
54620,34709
54621,34835
55102,34603
55104,33243
55105,28635
55106,23197
55107,22307
55107,23949
55108,30287
55109,34589
55109,34695
55110,34959
55593,34677
55594,34749
55595,35095
55597,34719
55598,33357
55599,23977
55600,22423
