Timestamp,HeartRate
537,58
1508,58
2474,60
3449,60
4389,60
5390,59
6353,60
7319,59
8295,59
9264,59
10201,59
11199,60
12172,59
13135,59
14109,60
15103,60
16013,60
17018,58
17981,59
18952,59
19918,58
20909,59
21818,59
22827,58
23794,60
24764,60
25733,59
26717,59
27635,59
28639,59
29610,59
30600,59
31546,59
32524,59
33449,59
34452,60
35418,59
36389,60
37378,60
38329,60
39263,60
40259,59
41232,60
42202,59
43185,59
44138,60
45079,60
46071,59
47046,60
48012,60
48991,60
49949,59
50878,59
51885,59
52854,60
53848,58
54801,59
55763,58
56689,58
57696,59
58671,60
59655,59
