Timestamp,Pulse
221,36525
224,36113
225,36517
225,33503
226,29233
227,29225
227,23919
228,22945
229,23133
230,24693
705,27951
707,31909
708,36389
708,36159
709,36195
710,36527
710,36073
711,36485
711,36023
712,35997
1197,36475
1199,34469
1202,28669
1204,26125
1206,23831
1207,23051
1208,22971
1209,24549
1211,27741
1212,36113
1675,36425
1677,35977
1678,36587
1678,36057
1679,36109
1679,35967
1680,35981
1681,36715
1681,35985
1682,34487
2165,29533
2167,26083
2169,24065
2169,23083
2170,23063
2171,24677
2171,28005
2172,36817
2173,36115
2174,36133
2637,36067
2638,35997
2639,36659
2640,35889
2640,36099
2641,36073
2641,35995
2642,34997
2643,29347
2644,25997
3125,23925
3127,22925
3128,24687
3128,29311
3129,32051
3130,36191
3130,36093
3131,36659
3132,36051
3132,36145
3604,36067
3605,35951
3606,36639
3607,36235
3608,36139
3608,34599
3609,29595
3609,26055
3610,24031
3611,22833
4093,24789
4094,28117
4095,32221
4096,35945
4096,36235
4097,36027
4098,36027
4098,36485
4099,36073
4099,36199
4578,36027
4580,35949
4581,36517
4581,34479
4582,29393
4583,26065
4584,23843
4585,23041
4585,24713
4586,27793
5067,32113
5068,36089
5069,36755
5070,36099
5071,36195
5071,36179
5072,36125
5073,36313
5074,36007
5075,36241
5540,36013
5542,34423
5543,25193
5544,23587
5545,22959
5545,22941
5546,24595
5547,27991
5547,31997
5548,36321
6024,36003
6025,36083
6026,36531
6027,36129
6027,36409
6028,36133
6029,36007
6029,35991
6030,35997
6031,28765
6507,25163
6509,23797
6510,22977
6510,23113
6511,24555
6512,27873
6512,31951
6513,36043
6514,36073
6515,36465
6989,36169
6991,36337
6992,35995
6992,36227
6994,36449
6994,35929
6995,34657
6996,29519
6996,25921
6997,23821
7473,23043
7475,22847
7476,24795
7476,27843
7477,36373
7478,36181
7478,36215
7479,35981
7480,36205
7480,36501
7962,36077
7964,36313
7965,36145
7966,36215
7966,34851
7967,29505
7968,25931
7968,23775
7969,23083
7969,23109
8433,29151
8435,30777
8436,36149
8437,36069
8437,36431
8438,36209
8439,36261
8439,36063
8440,36283
8440,36399
8926,36003
8927,36273
8928,34571
8929,29499
8930,26241
8930,23889
8931,22783
8932,23099
8932,28425
8934,32639
