Timestamp,Pulse
339,35147
341,35163
343,35081
343,35207
344,35591
345,35125
345,35163
346,33633
347,29267
347,25579
823,23789
824,22787
825,22851
826,24411
827,27697
827,31461
828,35231
829,35301
829,35157
830,35739
1305,35171
1307,35153
1308,35135
1309,35297
1310,35659
1310,35413
1311,35365
1311,35115
1313,33729
1314,29299
1799,25653
1800,23625
1801,22907
1802,22725
1803,24535
1804,27461
1804,31537
1805,35081
1806,35229
1806,35341
2265,35147
2267,35245
2268,35207
2268,35197
2269,35253
2270,35053
2270,35765
2271,35253
2272,35307
2272,33651
2762,29131
2764,25561
2765,23669
2766,22711
2767,22875
2768,24357
2768,27511
2769,31451
2769,35263
2770,35205
3235,35181
3237,35475
3237,35187
3238,35229
3239,35215
3239,35225
3240,35715
3241,35177
3241,35345
3242,35101
3725,33863
3727,29383
3728,25465
3729,23639
3730,22779
3730,22971
3731,24411
3732,27331
3733,31279
3733,35725
4197,35355
4198,35355
4199,35157
4200,35111
4201,35549
4201,35125
4202,35539
4203,35159
4204,35283
4205,35591
4694,34969
4696,33815
4697,29241
4698,25723
4699,23755
4699,22773
4700,22813
4701,24339
4702,27495
4703,31537
5159,35289
5160,35351
5160,35219
5161,35307
5162,35221
5162,35235
5163,35893
5164,35101
5164,35163
5165,35115
5659,35177
5661,35855
5661,33695
5662,29121
5663,25665
5664,23713
5665,22787
5665,23001
5666,24233
5666,27573
6134,31513
6136,35707
6137,35249
6138,35205
6139,35143
6139,34995
6140,35773
6141,35183
6141,35159
6142,35109
6607,35153
6609,35775
6610,35091
6610,33897
6611,29193
6612,25523
6613,23535
6614,22879
6614,22697
6615,24221
7102,27399
7104,31403
7105,35167
7106,35297
7107,35393
7108,35183
7108,35557
7109,35125
7110,35197
7110,35085
7584,35081
7586,35255
7587,35167
7587,35341
7588,33747
7589,29193
7589,25689
7590,23593
7591,22875
7591,22629
8069,24149
8071,27453
8072,31489
8074,35443
8074,35215
8075,35089
8076,35423
8076,35111
8077,35543
8078,35301
8553,35205
8555,35105
8556,35173
8557,35499
8558,35067
8558,33825
8559,29121
8559,25493
8560,23593
8561,22965
9031,22797
9033,24467
9034,27475
9034,31701
9035,35195
9036,35109
9036,35105
9037,35159
9038,35543
9038,35163
9521,35389
9523,35303
9524,35183
9524,35755
9525,35191
9526,35433
9526,33821
9527,29031
9527,25749
9528,23645
9997,22625
9998,22691
9999,24337
10000,27629
10000,31395
10001,35335
10002,35139
10003,35365
10003,35605
10004,34903
10488,35359
10490,35133
10491,35133
10492,35519
10492,35089
10493,35389
10494,35265
10495,33905
10495,29271
10496,25325
10959,23477
10961,22693
10962,22667
10963,24405
10964,27375
10965,31833
10966,35229
10967,35195
10967,35133
10968,35005
11444,35861
11446,35157
11447,35061
11447,35013
11448,35167
11449,35707
11449,35191
11450,35163
11450,33719
11451,29123
11933,25617
11935,23499
11935,22865
11936,22837
11937,24387
11938,27631
11938,31385
11939,35043
11940,35191
11940,35163
12414,35437
12416,34859
12417,35239
12418,35229
12418,35123
12419,35373
12419,35109
12420,35325
12421,35111
12421,33951
12898,29217
12899,25511
12900,23415
12901,22999
12902,22773
12903,24435
12904,27713
12904,31841
12905,34551
12906,35369
13382,35567
13383,35215
13384,35899
13385,35129
13385,35259
13386,35215
13387,35077
13387,35783
13388,35123
13388,35259
13865,33853
13867,28967
13868,25691
13868,23617
13869,22701
13870,22865
13870,24291
13871,28929
13871,27511
13872,33267
14335,35133
14336,35167
14337,35529
14338,35225
14339,35253
14339,35215
14340,35099
14340,35827
14341,35125
14342,35311
14829,35139
14831,33809
14833,29233
14833,25619
14834,23515
14835,22871
14835,22917
14836,23025
14837,24449
14838,27635
15314,31311
15315,35009
15316,35601
15317,35211
15317,35365
15318,35167
15319,35099
15320,35527
15321,35207
15325,35313
15822,35135
15823,35061
15824,34119
15825,29015
15826,25507
15826,23567
15827,22885
15827,22985
15828,22793
15829,24315
16288,27409
16290,31181
16291,35313
16293,35273
16293,35479
16294,35177
16295,35149
16296,35539
16296,35259
16297,35513
16759,35249
16760,35101
16762,35263
16763,33835
16764,29397
16765,25713
16765,23635
16766,22835
16767,22693
16767,24395
17250,27621
17252,31409
17253,35159
17254,35033
17254,35677
17255,35159
17256,35297
17256,35585
17257,35211
17257,35605
17726,34999
17728,35187
17729,35341
17730,35101
17731,34271
17731,29339
17732,25545
17733,23699
17734,22861
17734,22869
18217,24271
18218,27443
18219,31417
18220,35249
18220,35595
18221,35255
18221,35255
18222,35283
18223,35171
18224,35557
18687,35163
18688,35263
18689,35171
18690,35229
18691,35523
18691,34017
18693,29075
18694,25641
18695,23519
18696,22715
19178,22787
19179,24275
19180,27443
19181,31443
19181,35403
19182,35123
19183,35129
19184,35187
19185,35089
19185,35693
19653,35089
19655,35101
19656,35195
19656,35277
19657,35899
19658,35195
19659,33993
19660,29285
19660,25479
19661,23485
20145,22859
20146,22923
20147,24497
20148,27713
20149,31577
20150,34709
20150,35229
20151,35693
20152,35307
20153,35499
20618,35171
20619,35167
20619,35653
20620,35057
20620,35365
20621,35163
20622,35085
20622,34319
20623,29171
20624,25759
21110,23659
21111,22821
21113,22705
21113,24481
21114,27773
21115,31903
21115,34257
21116,35643
21117,35197
21117,35149
21590,35129
21593,35301
21594,35533
21595,35119
21595,35111
21596,35211
21597,35289
21598,35731
21598,33805
21599,29147
22073,25599
22075,23549
22076,22837
22076,22765
22077,24049
22078,29107
22078,31253
22079,31345
22080,35235
22080,35109
22554,35611
22555,35017
22556,35793
22557,35153
22557,35197
22558,35171
22559,35245
22559,35491
22560,35289
22560,33671
23041,29383
23042,25489
23043,23559
23044,22931
23045,22955
23045,24329
23046,28805
23047,30033
23048,31331
23049,35111
23514,35393
23515,35099
23516,35909
23516,35133
23517,35129
23517,35221
23518,35231
23519,35659
23519,35201
23520,35301
24014,32649
24016,27987
24017,27351
24018,25565
24019,23525
24019,22961
24020,22913
24021,24515
24021,27447
24022,31303
24492,35287
24494,35105
24495,35595
24495,35269
24496,35195
24497,35163
24497,35033
24498,35741
24498,35273
24499,35139
24976,35051
24978,33679
24979,29301
24980,24789
24981,25555
24982,23665
24983,22827
24984,22861
24984,24309
24985,27379
25458,31229
25460,35173
25460,35471
25461,35215
25462,35481
25463,35297
25464,35109
25464,35461
25465,34995
25466,35461
25947,35327
25948,35235
25949,33771
25950,29185
25951,25599
25951,23453
25952,23463
25953,22931
25954,22927
25954,24233
26425,27475
26426,31245
26427,35817
26428,35111
26429,35279
26429,35191
26430,35047
26431,35557
26431,35293
26432,35341
26908,35167
26910,35163
26911,35503
26913,33729
26913,29171
26914,29093
26915,25397
26915,23593
26916,22755
26917,22801
27392,24445
27394,27307
27395,31345
27396,35349
27396,35317
27397,35013
27398,35307
27398,35625
27399,35075
27399,35341
27875,35173
27877,35061
27878,35539
27879,35119
27879,33877
27880,28935
27881,25483
27881,25595
27882,23453
27884,22657
28355,22895
28357,24303
28358,27631
28359,31417
28359,35373
28360,35205
28361,35139
28361,35467
28362,35375
28363,35253
28850,35109
28851,35099
28852,35721
28853,35163
28854,35491
28855,33771
28855,29021
28856,25743
28856,23591
28857,23615
29323,22635
29324,22543
29325,24385
29326,27447
29326,31481
29327,35211
29328,35273
29328,35787
29329,35355
29329,35245
29802,35273
29804,35167
29805,35639
29805,35123
29806,35321
29807,35183
29808,33845
29808,29203
29809,25667
29810,25407
30284,23597
30285,22701
30286,22823
30286,24347
30287,27417
30288,31509
30288,35369
30289,35789
30290,35123
30290,35259
30776,35211
30778,35283
30779,35595
30779,35085
30780,35119
30781,35041
30781,35061
30783,34199
30784,29027
30785,25489
31257,23501
31259,23025
31260,23145
31261,22783
31262,24315
31263,27485
31263,31279
31264,35745
31265,35317
31265,35263
31737,35173
31738,34971
31739,35653
31740,35147
31741,35219
31741,35379
31742,35205
31743,35639
31744,33681
31745,28983
32218,25633
32219,23279
32220,22729
32221,22903
32221,22875
32222,24469
32223,27457
32224,31279
32225,35191
32225,35177
32695,35595
32697,35379
32698,35239
32699,35219
32699,35201
32700,35539
32701,35119
32701,35349
32702,35065
32702,33407
33191,28199
33193,24641
33194,23573
33195,23557
33196,22801
33196,22803
33197,24339
33198,27395
33198,31451
33199,35147
33674,35495
33675,35109
33676,35269
33677,35533
33677,35163
33678,35457
33678,35135
33679,35215
33680,35441
33680,35301
34150,33285
34152,27307
34153,25373
34154,25705
34154,23577
34155,22811
34156,22745
34156,24353
34157,27499
34158,31301
34642,35337
34644,35263
34645,35335
34650,35857
34651,35077
34652,35173
