Timestamp,Pulse
297,36509
299,36285
300,36731
301,36063
301,36249
302,36197
303,29627
303,23871
304,23621
304,24419
775,28179
777,32043
778,36083
778,36379
779,36625
780,36095
780,36817
781,36033
782,36227
782,29907
1267,26167
1270,23617
1271,24973
1272,28443
1273,35727
1273,36241
1274,36105
1275,36105
1275,36449
1276,36211
1752,36615
1754,34389
1755,30085
1756,23841
1757,23429
1758,25157
1758,28211
1759,36823
1760,35941
1760,36241
2229,36101
2231,36131
2233,36563
2234,36071
2235,35307
2237,30033
2238,24121
2238,23419
2239,24973
2240,32771
2717,36189
2718,36283
2719,36169
2720,36197
2720,36091
2721,36189
2722,36389
2722,34719
2723,26311
2724,24313
3195,24299
3197,24425
3198,28217
3198,36627
3199,36207
3200,36265
3200,36245
3201,36237
3201,36699
3202,34353
3668,30187
3669,26245
3670,23463
3671,24993
3671,28275
3672,36693
3673,36163
3673,36183
3674,36285
3674,36131
4155,36193
4157,36097
4158,40049
4158,29955
4159,24223
4160,23559
4160,24977
4161,32723
4161,36197
4162,36471
4643,36005
4645,36107
4645,36087
4647,36097
4647,36457
4648,34729
4649,25921
4649,24031
4650,23413
4651,30057
5129,32295
5131,36803
5132,36105
5133,36173
5133,35999
5134,36227
5135,36727
5135,36165
5136,29219
5138,26447
5597,23593
5598,23547
5599,25035
5600,32477
5601,36145
5601,36269
5602,36125
5602,36125
5603,36189
5604,36187
6084,36675
6085,29921
6086,26341
6087,23405
6087,23317
6088,28357
6089,36141
6089,36405
6090,36077
6090,36101
6573,36141
6574,35991
6576,36355
6577,36227
6578,29897
6579,24199
6579,23415
6580,25037
6580,32271
6581,36751
7050,36177
7052,36275
7053,36183
7054,36207
7054,36737
7055,36091
7055,34215
7056,25339
7057,24323
7058,23485
7533,25099
7535,28233
7535,36203
7536,36189
7537,36015
7538,36149
7538,36827
7539,36273
7539,36225
7540,34695
8019,29965
8020,24357
8022,23331
8022,25031
8023,32289
8024,36249
8024,36107
8025,36259
8025,36775
8026,36285
8495,36467
8496,36087
8497,34571
8498,26229
8498,23567
8499,23563
8499,29473
8500,34059
8501,36101
8501,36135
8983,36959
8984,36231
8985,36389
8986,36087
8986,36317
8987,34551
8988,23947
8988,23413
8989,23443
8989,28285
9461,36033
9463,36083
9464,36433
9464,36237
9465,36501
9466,35981
9466,36153
9467,36289
9468,30003
9469,24319
9955,23351
9956,25035
9958,28217
9958,36081
9959,36095
9960,36293
9960,36733
9961,36207
9961,36415
9962,36029
10423,34403
10425,29935
10426,24327
10427,23485
10428,25021
10428,28169
10429,35961
10430,36173
10430,36097
10431,36289
10916,36809
10918,36049
10919,36391
10920,34743
10920,29963
10921,24481
10922,23495
