Timestamp,HeartRate
335,82
1252,82
2254,82
3216,82
4185,82
5155,83
6139,83
7049,83
8052,83
9020,83
9987,83
10953,83
11922,83
12884,83
13854,83
14824,82
15792,82
16753,82
17720,82
18662,82
19662,82
20623,82
21590,82
22552,82
23524,83
24449,83
25471,83
26424,83
27391,83
28355,83
29324,83
30251,83
31280,83
32232,83
33194,82
34159,82
35123,82
36060,82
37065,82
38043,82
39001,82
39962,82
40928,82
41863,82
42863,83
43849,83
44804,83
45766,83
46728,83
47655,83
48663,83
49630,83
50613,83
51562,82
52530,82
53465,82
54464,82
55431,82
56423,82
57371,82
58329,82
59262,82
