Timestamp,HeartRate
832,73
1830,73
2796,73
3765,73
4738,73
5705,73
6637,73
7647,73
8613,72
9586,72
10553,72
11562,72
12453,72
13465,72
14438,72
15404,72
16389,72
17345,73
18282,73
19287,73
20256,73
21236,73
22198,73
23163,73
24095,73
25111,73
26094,73
27051,72
28017,72
28994,72
29924,72
30949,72
31902,72
32876,72
33841,72
34812,72
35748,72
36749,73
37719,73
38684,73
39658,73
40651,73
41560,73
42568,73
43558,73
44507,73
45474,72
46453,72
47372,72
48380,72
49358,72
50329,72
51305,72
52265,72
53199,72
54207,72
55178,73
56156,73
57117,73
58086,73
59019,73
