Timestamp,HeartRate
264,89
1238,89
2172,89
3187,89
4142,89
5111,89
6076,89
7048,89
7978,89
8995,88
9954,87
10922,88
11890,88
12863,88
13803,88
14799,88
15764,88
16730,89
17703,89
18671,89
19605,89
20612,89
21580,88
22545,89
23517,89
24506,89
25423,89
26421,88
27387,88
28361,88
29327,88
30312,88
31223,88
32229,88
33195,88
34165,88
35136,89
36118,89
37039,89
38037,89
39004,89
39976,89
40946,89
41925,89
42847,89
43851,89
44813,89
45784,89
46750,89
47732,89
48655,89
49651,88
50618,89
51591,89
52563,89
53539,88
54454,88
55465,88
56425,89
57396,89
58389,89
59343,88
