Timestamp,HeartRate
825,59
1794,59
2763,59
3749,59
4656,59
5661,58
6627,58
7591,58
8563,59
9526,59
10463,59
11459,59
12425,59
13389,59
14353,59
15323,59
16253,59
17271,60
18222,60
19188,60
20147,60
21117,60
22048,60
23052,59
24031,59
24981,60
25950,60
26914,58
27847,58
28874,59
29815,58
30795,58
31748,59
32713,58
33640,58
34635,60
35606,59
36575,58
37553,58
38509,60
39432,60
40434,58
41399,60
42368,59
43333,59
44313,59
45224,59
46232,59
47227,59
48161,59
49131,59
50094,60
51028,60
52029,59
52993,58
53957,60
54924,60
55891,60
56820,60
57839,59
58791,60
59755,59
