Legion7 1回目
2021/05/25 17:33:44,130,60
2021/05/25 17:35:58,130,65
2021/05/25 17:38:12,130,70
2021/05/25 17:40:26,130,75
2021/05/25 17:42:40,130,80
2021/05/25 17:45:03,130,85
2021/05/25 17:47:16,130,90
2021/05/25 17:49:29,130,95
2021/05/25 17:51:42,130,100
Legion7 2回目
2021/05/25 17:55:34,130,60
2021/05/25 17:57:49,130,65
2021/05/25 18:00:02,130,70
2021/05/25 18:02:16,130,75
2021/05/25 18:04:30,130,80
2021/05/25 18:06:44,130,85
2021/05/25 18:08:58,130,90
2021/05/25 18:11:40,130,95
2021/05/25 18:13:54,130,100
Legion7 3回目
2021/05/25 18:17:43,130,60
2021/05/25 18:22:11,130,65
2021/05/25 18:26:40,130,70
2021/05/25 18:28:55,130,75
2021/05/25 18:33:33,130,80
2021/05/25 18:35:48,130,85
2021/05/25 18:38:02,130,90
2021/05/25 18:42:41,130,95
2021/05/25 18:44:55,130,100
