Timestamp,HeartRate
911,70
1887,70
2863,70
3804,70
4812,70
5783,70
6765,71
7757,71
8710,71
9652,71
10662,71
11654,71
12610,71
13587,71
14562,74
15519,74
16512,75
17488,76
18466,75
19458,76
20410,76
21352,76
22366,77
23361,77
24313,76
25286,78
26265,77
27210,77
28218,77
29186,77
30168,76
31166,76
32116,77
33055,77
34067,77
35062,77
36017,77
36987,78
37968,77
38911,77
39915,78
40889,78
41868,77
42861,77
43814,77
44753,77
45767,77
46760,77
47718,77
48687,77
49667,77
50612,77
51618,76
52589,75
53568,71
54562,69
55520,69
56455,69
57467,69
58461,69
59418,69
