Timestamp,Pulse
170,243297
172,243085
173,243219
174,243119
174,240199
175,237991
176,237145
176,236799
177,236937
178,237757
648,240001
651,242075
652,243449
653,243171
654,243033
654,243233
655,243267
656,243097
656,243175
657,243097
1128,243575
1129,239497
1130,238507
1131,237653
1131,237493
1132,237627
1133,237575
1134,239837
1135,243059
1135,243175
1622,243233
1624,243263
1625,243423
1626,243259
1627,243401
1628,243319
1628,243527
1629,243475
1630,240023
1631,238579
2100,237431
2101,236869
2102,237363
2103,238177
2103,239763
2104,241669
2105,243229
2105,243393
2106,243305
2107,243055
2589,243601
2591,243531
2592,242807
2593,243029
2594,241871
2595,239775
2596,237991
2597,237245
2598,236677
2599,236895
3068,237691
3069,239433
3070,242989
3071,243401
3072,243275
3073,243413
3074,243411
3075,243119
3075,243129
3077,243207
3547,243189
3549,241915
3550,239221
3550,237509
3551,236807
3553,237011
3557,237245
3559,238359
3561,239909
3562,243253
4026,243223
4028,243177
4029,243081
4030,242829
4031,243249
4032,243033
4032,243163
4033,242963
4034,242313
4035,239031
4512,237635
4513,236617
4514,237097
4515,237445
4516,238623
4517,241655
4518,242951
4519,243285
4520,242989
4520,243159
4997,243411
4999,243145
5001,243389
5002,243289
5003,243201
5003,241755
5004,238783
5005,237735
5005,237363
5006,237409
5485,237333
5488,238453
5489,240053
5490,243517
5491,242999
5492,243025
5492,243047
5493,243093
5494,243189
5495,243219
5972,243363
5973,243159
5974,241681
5975,239177
5976,237375
5976,237315
5977,237129
5978,237211
5979,239091
5980,241763
6456,243193
6458,242661
6459,242977
6460,243307
6460,243185
6461,243227
6461,243167
6462,243441
6463,243423
6463,241491
6936,237899
6938,237019
6940,236813
6940,236703
6941,237865
6942,239159
6942,242677
6943,243255
6944,243363
6944,243345
7424,243535
7425,243089
7427,243289
7428,243181
7429,243093
7430,242821
7431,241327
7432,237613
7433,237193
7434,236777
7898,236761
7900,238011
7901,238779
7902,243439
7903,243293
7904,243431
7904,242955
7905,243237
7906,243015
7907,243033
8390,243045
8392,243327
8394,242197
8395,240049
8396,237817
8397,237293
8398,237051
8399,237175
8399,238661
8400,239727
8868,243233
8870,242967
8872,243089
8873,243021
8874,243323
8875,243305
8877,243543
8878,243561
8879,243175
8881,241793
9344,239499
9346,238111
9346,237487
9347,237349
9348,237565
9349,238293
9350,239727
9351,242527
9352,243207
9353,243609
9827,243327
9829,243175
9830,243271
9831,243305
9831,243445
9832,243159
9833,242055
9834,239373
9838,238073
9840,237119
10320,236993
10322,237523
10323,238407
10323,239943
10324,243019
10325,243085
10325,243193
10326,243253
10327,243445
10328,243439
10805,243649
10807,243237
10808,243401
10809,241607
10810,239615
10811,237769
10811,237167
10812,236813
10812,237099
10813,238121
11291,241547
11292,243271
11293,243461
11294,243133
11295,243383
11296,243279
11296,243493
11297,243389
11298,243333
11299,243177
11775,241409
11777,238085
11778,237359
11779,236655
11780,236699
11781,236891
11782,238891
11784,241053
11785,243149
11785,243561
12254,242999
12255,242937
12256,243307
12257,243203
12258,243177
12259,243055
12260,242951
12260,240117
12261,238977
12261,236661
12739,236721
12741,236967
12743,237851
12743,239987
12745,241145
12745,242889
12746,243207
12747,243007
12748,243493
12748,243331
13219,243099
13221,243123
13222,243189
13222,243465
13223,240651
13224,238073
13224,237305
13225,237201
13226,237359
13226,237725
13699,239849
13700,242149
13701,243103
13702,242993
13703,243073
13703,243237
13704,243411
13705,243569
13705,243229
13706,243315
14188,241993
14190,241663
14191,238349
14192,237683
14192,237123
14193,237071
14194,238325
14194,239601
14195,242873
14196,243639
14658,243333
14660,243271
14661,243435
14662,243471
14662,243371
14663,243543
14663,243271
14665,242037
14666,240057
14667,237995
15161,237119
15162,237145
15163,237337
15164,238025
15165,239915
15165,243045
15166,243493
15167,243219
15168,243575
15169,243435
15639,243233
15641,243207
15643,242899
15644,243427
15647,242027
15648,239165
15649,237855
15650,236863
15651,236665
15651,237167
16122,237825
16124,240165
16125,242973
16126,243427
16127,243371
16128,243227
16129,243219
16129,243467
16130,242993
16131,243047
16601,243177
16604,241439
16605,238753
16606,236999
16607,236553
16608,236917
16609,237311
16610,238557
16611,240287
16613,243227
17082,243323
17083,243025
17084,243107
17084,243149
17085,243193
17086,243457
17087,243181
17088,243019
17089,240329
17090,238579
17572,237383
17573,237081
17575,237197
17576,237383
17576,238687
17578,242167
17579,242989
17579,242993
17580,242829
17581,242967
18053,243201
18055,243141
18056,243193
18058,243705
18059,243517
18060,241335
18060,238519
18061,237501
18062,237249
18063,237107
18542,237747
18544,239299
18545,241807
18545,243033
18546,243201
18547,243037
18548,243203
18549,243743
18550,243535
18550,243237
19030,243497
19032,242963
19033,239741
19034,238315
19036,237167
19037,236929
19039,236851
19040,237345
19041,239559
19042,242807
19504,243467
19506,243159
19508,243281
19509,243385
19510,243229
19510,243223
19511,243111
19512,243345
19512,242929
19514,238657
19992,238211
19994,236951
19995,236903
19996,236915
19996,237883
19997,239689
19998,242669
19999,243435
20000,243331
20000,243177
20462,242833
20463,243111
20465,242821
20465,242967
20466,243067
20467,242293
20468,239867
20469,237653
20469,236955
20470,236751
20956,237245
20959,238051
20960,240291
20962,242343
20963,243071
20964,242981
20964,243237
20965,243063
20965,243249
20966,243367
21439,243111
21440,243307
21441,241625
21442,239155
21443,237753
21443,237177
21444,236921
21444,237071
21445,238303
21446,240257
21928,242729
21929,243375
21930,243193
21931,242937
21932,243089
21932,242977
21933,243415
21934,243037
21934,243311
21936,242123
22405,239129
22407,237921
22408,237557
22409,237025
22410,237753
22411,238505
22411,239871
22412,243177
22413,243123
22413,243045
22889,243271
22891,243333
22892,243357
22892,243211
22893,243453
22894,243471
22894,241963
22895,239459
22896,237899
22896,237077
23373,236759
23375,237327
23376,238225
23378,240151
23379,242989
23380,242955
23381,243465
23382,243107
23382,243185
23383,243643
23861,243155
23863,243155
23864,242933
23865,241695
23866,239191
23867,237171
23868,236873
23868,236773
23869,237181
23870,238771
24344,240217
24345,243059
24346,243751
24347,243175
24348,243349
24348,243155
24349,243125
24350,243197
24351,242891
24351,243363
24827,241517
24829,237515
24830,236903
24831,236557
24831,236899
24832,237371
24833,239005
24834,240677
24835,243411
24836,243197
25310,243229
25312,242951
25313,243159
25314,243063
25315,243171
25316,243129
25316,242105
25317,240681
25318,237601
25319,237007
25789,236795
25791,237233
25792,237783
25793,239863
25793,242115
