time,pulse
8e-06,847
0.016444,822
0.03298,788
0.049516,726
0.066052,647
0.082592,564
0.099128,484
0.115668,415
0.132252,360
0.148828,324
0.165404,311
0.181988,320
0.198572,347
0.215156,385
0.23174,427
0.248324,467
0.264908,499
0.281484,525
0.298076,538
0.31466,542
0.331244,535
0.347828,522
0.364412,506
0.380996,489
0.39758,472
0.414164,454
0.430748,439
0.447324,434
0.463916,456
0.4805,517
0.497084,615
0.513684,729
0.53026,828
0.546844,887
0.563428,899
0.580012,864
0.596596,799
0.61318,713
0.629772,621
0.646356,531
0.66294,451
0.679524,384
0.696124,337
0.712716,311
0.7293,308
0.745884,326
0.762468,360
0.779068,401
0.79566,444
0.812244,478
0.828828,500
0.845404,510
0.862004,509
0.878588,500
0.89518,488
0.911764,475
0.928348,466
0.944944,457
0.961532,451
0.978124,445
0.994708,441
1.011292,450
1.027924,487
1.044564,561
1.061196,664
1.077828,770
1.094468,851
1.111108,891
1.12774,884
1.144372,835
1.161008,760
1.177644,669
1.194276,576
1.210908,488
1.227544,411
1.244172,356
1.260804,325
1.277436,322
1.294072,341
1.3107,376
1.32734,415
1.343972,452
1.360608,480
1.377244,496
1.393884,500
1.410516,494
1.427152,481
1.443788,462
1.460428,443
1.47706,425
1.493696,411
1.510332,403
1.526964,404
1.543588,413
1.560224,438
1.57686,495
1.5935,586
1.610124,695
1.626764,795
1.6434,862
1.660036,881
1.676668,852
1.6933,785
1.709932,693
1.726572,597
1.743204,508
1.759836,431
1.77646,370
1.7931,327
1.809732,304
1.826364,298
1.843004,307
1.859644,330
1.876276,360
1.892908,394
1.909548,428
1.926188,457
1.94282,480
1.959452,500
1.976088,513
1.992716,519
2.00934,513
2.025972,496
2.042608,470
2.05924,443
2.075876,420
2.092508,405
2.109144,402
2.12578,426
2.14242,487
2.159052,585
2.175688,701
2.192324,802
2.208964,867
2.225596,885
2.242232,855
2.258868,791
2.275508,704
2.292132,607
2.308772,508
2.325404,419
2.342044,346
2.358668,295
2.375292,269
2.391916,269
2.408556,289
2.425188,322
2.441812,362
2.458436,402
2.475076,440
2.491708,473
2.50834,498
2.524976,516
2.54162,526
2.558252,527
2.574876,519
2.591516,508
2.608156,492
2.624788,474
2.64142,459
2.658056,453
2.674688,478
2.691324,545
2.707956,641
2.724592,743
2.741228,825
2.757868,867
2.7745,858
2.79114,807
2.807776,722
2.824404,620
2.841036,515
2.857672,421
2.874308,345
2.890948,293
2.90758,268
2.924216,268
2.940852,293
2.957492,334
2.974124,383
2.99076,434
3.007396,480
3.024028,515
3.04066,538
3.0573,550
3.073932,549
3.090572,536
3.107196,513
3.123836,488
3.14046,463
3.1571,438
3.173724,415
3.190364,402
3.206988,412
3.223628,461
3.24026,551
3.256892,662
3.273528,763
3.290172,830
3.306804,848
3.323436,820
3.340072,750
3.3567,654
