time,pulse
8e-06,295
0.016444,245
0.03298,261
0.049516,305
0.066052,365
0.082592,427
0.099132,482
0.115676,522
0.13226,540
0.148836,541
0.165412,528
0.181996,507
0.19858,482
0.215164,461
0.23174,444
0.248324,431
0.264908,425
0.281484,421
0.298076,418
0.31466,417
0.331244,426
0.347824,462
0.364404,527
0.380996,614
0.39758,700
0.414164,766
0.430748,798
0.447324,791
0.463916,750
0.4805,683
0.497084,600
0.513684,514
0.53026,434
0.546844,369
0.563428,321
0.580004,294
0.59658,297
0.613176,323
0.629772,364
0.646348,412
0.662932,458
0.679516,494
0.696112,515
0.7127,521
0.729292,512
0.745876,492
0.76246,468
0.779056,443
0.795644,423
0.812236,406
0.82882,397
0.845396,394
0.861996,399
0.87858,411
0.895172,435
0.911756,490
0.92834,571
0.94494,666
0.961524,753
0.978108,813
0.994692,834
1.011276,814
1.027908,760
1.044548,681
1.06118,587
1.077812,489
1.094448,398
1.111084,320
1.127716,267
1.144348,240
1.160984,241
1.177612,262
1.194244,300
1.210876,345
1.227512,388
1.244156,422
1.260796,443
1.27742,448
1.294056,441
1.310692,429
1.327332,415
1.343964,404
1.3606,400
1.377236,402
1.393876,400
1.410508,387
1.427144,358
1.44378,321
1.46042,295
1.477052,301
1.493692,347
1.510332,419
1.526972,501
1.543604,578
1.560244,636
1.576884,671
1.593524,680
1.610148,663
1.626784,626
1.64342,576
1.66006,517
1.676692,457
1.693328,402
1.709948,356
1.726588,326
1.74322,312
1.759852,310
1.77648,319
1.793116,337
1.809748,360
1.82638,384
1.843012,404
1.859644,419
1.876276,431
1.892908,440
1.909544,445
1.926188,446
1.94282,443
1.959452,435
1.976088,425
1.992716,419
2.00934,427
2.025964,464
2.0426,534
2.059236,631
2.075876,732
2.092508,815
2.109144,864
2.12578,872
2.14242,841
2.159052,779
2.175692,696
2.192332,602
2.208972,508
2.225604,428
2.24224,365
2.258876,330
2.275516,319
2.29214,329
2.308776,354
2.325412,389
2.342052,423
2.358676,454
2.375312,473
2.391948,482
2.40858,482
2.425204,475
2.441828,461
2.458452,445
2.475092,429
2.491716,413
2.50834,398
2.52498,389
2.54162,387
2.558252,400
2.574876,438
2.591512,504
2.60814,590
2.624764,672
2.641396,731
2.658036,756
2.674676,747
2.691316,706
2.707948,646
2.724584,579
2.74122,512
2.75786,449
2.774484,395
2.791124,357
2.807764,337
2.824404,335
2.841036,348
2.857672,371
2.874308,397
2.890948,424
2.90758,444
2.924216,455
2.940852,458
2.957492,454
2.974124,445
2.99076,433
3.007396,421
3.024028,409
3.04066,403
3.057296,400
3.073932,400
3.090572,402
3.107204,419
3.123836,462
3.140468,533
3.157108,622
3.173732,706
3.190372,768
3.207012,794
3.223652,783
3.240276,742
3.2569,679
3.273536,606
3.29018,532
3.306812,464
3.323444,411
3.34008,373
3.356708,355
3.373332,357
3.389964,381
3.4066,416
3.423232,451
3.43986,480
3.456484,499
3.47312,507
3.489756,506
3.506396,499
3.52302,488
3.539656,474
3.556296,460
3.572932,450
3.589556,442
3.606192,436
3.622828,427
3.639468,419
3.656092,420
3.672728,447
3.689364,508
3.706004,595
3.722636,687
3.73926,763
3.755888,808
3.772516,813
3.78914,782
3.805772,722
3.822396,646
3.839028,566
3.855668,489
3.872292,419
3.888928,366
3.905572,334
3.922204,326
3.938836,341
3.955472,373
3.972108,417
3.988732,459
4.005356,494
4.021992,514
4.038628,518
4.055268,509
4.0719,494
4.088536,476
4.105176,460
4.12182,449
4.138452,441
4.155088,433
4.171724,422
4.188364,414
4.204996,409
4.221632,415
4.238268,449
4.254908,515
4.27154,611
4.28818,710
4.30482,792
4.32146,836
4.338092,836
4.354728,793
4.371368,728
4.388004,650
4.404636,569
4.421272,494
4.437908,430
4.454548,382
4.47118,352
4.487804,340
4.504428,347
4.521068,369
4.5377,402
4.554324,439
4.570952,472
4.58758,498
4.604204,513
4.620828,516
4.637468,511
4.654108,498
4.67074,480
4.687372,463
4.704012,447
4.720652,434
4.737284,424
4.753916,419
4.770552,418
4.787196,428
4.803828,457
4.820452,514
4.837088,597
4.853728,689
4.870372,768
4.886996,817
4.903632,830
4.920272,805
4.9369,753
4.953532,683
4.970176,606
4.986812,530
5.003452,459
5.020076,398
5.036716,354
5.05334,333
5.069972,336
5.086596,355
5.10324,388
5.119876,430
5.136524,469
5.153156,497
5.169788,515
5.18642,518
5.20306,509
5.219692,492
5.236316,473
5.25294,457
5.26958,449
5.286204,446
5.302836,446
5.319472,446
5.336116,445
5.352748,446
5.36938,457
5.386016,494
5.402644,563
5.419268,650
5.435892,743
5.452532,815
5.469172,850
5.485812,844
5.502444,802
5.51908,736
5.535724,657
5.552364,577
5.568988,502
5.585628,437
5.602268,386
5.618908,356
5.63554,346
5.652176,356
5.668812,382
5.685452,415
5.702076,454
5.718712,490
5.735352,515
5.751996,528
5.76862,529
5.785256,521
5.801892,507
5.818532,491
5.835156,473
5.851804,458
5.868428,445
5.885068,437
5.901692,434
5.918316,434
5.934956,437
5.951588,448
5.968228,484
5.98486,550
6.001492,640
6.018132,734
6.034756,812
6.051396,856
6.068032,860
6.084676,828
6.1013,766
6.117924,687
6.134568,605
6.151212,524
6.167844,452
6.184476,394
6.201116,353
6.217756,332
6.23438,336
6.25102,361
6.267656,398
6.2843,437
6.300924,471
6.317548,496
6.334192,510
6.350836,512
6.367476,505
6.384116,492
6.400752,479
6.417388,464
6.434028,449
6.45066,438
6.467296,428
6.483932,419
6.500572,418
6.517196,422
6.533832,428
6.550472,444
6.567116,482
6.583748,553
6.600388,648
6.617024,746
6.633652,825
6.650276,871
6.666916,873
6.683548,834
6.700188,766
6.71682,681
6.733456,592
6.750092,508
6.766732,432
6.783364,370
6.799988,325
6.816612,305
6.833252,310
6.849876,336
6.8665,378
6.88314,427
6.89978,471
6.916412,502
6.933036,519
6.949676,522
6.966316,516
6.982948,500
6.999572,478
7.01622,459
7.03286,441
7.049484,429
7.066108,420
7.082744,414
7.099388,411
7.116028,412
7.132652,417
7.149288,437
7.165932,484
7.182564,562
7.199188,661
7.215832,761
7.232472,838
7.249116,877
7.26574,872
7.28238,831
7.29902,762
7.31566,678
7.332284,589
7.348924,500
7.365564,422
7.382204,359
7.398828,319
7.415468,303
7.432104,312
7.44874,339
7.465364,377
7.482,417
7.498636,454
7.515276,482
7.531916,497
7.54854,503
7.56518,499
7.58182,492
7.598444,480
7.615068,469
7.631708,460
7.64834,452
7.66498,444
7.681604,437
7.698244,431
7.714884,425
7.731516,423
7.74814,440
7.764776,487
7.78142,567
7.79806,666
7.814684,764
7.831324,836
7.847964,866
7.864588,847
7.881212,791
7.897852,710
7.914492,618
7.931132,525
7.947756,441
7.964392,373
7.981036,328
7.997668,308
8.014292,314
8.030932,339
8.047572,381
8.064212,427
8.080844,471
8.097484,505
8.114124,523
8.130764,524
8.147388,507
8.164024,482
8.180664,453
8.197308,426
8.21394,404
8.230576,390
8.247212,386
8.263852,388
8.280484,395
8.29712,404
8.313756,416
8.330396,439
8.34702,493
8.363652,576
8.38028,677
8.396916,772
8.413548,839
8.430172,866
8.446796,848
8.463428,792
8.48006,712
8.496692,622
8.513332,534
8.529972,458
8.546604,399
8.563236,359
8.579872,340
8.596516,339
8.61314,358
8.629764,391
8.6464,429
8.663032,463
8.67966,488
8.6963,503
8.712936,508
8.72958,503
8.74622,493
8.762844,478
8.779484,461
8.796124,444
8.812756,429
8.82938,418
8.846024,411
8.862664,408
8.879308,413
8.895932,423
8.912576,442
8.929212,482
8.945844,553
8.962468,652
8.979104,756
8.99574,842
9.012372,888
9.028996,888
9.04562,842
9.062248,766
9.078876,674
9.095516,577
9.11214,484
9.12878,405
9.14542,349
9.162044,318
9.178684,315
9.195324,334
9.211964,370
9.228588,415
9.245212,459
9.261852,492
9.278492,509
9.295116,512
9.31174,506
9.328384,495
9.345036,483
9.361668,472
9.3783,463
9.394936,456
9.41158,450
9.428212,443
9.444836,435
9.461472,427
9.478116,420
9.494756,420
9.51138,436
9.528016,478
9.544656,556
9.5613,658
9.57794,758
9.59458,833
9.61122,868
9.627852,861
9.644476,815
9.66112,747
9.67776,665
9.694404,583
9.711036,501
9.72768,427
9.74432,367
9.760948,327
9.777572,309
9.79422,317
9.810852,347
9.827484,392
9.844124,440
9.86076,483
9.877396,513
9.894036,528
9.91066,527
9.927304,517
9.94394,500
9.96058,480
9.977204,459
9.993844,440
10.010484,424
10.027168,413
10.043844,407
10.060532,407
10.077212,412
10.093888,423
10.110564,444
10.127244,488
10.143932,563
10.160608,666
10.177288,774
10.193972,861
10.210652,908
10.227336,908
10.244016,868
10.2607,795
10.277372,705
10.294056,609
10.31074,517
10.327416,435
10.344096,369
10.360772,323
10.377456,302
10.394132,309
10.410816,337
10.427496,378
10.444172,421
10.460856,458
10.477532,488
10.494216,504
10.510892,508
10.527568,500
10.544252,487
10.560928,472
10.577612,458
10.594296,446
10.610976,439
10.627656,434
10.644332,432
10.66102,432
10.677692,434
10.694376,442
10.71106,465
10.727736,517
10.744416,600
10.761092,701
10.777772,795
10.794448,858
10.811132,878
10.827816,851
10.844492,792
10.861172,708
10.877852,613
10.894532,518
10.911212,433
10.927896,364
10.94458,317
10.96126,298
10.977944,306
10.99462,340
11.011304,388
11.02798,442
11.044668,487
11.061348,522
11.078028,542
11.094712,546
11.111392,537
11.128076,517
11.144756,492
11.161432,465
11.178116,444
11.194796,427
11.21148,415
11.228172,409
11.244848,406
11.261524,411
11.278204,420
11.294888,447
11.311564,502
11.328248,589
11.344928,694
11.361604,797
11.37828,871
11.394956,900
11.41164,882
11.428316,825
11.445,741
11.461684,644
11.478364,549
11.49504,459
11.51172,388
11.528404,336
11.54508,308
11.561764,307
11.578444,330
11.595124,371
11.611812,419
11.628492,463
11.645172,497
11.661852,521
11.678532,529
11.695216,525
11.711896,511
11.728584,491
11.745272,472
11.761956,454
11.778636,438
11.795312,425
11.811996,417
11.828672,411
11.845352,411
11.862036,415
11.878716,429
11.895392,463
11.912068,531
11.928748,629
11.945428,740
11.962112,838
11.978796,900
11.995476,914
12.012156,882
12.028832,812
12.045516,721
12.062196,622
12.078884,527
12.095564,441
12.112244,372
12.128932,324
12.145608,302
12.162292,309
12.178972,337
12.195652,383
12.212336,433
12.229016,477
12.2457,507
12.262384,522
12.279068,525
12.295748,517
12.312424,501
12.329108,482
12.345788,462
12.362468,444
12.379152,432
12.395832,421
12.412508,418
12.429188,417
12.445872,418
12.462552,422
12.479236,434
12.49592,466
12.512596,533
12.529276,633
12.54596,743
12.56264,839
12.579316,897
12.596,909
12.612684,875
12.62936,803
12.64604,716
12.66272,620
12.679404,525
12.696084,438
12.712768,369
12.729452,322
12.746132,303
12.762816,309
12.7795,340
12.796188,385
12.812868,433
12.829544,476
12.846228,506
12.862904,526
12.879584,532
12.896268,526
12.912948,508
12.929624,485
12.9463,464
12.962984,443
12.97966,430
12.996348,420
13.013028,415
13.029708,412
13.046384,412
13.063064,416
13.079748,424
13.096424,452
13.113104,509
13.129788,600
13.146464,710
13.163148,817
13.179832,893
13.196516,923
13.213192,903
13.229872,840
13.246556,751
13.263236,650
13.27992,550
13.2966,458
13.313284,385
13.32996,332
13.346636,304
13.36332,304
13.379996,329
13.39668,369
13.413364,418
13.430052,463
13.446728,497
13.463404,520
13.480088,529
13.496764,524
13.513448,507
13.530132,484
13.546812,463
13.563488,444
13.580164,428
13.596844,416
13.61352,410
13.6302,408
13.646884,409
13.66356,412
13.680236,424
13.696916,454
13.7136,515
13.730276,611
13.74696,720
13.763644,819
13.78032,884
13.797,902
13.81368,871
13.830364,803
13.847044,711
13.863728,612
13.880412,515
13.897092,424
13.91378,352
13.93046,304
13.94714,286
13.96382,297
13.9805,328
13.997184,377
14.01386,432
14.030544,479
14.047228,512
14.063912,532
14.080596,533
14.097272,522
14.113952,501
14.130632,474
14.147316,445
14.164,419
14.180676,402
14.197356,393
14.214036,396
14.23072,403
14.2474,413
14.26408,424
14.280764,439
14.297444,469
14.314128,529
14.330808,622
14.347492,731
14.364172,830
14.380856,892
14.39754,905
14.41422,867
14.430908,795
14.447588,699
14.464268,596
14.480948,496
14.497624,409
14.514308,339
14.530988,290
14.547672,268
14.564364,275
14.58104,305
14.597716,353
14.614396,406
14.631084,457
14.64776,496
14.664444,526
14.681128,541
14.697808,540
14.714484,529
14.731164,511
14.747852,492
14.764528,473
14.781212,458
14.797896,446
14.814576,437
14.831256,427
14.847936,420
14.86462,415
14.881304,417
14.897984,441
14.914668,497
14.931344,588
14.948028,693
14.964712,785
14.981396,838
14.998072,844
15.014748,807
15.031432,735
15.048112,646
15.064792,550
15.081484,459
15.09816,380
15.114836,324
15.131516,291
15.148204,282
15.164884,297
15.181572,329
15.198252,374
15.214932,425
15.231612,474
15.248296,514
15.264976,541
15.281652,553
15.29834,546
15.315024,524
15.331704,498
15.348388,468
15.365068,438
15.381748,408
15.398428,381
15.415108,359
15.431792,345
15.448472,334
15.465152,333
15.481832,354
15.498516,415
15.515196,517
15.531876,651
15.54856,782
15.56524,881
15.58192,923
15.598604,904
15.615284,834
15.631964,736
15.648648,628
15.665332,527
15.682008,442
15.698688,377
15.715372,333
15.732052,310
15.748728,309
15.765404,328
15.782088,364
15.798764,409
15.815448,450
15.832132,486
15.848812,511
15.865496,521
15.882176,520
15.89886,509
15.91554,493
15.932224,473
15.948908,455
15.965588,443
15.982272,432
15.998948,423
16.015632,421
16.032308,423
16.048984,433
16.065664,467
16.08234,537
16.099024,640
16.115708,752
16.132392,844
16.149068,896
16.165744,895
16.182428,848
16.199108,767
16.215792,667
16.232476,568
16.249156,476
16.265832,395
16.282508,334
16.299196,299
16.315876,292
16.332564,312
16.349248,355
16.365928,409
16.382612,462
16.399292,505
16.415972,532
16.432652,539
16.449332,532
16.466012,516
16.482692,494
16.499368,468
16.516048,445
16.532728,428
16.549404,417
16.566084,412
16.582768,411
16.599444,418
16.616128,437
16.632808,484
16.649492,566
16.666168,666
16.682844,769
16.699528,846
16.716204,880
16.732888,865
16.74958,811
16.76626,732
16.782936,639
16.799616,543
16.8163,450
16.83298,371
16.849664,311
16.866348,278
16.883028,274
16.899708,298
16.916384,346
16.933068,407
16.949748,466
16.966432,513
16.983116,544
16.999792,554
17.016476,544
17.03316,522
17.049844,492
17.06652,462
17.083204,436
17.099888,418
17.116564,403
17.133252,396
