time,pulse
8e-06,289
0.010444,261
0.02098,269
0.03152,290
0.04206,323
0.052596,372
0.063132,436
0.073676,521
0.08422,624
0.094756,737
0.1053,854
0.115884,960
0.126468,972
0.137064,972
0.147652,972
0.158236,972
0.168832,972
0.17942,972
0.190004,972
0.2006,972
0.211188,909
0.221772,809
0.232368,705
0.242956,601
0.25354,501
0.264136,409
0.274724,327
0.285308,257
0.295896,204
0.306484,169
0.317068,156
0.327656,161
0.338244,183
0.34882,219
0.359408,263
0.369996,312
0.38058,363
0.391168,413
0.401756,456
0.41234,490
0.422924,514
0.433508,529
0.444092,536
0.454676,535
0.46526,526
0.475844,511
0.486428,491
0.497012,467
0.507596,442
0.51818,419
0.528764,393
0.539348,368
0.549932,344
0.560516,326
0.5711,311
0.5817,301
0.592284,295
0.602868,293
0.613468,296
0.624052,305
0.634636,321
0.645236,351
0.65582,397
0.66642,468
0.677004,566
0.687588,687
0.698184,822
0.708772,956
0.719356,972
0.729956,972
0.74054,972
0.751124,972
0.761724,972
0.772308,972
0.782892,972
0.793488,972
0.804076,972
0.81466,972
0.82526,972
0.835844,863
0.846428,729
0.857028,594
0.867612,469
0.878196,360
0.88878,271
0.899372,205
0.909956,163
0.92054,149
0.931132,157
0.941716,182
0.952304,224
0.962892,275
0.973476,330
0.984064,384
0.994652,434
1.005236,480
1.015876,513
1.026508,538
1.037148,550
1.047788,551
1.05842,544
1.069056,526
1.079692,501
1.090328,473
1.100956,446
1.11158,420
1.122216,395
1.132848,373
1.143476,353
1.154116,340
1.16474,331
1.175376,325
1.186004,324
1.196632,324
1.207268,328
1.217908,333
1.22854,341
1.23918,348
1.249804,356
1.26044,372
1.271084,406
1.281712,461
1.29234,541
1.302972,642
1.313608,763
1.324244,893
1.334876,972
1.345508,972
1.356148,972
1.366776,972
1.377412,972
1.388044,972
1.39868,972
1.409312,972
1.419932,972
1.430556,972
1.441196,972
1.451832,874
1.462476,743
1.473108,613
1.483732,489
1.494372,379
1.504996,283
1.515636,204
1.52626,148
1.536896,116
1.547524,109
1.558148,123
1.568776,155
1.579412,200
1.590048,255
1.600692,314
1.611324,372
1.62196,423
1.632604,465
1.643228,495
1.653864,515
1.6645,523
1.675136,519
1.685768,507
1.696396,486
1.707028,463
1.717652,436
1.728288,408
1.738916,382
1.74954,355
1.76018,335
1.77082,318
1.781452,305
1.792092,298
1.802724,291
1.81336,289
1.823992,291
1.834628,293
1.845256,297
1.855892,301
1.866532,306
1.877172,315
1.887796,326
1.898432,343
1.90906,376
1.919684,431
1.930324,512
1.940956,617
1.951596,741
1.962236,871
1.972864,972
1.983484,972
1.994124,972
2.004748,972
2.015388,972
2.026016,972
2.036648,972
2.047276,972
2.057916,972
2.068556,972
2.079188,937
2.089828,806
2.100468,673
2.1111,543
2.121724,421
2.132364,311
2.143004,219
2.153644,149
2.164276,103
2.174912,81
2.185496,80
2.19608,100
2.206716,138
2.217348,188
2.227976,244
2.238612,303
2.249236,355
2.259872,406
2.270516,445
2.28114,471
2.29178,488
2.302404,492
2.31304,486
2.323684,471
2.334316,449
2.34494,424
2.35558,398
2.366204,374
2.376844,352
2.387468,331
2.398104,313
2.408748,299
2.419376,291
2.429996,288
2.440636,288
2.451272,289
2.461916,294
2.47254,302
2.483164,310
2.493804,318
2.504432,323
2.515068,327
2.525696,332
2.536336,336
2.54698,339
2.557604,347
2.568244,365
2.578876,402
2.589512,462
2.60014,549
2.610768,660
2.621404,785
2.632044,915
2.642676,972
2.653316,972
2.66394,972
2.674576,972
2.685208,972
2.695828,973
2.70646,972
2.717092,972
2.727728,972
2.738356,972
2.748988,890
2.759624,758
2.770268,626
2.780892,498
2.791532,381
2.802164,279
2.8128,195
2.823432,134
2.834068,98
2.844648,84
2.85524,95
2.865824,126
2.87646,175
2.887084,232
2.89772,293
2.908352,355
2.918976,412
2.929608,461
2.940236,498
2.950876,524
2.961516,536
2.972144,534
2.98278,522
2.99342,502
3.004048,473
3.014684,440
3.025308,407
3.035952,375
3.046596,343
3.05722,315
3.06786,290
3.0785,273
3.089124,260
3.099764,251
3.110388,247
3.121032,247
3.131676,250
3.1423,258
3.15294,266
3.163568,275
3.174208,287
3.184852,301
3.195484,320
3.206128,347
3.216764,388
3.227396,449
3.238036,539
3.248664,650
3.259296,779
3.26994,908
3.280564,972
3.2912,972
3.301836,972
3.312476,972
3.323116,972
3.33374,972
3.344376,972
3.355012,972
3.365636,972
3.376276,972
3.3869,879
3.39754,747
3.40818,619
3.418816,495
3.429452,380
3.440076,278
3.450712,195
3.461356,136
3.47198,103
3.482624,92
3.493208,99
3.503792,124
3.514432,163
3.525068,222
3.535704,289
3.546348,361
3.556972,432
3.567596,496
3.578236,553
3.58886,601
3.5995,634
3.610128,654
3.62076,659
3.631404,652
3.642028,632
3.652652,600
3.663284,561
3.673924,520
3.684564,478
3.695188,439
3.705832,402
3.71646,368
3.7271,341
3.73774,322
3.748364,309
3.759004,302
3.769644,300
3.780276,302
3.790916,308
3.80154,316
3.81218,323
3.82282,331
3.833444,334
3.844088,339
3.854724,346
3.865348,367
3.875988,403
3.886612,457
3.89726,534
3.9079,635
3.918528,748
3.929164,865
3.939804,971
3.950444,972
3.961084,972
3.971712,972
3.982348,972
3.992972,972
4.00362,972
4.01426,972
4.024892,946
4.035532,820
4.046172,684
4.056804,550
4.067444,424
4.078068,310
4.088716,213
4.099356,131
4.109988,75
4.120568,40
4.131152,28
4.141736,35
4.152328,58
4.162912,95
4.173496,146
4.184132,205
4.194756,268
4.205392,330
4.216024,386
4.226648,436
4.237268,477
4.247908,505
4.258532,522
4.269172,526
4.279796,519
4.290444,505
4.301084,484
4.311716,457
4.322344,429
4.332964,400
4.3436,372
4.354232,348
4.364852,327
4.375488,311
4.386132,299
4.39676,292
4.407396,290
4.41802,288
4.428656,290
4.4393,295
4.449924,302
4.460552,311
4.471188,321
4.481832,330
4.492476,339
4.5031,348
4.513744,361
4.524376,381
4.535012,414
4.545652,469
4.556284,550
4.566924,655
4.577564,774
4.588192,896
4.598812,972
4.609436,972
4.620072,972
4.630716,972
4.641344,972
4.651976,972
4.66262,972
4.673244,972
4.683884,972
4.694516,864
4.705152,744
4.715796,623
4.72642,507
4.737052,402
4.747676,310
4.758324,233
4.768964,173
4.779588,131
4.790232,113
4.800876,110
4.8115,125
4.822132,153
4.832772,194
4.843408,246
4.854052,301
4.86468,355
4.875304,403
4.88594,444
4.896576,475
4.90722,497
4.91786,507
4.928496,504
4.939132,493
4.949756,477
4.960392,460
4.971012,439
4.981656,418
4.9923,396
5.002928,372
5.013564,345
5.024204,323
5.03484,305
5.045484,298
5.056112,303
5.066752,319
5.07738,342
5.088004,368
5.098644,395
5.109268,418
5.119912,434
5.130556,439
5.14118,435
5.15182,427
5.162444,416
5.17308,407
5.183724,401
5.194348,407
5.204972,431
5.215612,477
5.226252,547
5.236892,637
5.24752,734
5.258164,831
5.268804,916
5.279436,972
5.290076,972
5.300704,972
5.311336,971
5.32198,923
5.332608,846
5.343228,753
5.353868,653
5.364492,549
5.375132,452
5.385772,365
5.396408,288
5.407052,221
5.417684,165
5.428324,125
5.438956,101
5.449592,92
5.460184,100
5.47082,125
5.481452,163
5.492084,214
5.502708,273
5.513344,334
5.52398,395
5.534616,448
5.54526,493
5.555888,530
5.566524,552
5.577164,561
5.5878,558
5.598444,545
5.609084,527
5.619708,504
5.630348,478
5.640996,450
5.651636,423
5.66226,397
5.672904,376
5.683548,357
5.69418,339
5.70482,325
5.715444,315
5.726084,310
5.736724,307
5.747348,306
5.75798,309
5.76862,314
5.77926,319
5.7899,327
5.800524,331
5.811148,336
5.821788,342
5.832412,346
5.843052,353
5.85368,366
5.86432,393
5.874948,442
5.885588,513
5.896228,603
5.906868,706
5.917508,810
5.928148,906
5.938776,972
5.949412,972
5.960044,972
5.970672,972
5.9813,972
5.991932,931
6.002572,848
6.013212,754
6.023836,653
6.034468,552
6.045096,456
6.055736,368
6.06638,289
6.07702,222
6.087664,170
6.098292,132
6.108932,110
6.119564,103
6.130204,114
6.14084,142
6.151484,180
6.162108,229
6.172748,282
6.183372,337
6.194016,390
6.20466,437
6.2153,477
6.22594,504
6.236568,520
6.247208,527
6.257836,525
6.268476,513
6.279116,497
6.289748,480
6.300388,458
6.311028,432
6.321668,409
6.332312,388
6.342956,370
6.353596,356
6.364236,345
6.374876,339
6.385512,335
6.396156,333
6.406796,332
6.41742,332
6.428044,336
6.438668,338
6.449308,342
6.459932,346
6.470576,353
6.48122,364
6.491848,387
6.502484,426
6.513108,485
6.523752,567
6.534396,664
6.545036,766
6.55566,866
6.566292,949
6.576932,971
6.587572,972
6.598204,972
6.60884,972
6.619472,954
6.630092,881
6.640732,792
6.651364,695
6.662,594
6.672632,495
6.683252,402
6.693876,321
6.704516,252
6.71514,193
6.725772,149
6.736396,122
6.747032,113
6.757676,123
6.7683,147
6.778924,185
6.789552,234
6.800188,289
6.810828,347
6.82146,402
6.832084,449
6.842724,489
6.853348,521
6.863988,541
6.874612,552
6.885252,551
6.895892,542
6.906532,525
6.917172,501
6.927796,471
6.938432,437
6.949076,403
6.959704,372
6.970344,345
6.98098,325
6.991604,310
7.002248,301
7.012884,299
7.02352,301
7.034164,307
7.044804,313
7.055444,322
7.066068,332
7.076704,340
7.087348,350
7.097972,361
7.10862,380
7.119252,414
7.129896,468
7.14054,547
7.15118,643
7.16182,750
7.172452,858
7.183084,955
7.193724,972
7.204348,972
7.214984,972
7.225628,972
7.23626,971
7.246892,972
7.25752,886
7.26816,790
7.278804,688
7.289444,586
7.300068,492
7.310708,407
7.321348,335
7.331988,274
7.342616,228
7.353256,196
7.3639,177
7.374524,173
7.385164,182
7.395788,205
7.406432,241
7.41706,285
7.4277,333
7.438324,383
7.448964,432
7.459588,479
7.470224,518
7.48086,547
7.4915,564
7.50214,567
7.512764,557
7.523404,537
7.534044,508
7.544688,476
7.555332,443
7.565972,411
7.576596,383
7.587236,359
7.597872,337
7.608516,322
7.61914,314
7.629784,311
7.640412,312
7.651044,316
7.661684,323
7.672324,333
7.68296,343
7.693604,351
7.704232,357
7.714868,362
7.725492,371
7.736136,382
7.74678,401
7.757404,436
7.768044,490
7.778684,566
7.789308,661
7.79994,761
7.81058,862
7.821216,952
7.83186,972
7.8425,971
7.85314,971
7.86378,972
7.874428,972
7.885068,930
7.8957,851
7.906324,759
7.916964,663
7.9276,568
7.938244,479
7.948872,399
7.959508,332
7.970148,273
7.980788,227
7.99142,196
8.00206,181
8.012696,181
8.02334,194
8.033964,218
8.044588,254
8.055212,299
8.065848,347
8.076492,394
8.087116,440
8.097756,479
8.108396,511
8.119036,534
8.129672,544
8.140308,545
8.150956,533
8.161588,515
8.17222,491
8.18286,464
8.1935,436
8.204136,408
8.214764,384
8.225392,365
8.236012,348
8.246652,336
8.257284,326
8.267924,321
8.278552,320
8.289192,324
8.299836,330
8.31046,335
8.3211,343
8.331724,351
8.34236,358
8.353004,365
8.363636,371
8.37426,379
8.3849,390
8.395524,407
8.406156,436
8.41678,482
8.427416,550
8.43806,639
8.448692,740
8.459332,842
8.469956,934
8.480596,972
8.491236,972
8.50186,972
8.512484,972
8.523124,972
8.533756,953
8.544396,880
8.55502,796
8.565668,703
8.576308,609
8.586932,520
8.597572,439
8.608196,367
8.618832,301
8.629476,246
8.6401,206
8.650724,182
8.661364,179
8.671988,192
8.68262,217
8.69326,254
8.703896,300
8.71454,350
8.725168,401
8.735788,450
8.746428,492
8.757068,527
8.767708,550
8.778336,563
8.788976,565
8.799608,556
8.810244,541
8.820884,520
8.831508,494
8.842152,466
8.852796,439
8.86342,413
8.87406,391
8.884688,372
8.895332,355
8.905964,343
8.916604,334
8.927228,332
8.937868,332
8.948492,334
8.959124,340
8.969764,347
8.9804,355
8.991044,364
9.001668,372
9.012308,379
9.022932,384
9.033576,388
9.04422,397
9.054844,411
9.065484,435
9.076108,477
9.086756,540
9.097396,625
9.108036,725
9.11868,828
9.129308,923
9.139948,972
9.150584,971
9.16122,971
9.171864,972
9.182508,972
9.193148,971
9.203788,911
9.214428,827
9.225072,737
9.235716,643
9.24634,552
9.25698,470
9.267612,396
9.278252,332
9.288892,277
9.299516,235
9.31016,211
9.320804,202
9.331428,207
9.342068,227
9.352692,259
9.363336,302
9.37398,352
9.38462,404
9.395244,454
9.405868,497
9.416512,532
9.427156,559
9.437796,572
9.44844,575
9.459076,568
9.469724,553
9.480364,533
9.491004,508
9.501648,481
9.512292,453
9.522932,428
9.533564,406
9.544204,388
9.55484,372
9.565484,360
9.576124,354
9.586764,352
9.597404,353
9.608048,357
9.618692,362
