ard_micro,pulse
8e-06,420
0.010444,393
0.02098,395
0.031524,401
0.042068,410
0.052604,419
0.06314,430
0.073676,444
0.08422,458
0.094756,473
0.1053,484
0.115884,493
0.126468,499
0.137064,499
0.147652,496
0.158236,491
0.168832,481
0.17942,467
0.190004,452
0.2006,438
0.211188,424
0.221772,410
0.232368,398
0.242956,388
0.25354,382
0.264136,377
0.274724,377
0.285308,377
0.295896,381
0.306484,384
0.317068,389
0.327656,394
0.338244,401
0.348828,407
0.359412,411
0.369996,416
0.38058,420
0.391164,424
0.401748,428
0.412332,428
0.422924,430
0.4335,429
0.444084,430
0.454668,428
0.465252,428
0.475836,426
0.48642,424
0.497004,423
0.507588,421
0.518172,420
0.528756,419
0.53934,417
0.549924,418
0.560508,416
0.571092,416
0.581676,416
0.59226,418
0.602844,421
0.613444,422
0.624028,422
0.634612,424
0.645212,424
0.655788,424
0.666372,424
0.676956,428
0.68754,439
0.698124,466
0.708708,511
0.719292,581
0.729892,673
0.740476,777
0.75106,886
0.761656,970
0.772244,971
0.782828,971
0.793428,970
0.804012,970
0.814596,970
0.825192,970
0.83578,945
0.846364,867
0.856964,790
0.867548,713
0.878132,644
0.888728,588
0.899316,545
0.9099,513
0.9205,488
0.931084,472
0.941668,457
0.952264,446
0.962852,435
0.973436,426
0.98402,418
0.994604,416
1.005188,417
1.01582,424
1.026444,432
1.03708,445
1.047716,460
1.058348,473
1.068988,486
1.079628,496
1.09026,505
1.1009,506
1.111532,504
1.122168,498
1.132796,489
1.14342,476
1.154044,461
1.164684,447
1.17532,433
1.185948,422
1.196572,412
1.207208,402
1.217836,395
1.228464,390
1.2391,388
1.249732,388
1.260368,389
1.271,390
1.281636,395
1.292272,400
1.302908,404
1.31354,408
1.32418,411
1.334812,416
1.345448,421
1.356076,424
1.3667,425
1.377324,427
1.387956,429
1.398592,431
1.40922,431
1.419852,430
1.430488,429
1.441124,429
1.451756,429
1.462396,430
1.47302,427
1.483656,429
1.494284,430
1.504912,430
1.515532,432
1.526156,431
1.536784,430
1.54742,430
1.558048,429
1.56868,429
1.579308,427
1.589932,431
1.600556,445
1.611188,477
1.621828,532
1.632468,611
1.6431,709
1.653736,818
1.664372,925
1.675004,970
1.685644,970
1.696276,970
1.706912,970
1.717556,970
1.72818,970
1.73882,970
1.749452,889
1.760092,808
1.770732,728
1.781364,655
1.791988,591
1.802628,542
1.81326,501
1.8239,475
1.834528,455
1.845164,440
1.855804,428
1.866428,419
1.877068,412
1.8877,408
1.898336,410
1.908964,412
1.919588,418
1.930228,429
1.940868,442
1.9515,455
