Epoch,Answer,Prediction
coffee_1,10,89,3
coffee_1,10,33,35
coffee_1,10,90,5
coffee_1,10,92,1
coffee_1,10,23,58
coffee_1,10,50,26
coffee_1,10,62,25
coffee_1,10,89,2
coffee_1,10,67,13
coffee_1,10,52,26
coffee_1,20,80,9
coffee_1,20,49,22
coffee_1,20,38,31
coffee_1,20,52,19
coffee_1,20,49,35
coffee_1,20,74,15
coffee_1,20,73,20
coffee_1,20,81,7
coffee_1,20,53,21
coffee_1,20,28,36
coffee_1,30,11,31
coffee_1,30,49,25
coffee_1,30,62,31
coffee_1,30,96,5
coffee_1,30,83,9
coffee_1,30,32,39
coffee_1,30,94,2
coffee_1,30,17,21
coffee_1,30,54,36
coffee_1,30,31,50
coffee_1,40,92,4
coffee_1,40,27,55
coffee_1,40,35,41
coffee_1,40,24,41
coffee_1,40,70,28
coffee_1,40,97,11
coffee_1,40,99,4
coffee_1,40,89,2
coffee_1,40,37,37
coffee_1,40,99,4
coffee_1,50,94,5
coffee_1,50,92,5
coffee_1,50,18,16
coffee_1,50,8,5
coffee_1,50,97,12
coffee_1,50,98,4
coffee_1,50,84,10
coffee_1,50,32,37
coffee_1,50,87,4
coffee_1,50,79,16
coffee_1,60,50,43
coffee_1,60,86,5
coffee_1,60,62,23
coffee_1,60,13,40
coffee_1,60,52,31
coffee_1,60,28,38
coffee_1,60,9,7
coffee_1,60,73,22
coffee_1,60,51,23
coffee_1,60,97,5
coffee_1,70,28,48
coffee_1,70,26,38
coffee_1,70,62,30
coffee_1,70,22,62
coffee_1,70,40,55
coffee_1,70,89,12
coffee_1,70,54,40
coffee_1,70,47,42
coffee_1,70,95,5
coffee_1,70,26,43
coffee_1,80,59,53
coffee_1,80,70,27
coffee_1,80,23,69
coffee_1,80,16,34
coffee_1,80,85,16
coffee_1,80,63,30
coffee_1,80,93,11
coffee_1,80,51,28
coffee_1,80,77,17
coffee_1,80,62,61
coffee_1,90,70,25
coffee_1,90,42,40
coffee_1,90,58,31
coffee_1,90,73,15
coffee_1,90,17,82
coffee_1,90,24,58
coffee_1,90,33,49
coffee_1,90,76,16
coffee_1,90,42,34
coffee_1,90,42,67
coffee_1,100,71,26
coffee_1,100,60,30
coffee_1,100,76,19
coffee_1,100,25,23
coffee_1,100,44,24
coffee_1,100,65,35
coffee_1,100,15,23
