X,Y,Z
0.16708876,-0.05216694,0.31268775
0.26158765,-0.03437424,0.2926048
0.22636911,-0.09228039,0.06963646
0.02017647,-0.09761715,0.15110838
-0.25664121,-0.04103661,0.15964878
-0.14676721,-0.03826141,0.14192355
-0.01351702,-0.02973175,0.10164154
0.04620633,-0.03889084,0.08229506
0.05592891,-0.01992702,0.13784361
0.02659108,-0.03057384,0.05405402
0.02866231,-0.00720787,0.09852278
-0.05407345,-0.00670624,0.07929242
-0.08069105,-0.00421429,0.10251915
-0.08541653,0.02089119,0.02461457
-0.06253293,-0.01562881,0.04422021
-0.036714300000000005,0.057050699999999996,-0.06919813
0.02303873,-0.01302719,-0.04932868
0.30903113,0.03390789,-0.05938601
0.12707849,0.00412846,-0.10658181
-0.26176685,-0.02133179,0.06315362
-0.16118959,-0.01176548,0.13742137
0.17419165,-0.00816154,-0.04628396
0.02791149,0.02001572,-0.03397489
0.08352083,0.00645542,-0.04814172
0.32985467,0.027266500000000003,-0.06149077
0.02474475,-0.02862644,-0.038221
-0.0825132,-0.00878239,-0.00365901
0.03118886,-0.00022030000000000004,-0.00647247
0.12045574,-0.02247047,0.01781917
0.09193902,0.01150608,0.07835197
-0.15732351,0.00139141,0.05899811
-0.11164369,-0.00996399,0.03088439
-0.14697964,-0.01082706,0.08248174
-0.13311857,-0.02549458,0.08540118
-0.03343522,0.02288055,0.16226792
-0.18469083,-0.04102802,0.10086417
-0.08284937,0.07023430000000001,-0.00225425
0.01657576,-0.04595852,0.01338947
0.00073182,-0.01237011,-0.05928677
-0.0019315,0.0015583,0.00024486
0.02986787,0.03067398,-0.1125769
0.10807478,-0.00934124,-0.06031734
0.05288026,0.02389908,-0.02129245
0.10928062,0.01910782,-0.01433963
0.05082418,0.04331589,-0.04987127
0.18157899,-0.00527382,-0.0590865
0.12304343,-0.01914883,-0.0695191
0.06122904,0.02288246,-0.12150347
0.09805936,0.01829338,-0.03032422
0.02122162,0.0062293999999999995,-0.03659302
0.041003899999999996,0.02255154,-0.03364372
0.01180309,-0.01160336,-0.04626405
0.13325162,-0.00616837,0.01793689
0.06509295,-0.04043769999999999,0.02328205
-0.07175006,-0.00546932,-0.01014823
-0.08729549,-0.0049057,0.01837075
-0.15790294,0.0174799,-0.04181981
-0.06973666,0.0164423,0.00279641
-0.06387778,-0.02282143,-0.01083153
0.09119798,0.00398636,0.02220321
0.11752069999999999,-0.01160145,0.03095329
0.11947198,0.02173996,-0.00780672
-0.02700054,-0.01359749,0.01457053
-0.21399987,0.038957599999999995,-0.03274447
-0.09057555,0.02814198,-0.01532716
-0.00791467,-0.00243282,-0.02426195
0.11423089,-0.00997448,0.00643611
0.07160546,-0.00584316,-0.00612092
0.09881933,0.0267067,-0.04601437
0.07642271,-0.00752258,-0.03850192
0.004779600000000001,-0.01156235,-0.07713634
-0.02066885,-0.00248814,-0.01367962
-0.14336817,-0.01435375,-0.03447825
-0.13604383,0.02526283,-0.02262533
-0.14761716,-0.01831245,-0.01278263
-0.08859397,0.01299858,0.00577021
-0.02053504,-0.00338268,0.02312005
0.02313512,0.00822449,0.00106567
0.13638991,0.00361061,-0.020319099999999996
0.19980338,-0.03150272,0.04964834
0.17693192,-0.01933765,0.09215045
0.14810491,0.01879406,0.11120486
-0.11752287,-0.03740311,0.10853016
-0.25916797,0.02553654,0.02981478
-0.34454840000000003,0.00670528,0.04378366
