X,Y,Z
-1.21679688,0.18676758,0.61865234
-1.24414063,0.06182861,0.87060547
-1.18554688,0.07635498,1.04296875
-1.26171875,0.20495605,0.87207031
-1.92382813,0.24768066,0.58105469
-3.17382813,0.11419678,0.46728516
-4.3671875,-0.16357422,0.49560547
-4.90234375,-0.54345703,0.81787109
-4.3125,-0.74804688,1.38476563
-2.61914063,-0.52441406,1.8125
-0.99169922,0.0475769,1.8359375
0.14758301,0.59960938,1.65820313
1.05859375,0.96826172,1.52246094
1.66308594,1.0859375,1.4765625
1.68261719,1.22265625,1.48828125
1.3515625,1.29296875,1.43847656
0.94482422,0.98632813,1.34960938
0.31762695,0.57177734,1.3125
-0.29882813,0.22229004,1.42773438
-0.76171875,-0.12817383,1.66992188
-1.17285156,-0.38012695,2.07617188
-1.55664063,-0.51855469,2.38476563
-1.88378906,-0.55224609,2.33789063
-2.1171875,-0.60986328,2.30273438
-2.0703125,-0.60644531,2.29101563
-1.82128906,-0.41259766,2.40429688
-1.52734375,-0.30859375,2.64453125
-1.61816406,-0.25512695,2.83398438
-2.34570313,-0.2130127,2.99023438
-3.05859375,-0.22949219,3.22265625
-3.41992188,0.03805542,3.3359375
-3.33789063,0.41992188,3.29882813
-2.91015625,0.77685547,3.13476563
-2.59375,0.99902344,2.88085938
-2.35351563,1.07128906,2.73046875
-2.1796875,1.10644531,2.71875
-2.44335938,0.88769531,2.52539063
-2.94140625,0.625,2.43554688
-3.24609375,0.73535156,2.0625
-3.45898438,0.66455078,1.47558594
-3.61914063,-0.24316406,0.83105469
-3.5078125,-1.265625,0.39794922
-3.64257813,-1.85546875,0.21350098
-3.97460938,-1.78125,0.31640625
-4.45703125,-1.20117188,0.46118164
-5.265625,-0.43847656,0.44506836
-5.5625,0.15075684,0.30981445
-4.546875,0.23010254,0.25366211
-2.83203125,-0.06384277,0.25732422
-1.328125,-0.66796875,0.41943359
-0.46557617,-0.87255859,0.88085938
-0.70703125,-1.04492188,0.98486328
-1.546875,-1.08203125,0.54980469
-1.97265625,-0.99462891,-0.09265137
-1.72167969,-0.95849609,-0.76904297
-1.43164063,-0.8125,-1.3515625
-1.07714844,-1.10351563,-1.53222656
-1.0859375,-1.42773438,-1.92773438
-1.18554688,-1.78613281,-2.44335938
-1.01367188,-1.83105469,-3.0390625
-0.59619141,-1.80175781,-3.37890625
-0.54248047,-1.90625,-3.70898438
-0.38574219,-1.7890625,-4.29296875
-0.07629395,-1.88085938,-4.75
0.33642578,-2.09570313,-4.89453125
0.50244141,-2.109375,-4.87890625
0.44897461,-1.97265625,-4.82421875
0.36279297,-1.62011719,-4.75390625
0.23217773,-1.31542969,-4.74609375
0.52392578,-1.10644531,-4.83984375
0.86669922,-0.97900391,-4.71484375
1.24414063,-0.8515625,-4.3359375
1.49316406,-1.06054688,-3.78515625
1.30078125,-1.40234375,-3.25976563
1.31542969,-1.27929688,-3.02929688
1.13867188,-1.07714844,-2.93945313
1.08789063,-0.94824219,-2.85351563
1.0234375,-0.65087891,-2.7421875
0.95214844,-0.63867188,-2.52539063
0.93164063,-0.76171875,-2.20117188
0.92578125,-0.796875,-1.93359375
0.87255859,-0.93554688,-1.60546875
0.66064453,-1.00390625,-1.46484375
0.61181641,-0.85546875,-1.39746094
0.85351563,-0.67578125,-1.23339844
1.03710938,-0.64746094,-1.06542969
0.97119141,-0.61816406,-0.89453125
0.66064453,-0.70849609,-0.75
0.42651367,-0.83544922,-0.68847656
0.52783203,-0.77929688,-0.73193359
0.63818359,-0.59277344,-0.74658203
0.57958984,-0.53466797,-0.71044922
0.53173828,-0.50927734,-0.59472656
0.53027344,-0.58886719,-0.49316406
0.50830078,-0.54394531,-0.49389648
0.43212891,-0.57177734,-0.32421875
0.32788086,-0.6015625,-0.30053711
0.34155273,-0.50732422,-0.32910156
0.34155273,-0.50732422,-0.32910156
0.42041016,-0.34716797,-0.31713867
0.42529297,-0.4140625,-0.34375
0.44360352,-0.47900391,-0.3034668
0.39477539,-0.18579102,-0.22521973
0.33813477,-0.17504883,-0.21887207
0.33056641,-0.29467773,-0.22680664
0.33520508,-0.23461914,-0.26806641
0.38842773,-0.25268555,-0.21606445
0.4375,-0.33422852,-0.14929199
0.45825195,-0.31445313,-0.07763672
0.42626953,-0.30273438,-0.05850219999999999
0.33325195,-0.27075195,-0.12310791
0.34545898,-0.28955078,-0.22607422
0.30688477,-0.33984375,-0.27441406
0.36523438,-0.30957031,-0.30273438
0.47363281,-0.23547363,-0.3527832
0.48608398,-0.19030762,-0.40478516
0.41625977,-0.19042969,-0.38452148
0.40527344,-0.27905273,-0.36181641
0.19921875,-0.35961914,-0.33691406
0.18554688,-0.37768555,-0.47802734
0.18054199,-0.27734375,-0.48486328
0.25219727,-0.09179688,-0.47167969
0.29272461,-0.02346802,-0.41967773
0.23925781,-0.02825928,-0.40307617
0.05194092,-0.03128052,-0.37792969
-0.0847168,0.03451538,-0.31225586
-0.04568481,0.11102295,-0.3371582
