X,Y,Z
0.184,-0.1033,0.38569999
0.2656,0.0181,-0.0475
0.0384,0.0253,-0.2304
-0.1577,-0.0496,-0.1357
-0.47849998,-0.0713,-0.23719999
-0.4021,-0.0301,-0.36789998
-0.0976,-0.26710001,-0.26019999
-0.2498,-0.28389999,-0.2305
-0.46309999,-0.16679999,-0.2436
-0.58340001,-0.0024,-0.21159999
-0.52399999,0.0643,-0.0437
-0.16669999,0.0174,0.1365
0.35639998,0.0777,0.0287
0.30769998,0.28279999,0.1328
0.34799999,-0.2096,0.34329998
0.3933,0.09079999,-0.0401
0.1433,-0.0406,-0.0557
-0.0676,0.1049,0.34779999
-0.17649999,0.1441,0.3818
-0.2182,0.0345,0.07979999
0.0668,0.0972,0.228
-0.1797,-0.0424,-0.0748
-0.1074,-0.0481,-0.2104
-0.125,-0.27969998,-0.4251
-0.56239998,-0.32209998,-0.25479999
0.1559,0.0381,-0.0604
0.1582,-0.0014,0.24679999
0.47419998,-0.0396,0.0664
-0.3811,0.0002,-0.1548
-0.30679998,0.074,-0.22369999
0.27109998,-0.1461,0.1609
-0.0603,-0.0228,0.0634
-0.33089998,-0.0065,-0.1124
-0.4716,-0.0601,0.068
-0.55479997,-0.0096,0.2263
0.4655,0.24929999,0.10879999
0.84219998,-0.1094,0.4271
-0.37959999,0.1549,-0.2462
0.0018,-0.15279999,-0.22239999
-0.29629999,-0.0507,-0.0522
-0.0853,-0.0597,0.1806
-0.38889998,0.1547,0.62089998
-0.0285,-0.3576,1.13730001
1.23269999,0.16849999,0.034
0.68589997,-0.1042,0.2061
-0.29299998,-0.21579999,-0.0174
-0.91799998,-0.12069999,-0.0215
0.0244,-0.2976,-0.5995
0.1013,-0.0618,-0.15439999
0.48709998,-0.1277,0.1013
0.0994,0.0636,0.18269999
0.12639999,0.27179998,0.1953
-0.48889998,0.22759999,-0.1476
0.29729998,-0.3008,-0.57910001
0.0189,0.1647,-0.21849999
-0.46449998,0.19859999,-0.0467
0.21499999,0.16489999,0.1591
-0.1397,-0.1592,-0.1428
-0.0726,-0.15169999,0.1259
0.1013,-0.0033,0.0352
0.1165,-0.0583,0.0803
-0.2421,-0.0624,-0.22119999
0.1344,-0.2454,0.16409999
-0.0375,-0.1156,-0.0358
0.0344,0.0273,0.12899999
0.0787,-0.10179999,-0.12639999
0.0962,-0.26549998,0.0526
0.23869999,0.1133,-0.0748
-0.0021,0.0373,-0.0334
-0.3572,-0.0199,0.0301
-0.1442,-0.0613,-0.0125
0.12159999,-0.0674,-0.18619999
0.0254,-0.12969999,-0.13789999
-0.2163,-0.14659999,0.0254
-0.31869999,0.0111,0.0976
0.24239999,0.0986,-0.1095
0.34849998,-0.0363,0.113
0.39679998,-0.0611,0.1036
0.27919999,-0.0648,-0.0257
-0.15089999,-0.13499999,-0.2403
-0.33989999,-0.0693,-0.28839999
-0.2025,-0.17279999,-0.17029999
0.112,-0.162,-0.1793
-0.0241,-0.19399999,-0.30269998
-0.34450001,-0.1762,-0.0571
-0.5747,0.15869999,0.3897
-0.32619998,0.1725,0.31479999
0.0757,0.13869999,0.22579999
0.0879,0.0975,-0.049
0.0293,-0.0112,-0.1696
-0.16129999,-0.0127,0.51840001
-0.1901,0.1372,0.2367
-0.0584,0.1184,-0.0619
-0.0837,-0.0435,-0.0861
-0.1461,-0.0043,-0.097
0.0079,-0.0007,-0.1503
0.24679999,-0.1918,-0.20979999
0.1776,-0.22129999,-0.14459999
0.0662,-0.0702,-0.13509999
0.32189998,-0.038,-0.0726
0.7062,-0.09739999,0.015
0.52249998,-0.1321,0.2244
-0.039,-0.0007,0.13759999
-0.3337,0.0804,-0.1371
-0.16679999,-0.0005,-0.2314
0.33409998,-0.3184,-0.3242
0.38149998,-0.2445,-0.66319996
0.0971,-0.1758,-0.75150001
-0.3321,-0.3529,-0.52270001
-0.73769999,-0.17719999,0.1795
-0.79769999,0.0043,0.57029998
-0.65929997,0.38529998,0.48469999
-0.191,0.2554,0.25639999
0.0947,0.27309999,0.1234
0.1639,0.2719,0.0315
0.1489,0.1126,0.1832
0.0259,0.0617,0.183
0.1063,0.0806,0.0872
0.1037,-0.0608,-0.0941
0.13859999,0.0786,0.10349999
0.25209999,-0.13779999,-0.1051
-0.0277,-0.19569999,-0.29659998
-0.73619998,0.1567,-0.21879999
-1.03689992,0.2489,-0.30039999
-0.2473,0.25470001,1.68709993
-0.1371,0.58349997,1.63829994
0.63889998,0.33769998,0.6476
0.92819995,0.057,0.11149999
0.21949999,-0.0452,-0.31689999
-0.59329998,-0.20549999,-0.88659996
-0.6074,-0.49779999,-1.05849993
-0.27169999,-0.68610001,-0.884
0.0633,-0.54519999,-0.46259999
0.24949999,-0.30289999,-0.0876
0.0133,-0.0112,-0.0183
0.0029,0.1778,-0.0684
-0.204,0.1875,0.1086
-0.28889999,0.204,0.47389999
-0.18599999,0.1881,0.38609999
-0.009,0.1628,0.74169999
-0.3267,0.1982,0.76889998
-0.48249999,0.3612,0.1366
-0.22939999,0.1063,-0.0322
-0.1028,-0.26749998,-0.0264
0.0989,-0.3281,-0.249
0.185,-0.15779999,-0.5011
0.18689999,-0.1847,-0.4833
0.53789997,-0.19159999,-0.40879998
0.83759999,-0.25369999,-0.42049998
0.4601,-0.31579998,-0.4628
0.0152,-0.1698,-0.4962
-0.1786,-0.0293,-0.38339999
0.07759999,-0.0022,-0.0826
0.29069999,-0.0711,0.2911
0.041,-0.007,0.0717
-0.32279998,0.0999,-0.0608
-0.33089998,0.14019999,0.47299999
-0.0271,0.2723,0.73409998
0.33249998,0.16129999,0.4526
0.1973,0.14049999,0.0573
-0.17279999,0.0422,-0.0497
-0.52829999,0.0353,0.0228
-0.45139998,0.0491,-0.0979
-0.1158,-0.09739999,-0.2219
0.07009999,-0.18679999,-0.34169999
-0.0684,-0.1363,-0.40439999
-0.2974,-0.21329999,-0.40799999
-0.76249999,-0.112,-0.22049999
-0.67919999,-0.0664,-0.0703
-0.1691,-0.0308,-0.17289999
0.0132,0.1231,-0.11669999
0.0963,-0.0949,-0.0196
0.0018,-0.1454,0.0142
-0.0663,0.0268,-0.0293
0.0323,0.12729999,0.25830001
0.14389999,0.0343,0.35869998
0.25889999,0.18419999,0.1401
0.1638,0.1551,-0.0039
0.0898,0.0118,-0.0202
0.0392,0.0579,0.1639
0.2077,0.0818,0.0835
0.32279998,0.0643,0.1309
0.26089999,-0.0132,0.0475
-0.023,-0.0569,0.0214
-0.36669999,-0.0442,-0.1832
-0.48929998,-0.1294,-0.3486
-0.1261,-0.0518,-0.31659999
0.1551,-0.1444,-0.1611
0.2049,-0.21699999,-0.1222
0.19209999,-0.1626,-0.10219999
-0.1239,-0.1515,0.0
-0.42209998,0.0075,-0.0079
-0.2013,0.0205,-0.1302
-0.0804,-0.1241,-0.1147
-0.06659999,-0.005,-0.20379999
-0.0838,-0.1496,-0.1726
-0.19739999,-0.14289999,-0.1558
-0.18779999,-0.1048,-0.0625
0.0573,-0.0571,0.0248
0.07539999,-0.003,0.435
-0.096,0.14399999,0.43129998
-0.1164,0.16489999,0.1797
-0.1392,0.2376,-0.002
0.0285,0.2481,0.13949999
0.31739998,0.15889999,0.42209998
0.51349998,0.14559999,0.43939999
0.3876,-0.1152,0.3899
0.0011,-0.0918,0.1419
0.0431,-0.13339999,-0.57249999
-0.3355,-0.31569999,-0.56169999
-0.25929999,-0.35409999,-0.37199998
-0.25130001,-0.2307,0.0237
-0.08,-0.0015,0.23369999
0.14209999,0.0335,0.17279999
0.2719,0.1329,-0.008
0.1568,-0.1679,0.0977
-0.28119999,-0.1135,0.0422
-0.29009998,0.1416,-0.1047
0.0507,0.0549,0.0817
0.27719998,-0.0485,0.2295
0.21799999,-0.0232,0.35549998
0.091,-0.0424,0.0632
0.0558,-0.0504,-0.19999999
-0.0159,-0.1611,-0.53170002
-0.46699998,-0.17009999,-0.31
-0.4147,-0.1215,0.0595
-0.0399,-0.1601,0.0986
-0.0146,-0.1287,-0.20799999
-0.0389,-0.0417,-0.4113
-0.56079996,-0.1252,-0.3184
-0.70229995,-0.0212,-0.0907
-0.46069998,-0.1558,0.46669999
-0.22899999,-0.0125,0.24869999
0.2049,0.28549999,-0.0227
0.3924,0.17029999,0.1034
0.44979998,0.1664,0.40449998
0.43009999,-0.0301,0.34489998
0.11009999,-0.15789999,0.0085
-0.0758,0.0607,-0.19509999
-0.02,-0.19499999,-0.0139
-0.15079999,0.0397,-0.1156
0.124,0.1139,-0.1293
0.2581,0.041,0.233
0.24859999,-0.0077,0.3827
0.17809999,-0.12629999,0.0569
-0.11449999,0.0634,-0.43849999
-0.2511,0.0476,-0.60109997
-0.34889999,-0.15869999,-0.47589999
-0.50940001,-0.0848,-0.0235
-0.1486,0.0622,0.0563
0.2149,-0.0739,0.3369
0.71139997,0.0911,0.2437
1.11430001,0.211,-0.15629999
0.38929999,-0.14219999,-0.0836
-0.30230001,-0.22909999,0.28779998
-0.76370001,-0.0845,0.134
-0.19069999,-0.0253,-0.30320001
0.0689,-0.21269999,-0.33019999
-0.34129998,-0.3048,-0.0317
-0.69940001,-0.0209,0.0368
-0.2022,0.092,-0.0075
0.1081,-0.0511,-0.1602
-0.0208,-0.10659999,0.0382
-0.1209,0.19679999,0.34009999
0.0059,0.2757,0.37719998
0.0904,0.0561,0.1525
0.22569999,-0.0181,-0.07099999
0.31819999,-0.0746,-0.08329999
-0.1604,-0.0458,0.0765
-0.48179999,-0.14,0.0749
-0.4937,0.0493,0.002
-0.24679999,0.1621,0.24959999
-0.31020001,0.23699999,0.3371
-0.43069997,0.163,0.45999998
-0.37459999,0.0894,0.53310001
-0.15099999,0.1846,0.30320001
0.1221,0.0194,0.0477
0.16769999,-0.18799999,-0.175
0.1328,-0.0098,-0.48519999
0.42629999,-0.022,-0.49879998
0.73019999,-0.43259999,-0.3793
0.74489999,-0.5194,-0.75809997
0.25830001,-0.2278,-0.97589999
-0.46959999,-0.18509999,-0.1244
-0.34779999,-0.0152,0.0088
0.1228,0.0786,-0.14209999
0.38549998,0.0205,-0.07539999
0.34709999,-0.0363,0.106
0.1348,0.0581,0.3276
-0.13669999,0.1191,0.46829998
-0.2069,0.10309999,0.37459999
-0.36519998,0.1039,0.0379
-0.3292,0.0346,-0.0791
-0.43349999,0.0039,0.0153
-0.25119999,0.0535,0.1072
0.0404,0.0508,0.0251
0.0114,-0.0179,0.0638
0.0087,-0.16779999,-0.1408
0.1156,0.0086,-0.0823
0.073,-0.0527,-0.0046
0.1048,-0.15779999,-0.09959999
0.0354,-0.0728,-0.1937
-0.16329999,-0.2262,-0.08
