X,Y,Z
-0.1149292,-0.20800781,0.09991455
-0.04141235,-0.22851563,-0.03591919
0.07910156,-0.28100586,-0.19226074
0.13500977,-0.41943359,-0.22399902
0.15808105,-0.421875,-0.21899414
0.06002808,-0.32910156,-0.25244141
0.02671814,-0.14672852,-0.01363373
0.07965088,-0.07855225,-0.00113964
0.05868530000000001,-0.12304688,-0.06085205
0.09173584,-0.10339355,-0.14233398
0.16723633,-0.02983093,-0.31274414
0.25268555,0.00447845,-0.54296875
0.13708496,-0.04833984,-0.48828125
0.07177734,-0.06072998,-0.45898438
0.12451172,-0.1262207,-0.33618164
0.16516113,-0.12573242,-0.28125
0.11730957,-0.11578369,-0.11859131
0.07183838,-0.21313477,-0.04492188
0.0242157,-0.43603516,-0.07794189
-0.02078247,-0.44775391,-0.03102112
-0.13244629,-0.39404297,0.06304932
-0.15539551,-0.33691406,0.04605103
-0.13232422,-0.28955078,-0.06118774
-0.11706543,-0.29907227,-0.13806152
-0.1295166,-0.25390625,-0.17651367
-0.10424805,-0.17504883,-0.20800781
-0.09124756,-0.1050415,-0.12866211
-0.11419678,-0.14196777,0.01113129
-0.12359619,-0.27929688,0.00105762
-0.07635498,-0.453125,-0.10681152
-0.02687073,-0.51757813,-0.19274902
0.00495148,-0.4675293,-0.19519043
-0.057983400000000004,-0.46264648,-0.22155762
-0.09112549,-0.55078125,-0.23510742
-0.06567383,-0.57128906,-0.21826172
-0.02964783,-0.48071289,-0.18310547
-0.03536987,-0.27416992,-0.09588623
-0.05377197,-0.15136719,-0.18188477
-0.07501221,-0.26025391,-0.33691406
-0.05783081,-0.30908203,-0.41308594
0.01255035,-0.37915039,-0.37963867
-0.01565552,-0.37207031,-0.3972168
-0.04193115,-0.30883789,-0.24938965
-0.05282593,-0.41918945,-0.20397949
-0.08673096,-0.48657227,-0.31616211
-0.03387451,-0.45166016,-0.52734375
0.00856018,-0.34814453,-0.50537109
-0.01468658,-0.20581055,-0.39624023
-0.03231812,-0.14965820000000002,-0.39453125
-0.00609589,-0.15417479999999997,-0.45849609
0.08337402,-0.2644043,-0.48632813
0.22875977,-0.30761719,-0.58691406
0.34301758,-0.33862305,-0.65625
0.36425781,-0.35742188,-0.640625
0.29833984,-0.42236328,-0.54882813
0.26879883,-0.36425781,-0.38818359
0.20751953,-0.20458984,-0.34277344
0.10540771,-0.06726074,-0.29614258
0.13293457,-0.02697754,-0.49243164
0.19604492,-0.04959106,-0.59716797
0.17907715,-0.08416748,-0.45898438
0.17761229999999997,-0.17102051,-0.38964844
0.16101074,-0.25415039,-0.38525391
0.19921875,-0.24938965,-0.39477539
0.26831055,-0.24951172,-0.44140625
0.26708984,-0.23925781,-0.37280273
0.20300293,-0.15209961,-0.19714355
0.07635498,-0.09436035,-0.08551025
-0.02349854,-0.20056152,-0.05786133
-0.05593872,-0.30297852,-0.05874634
0.01516724,-0.39819336,-0.11505127
0.09381104,-0.49633789,-0.29663086
0.12963867,-0.47729492,-0.41821289
0.12927246,-0.40771484,-0.36889648
0.00036955,-0.30371094,-0.19995117
-0.18432617,-0.21337891,-0.03744507
-0.28442383,-0.23937988,0.04672241
-0.21533203,-0.39208984,-0.00354958
-0.01777649,-0.64746094,-0.14990234
0.01942444,-0.97753906,-0.24230957
-0.0597229,-0.75,-0.04144287
-0.20397949,-0.09350586,0.01474762
-0.11395264,0.16137695,-0.32763672
0.04827881,0.03240967,-0.45703125
0.06286621,-0.1262207,-0.43286133
0.02456665,-0.29052734,-0.26953125
-0.00263786,-0.31884766,-0.04830933
-0.02554321,-0.63085938,-0.02148438
-0.0086441,-1.02636719,-0.23657227
0.24658203,-1.21679688,-1.203125
0.16992188,-0.07434082,-1.02050781
0.0760498,1.0078125,-0.61621094
0.10046387,1.06542969,-0.36230469
0.20153809,0.35009766,-0.25
0.20849609,-0.26245117,-0.18688965
0.09448242,-0.39404297,-0.20690918
0.01252747,-0.18640137,-0.08172607
-0.02165222,0.02503967,0.08190918
-0.02023315,0.0453186,0.22595215
-0.02513123,-0.03936768,0.31469727
-0.06149292,-0.19921875,0.30859375
-0.13061523,-0.13671875,0.48632813
-0.27709961,0.08221436,0.65380859
-0.37255859,0.38110352,0.83398438
-0.32885742,0.29394531,0.66357422
-0.26611328,0.1182251,0.38818359
-0.29248047,0.00275612,0.234375
-0.32739258,-0.01441193,0.16552734
-0.26123047,0.18322754,0.04632568
-0.17443848,0.4465332,-0.1026001
-0.18566895,0.64013672,-0.20544434
-0.17346191,0.75732422,-0.09259033
-0.21679688,0.82470703,0.09259033
-0.15820313,0.97705078,-0.06787109
0.12164307,1.02539063,-0.35986328
0.33569336,0.63525391,-0.43774414
0.29980469,0.16040039,-0.36669922
0.15344238,-0.10931396,-0.21289063
0.14880371,-0.07226563,-0.14916992
0.26318359,-0.02241516,-0.08807373
0.25146484,0.02592468,-0.16809082
0.35595703,0.39160156,-0.31933594
0.50585938,0.78759766,-0.16833496
0.36645508,0.94775391,0.43188477
0.09869385,0.875,0.64697266
-0.01464844,0.55078125,0.35180664
0.17016602,0.63574219,0.04110718
0.51904297,1.12109375,-0.17321777
0.69726563,1.52050781,-0.17822266
0.66601563,1.41601563,-0.13952637
0.71972656,1.41992188,-0.06427002
0.86279297,1.5078125,0.0802002
0.98779297,1.203125,0.0894165
1.00488281,0.84814453,0.28100586
0.80908203,0.6953125,0.55029297
0.64404297,0.53027344,0.70166016
0.59716797,0.2064209,0.67773438
0.78076172,-0.01564026,0.25952148
1.27148438,-0.24328613,-0.38891602
1.79296875,-0.65673828,-0.82324219
2.04101563,-1.0078125,-1.11035156
