Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_336	2	[0.5400899052619934, 0.5543105602264404, 0.4146638512611389]	[0.4776051938533783, 0.45136433839797974, 0.5871630907058716]	[0.5026070475578308, 0.5802177786827087, 0.42264777421951294]	[0.558231770992279, 0.5558454394340515, 0.4074210524559021]	[0.32464686036109924, 0.9572809338569641, 0.13585983216762543]	[0.5505815744400024, 0.5399696230888367, 0.4649725556373596]	[0.5496081709861755, 0.5527122020721436, 0.45858272910118103]	[0.5497571229934692, 0.5586758255958557, 0.4572369456291199]	[0.5508689284324646, 0.5634028911590576, 0.4556824862957001]	[0.5523645877838135, 0.5672186017036438, 0.45411959290504456]	
subject2_file_308	0	[0.7420262098312378, 0.4127138555049896, 0.4092915654182434]	[0.9659282565116882, 0.27789199352264404, 0.19104355573654175]	[0.5686699748039246, 0.43013349175453186, 0.5473991632461548]	[0.6275508403778076, 0.6472936272621155, 0.3087141215801239]	[0.6794565320014954, 0.15088556706905365, 0.5574440956115723]	[0.5768457055091858, 0.550438642501831, 0.49756208062171936]	[0.6078968644142151, 0.5376831889152527, 0.4892669916152954]	[0.6254056096076965, 0.5273421406745911, 0.48894771933555603]	[0.6358302235603333, 0.5214760899543762, 0.4896078407764435]	[0.642531156539917, 0.5183616280555725, 0.4903854429721832]	
subject2_file_218	1	[0.5741143226623535, 0.5579332709312439, 0.4026365578174591]	[0.770160436630249, 0.5227674841880798, 0.31181368231773376]	[0.7153000235557556, 0.5687904953956604, 0.27213042974472046]	[0.7102842926979065, 0.5962584018707275, 0.26165464520454407]	[0.5406792759895325, 0.8262686133384705, 0.20736975967884064]	[0.5589586496353149, 0.565369188785553, 0.4548410475254059]	[0.5630671977996826, 0.5685798525810242, 0.4518393874168396]	[0.5651049613952637, 0.568334698677063, 0.4538453221321106]	[0.5664854049682617, 0.569015622138977, 0.45520445704460144]	[0.5675849914550781, 0.5702611804008484, 0.4559331238269806]	
subject2_file_257	0	[0.5193971395492554, 0.5588243007659912, 0.4414213001728058]	[0.48743271827697754, 0.5504980087280273, 0.49523502588272095]	[0.4981158673763275, 0.5569764971733093, 0.47385770082473755]	[0.579815149307251, 0.49961549043655396, 0.46661174297332764]	[0.9074906706809998, 0.6021408438682556, 0.11797662079334259]	[0.5579320192337036, 0.5554478168487549, 0.4449179172515869]	[0.555718183517456, 0.5635060667991638, 0.44329342246055603]	[0.5544514656066895, 0.5659793019294739, 0.4461858570575714]	[0.554164707660675, 0.5680908560752869, 0.44828248023986816]	[0.5543888807296753, 0.5699582695960999, 0.44978052377700806]	
subject2_file_324	2	[0.5308566093444824, 0.5364490151405334, 0.4453529715538025]	[0.44279351830482483, 0.36647698283195496, 0.6945134401321411]	[0.4703207015991211, 0.511428713798523, 0.5462015271186829]	[0.42121773958206177, 0.449296236038208, 0.6530717611312866]	[0.5012845396995544, 0.7905310392379761, 0.39996790885925293]	[0.5552409887313843, 0.5471916198730469, 0.4490230977535248]	[0.5531133413314819, 0.5576016306877136, 0.445679247379303]	[0.5524820685386658, 0.5615322589874268, 0.4470542371273041]	[0.5530766844749451, 0.5644950270652771, 0.4478969871997833]	[0.554246723651886, 0.5667807459831238, 0.44842329621315]	
subject2_file_263	0	[0.8941433429718018, 0.33393093943595886, 0.2742088735103607]	[0.9927937984466553, 0.49059996008872986, 0.014413198456168175]	[0.9495513439178467, 0.4847339987754822, 0.15583261847496033]	[0.9721876978874207, 0.2646838426589966, 0.18803878128528595]	[0.9663957357406616, 0.8696728944778442, 0.014757315628230572]	[0.5886993408203125, 0.6588910222053528, 0.32991424202919006]	[0.5711666941642761, 0.6553663611412048, 0.3492673337459564]	[0.5581911206245422, 0.6486189961433411, 0.3700966536998749]	[0.5491649508476257, 0.6432468295097351, 0.3873617351055145]	[0.5429917573928833, 0.6391838192939758, 0.4013548195362091]	
subject2_file_314	1	[0.5102382898330688, 0.5393030643463135, 0.47218796610832214]	[0.47142118215560913, 0.4977595806121826, 0.5517915487289429]	[0.4606102406978607, 0.48753437399864197, 0.5738738775253296]	[0.45909300446510315, 0.46950623393058777, 0.5927044153213501]	[0.6066637635231018, 0.14113077521324158, 0.6708924174308777]	[0.5556248426437378, 0.5313640236854553, 0.4687301218509674]	[0.5562756657600403, 0.5409324765205383, 0.463927686214447]	[0.5569474697113037, 0.544681966304779, 0.46427640318870544]	[0.5579149127006531, 0.5478472709655762, 0.4643915891647339]	[0.558889627456665, 0.5505539774894714, 0.4643997550010681]	
subject2_file_368	0	[0.5097071528434753, 0.5454497337341309, 0.4571942687034607]	[0.49102428555488586, 0.511260449886322, 0.5592625141143799]	[0.5155093669891357, 0.5492017865180969, 0.4751216471195221]	[0.6008949875831604, 0.5212832093238831, 0.4096660017967224]	[0.7862867712974548, 0.7250362038612366, 0.21102465689182281]	[0.5597126483917236, 0.5446491837501526, 0.4414813816547394]	[0.5531970858573914, 0.5570948123931885, 0.43951216340065]	[0.5498868823051453, 0.562233567237854, 0.4418228566646576]	[0.5488331317901611, 0.5659136176109314, 0.4433344602584839]	[0.5489451289176941, 0.5686078071594238, 0.4443846344947815]	
subject1_file_980	0	[0.83991539478302, 0.23522502183914185, 0.5757526755332947]	[0.6097338795661926, 0.44626209139823914, 0.5825528502464294]	[0.668418288230896, 0.3084666430950165, 0.6110996603965759]	[0.7803051471710205, 0.3323158919811249, 0.49031922221183777]	[0.9516875743865967, 0.09998218715190887, 0.09732235223054886]	[0.596870481967926, 0.4845799505710602, 0.4841194152832031]	[0.6184640526771545, 0.4717479944229126, 0.4827529191970825]	[0.6302440166473389, 0.4602838158607483, 0.48868829011917114]	[0.6367819905281067, 0.45288392901420593, 0.49507686495780945]	[0.6404091119766235, 0.44813036918640137, 0.5012309551239014]	
subject1_file_807	0	[0.6934361457824707, 0.5054349303245544, 0.3557935953140259]	[0.7968745231628418, 0.49608927965164185, 0.2699609100818634]	[0.9975093603134155, 0.30071547627449036, 0.00554854329675436]	[0.9672475457191467, 0.426758736371994, 0.03577173128724098]	[0.8802225589752197, 0.094549261033535, 0.2597350478172302]	[0.5924639105796814, 0.48873963952064514, 0.4708940386772156]	[0.604543924331665, 0.48316988348960876, 0.4694468080997467]	[0.6107922792434692, 0.4769056439399719, 0.4743441939353943]	[0.6140431761741638, 0.47349822521209717, 0.4791245758533478]	[0.6155732274055481, 0.47201430797576904, 0.48338213562965393]	
