Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	[3]	[0.4212331175804138, 0.49745261669158936, 0.07328712195158005, 0.3425483703613281, 0.5169731378555298, 0.07808887213468552, 0.09404005855321884, 0.10087291151285172, 0.11122456192970276, 0.18933352828025818]	[0.5726324915885925, 0.5649118423461914, 0.08499431610107422, 0.24248795211315155, 0.649351954460144, 0.06382350623607635, 0.09681375324726105, 0.10085493326187134, 0.08235742151737213, 0.16929206252098083]	[0.5476352572441101, 0.5094013214111328, 0.09485825896263123, 0.16261009871959686, 0.7815624475479126, 0.09901896864175797, 0.059139132499694824, 0.10346252471208572, 0.07923312485218048, 0.2152407318353653]	[0.47096842527389526, 0.2935454249382019, 0.08884488046169281, 0.14667300879955292, 0.802190363407135, 0.1455964595079422, 0.05607651546597481, 0.1075381189584732, 0.08118100464344025, 0.21741551160812378]	[0.6717721223831177, 0.4453345239162445, 0.06840585917234421, 0.1630599945783615, 0.5326046943664551, 0.09449167549610138, 0.12319117039442062, 0.08657511323690414, 0.06458272784948349, 0.131570965051651]	[0.6896986961364746, 0.45512354373931885, 0.11141504347324371, 0.06487096101045609, 0.7597285509109497, 0.10999133437871933, 0.07142909616231918, 0.08393807709217072, 0.052789103239774704, 0.21218997240066528]	[0.7727097272872925, 0.4136316180229187, 0.13306809961795807, 0.04994779825210571, 0.8122698664665222, 0.1207779198884964, 0.06270249933004379, 0.09826422482728958, 0.0583287850022316, 0.23579862713813782]	[0.7337232232093811, 0.40083619952201843, 0.1356065422296524, 0.040368691086769104, 0.8853799104690552, 0.12329250574111938, 0.03451560437679291, 0.07449616491794586, 0.0495707206428051, 0.3079884350299835]	[0.7805020213127136, 0.4115678071975708, 0.1268109530210495, 0.028043927624821663, 0.8782963156700134, 0.10609681904315948, 0.028052300214767456, 0.08270315080881119, 0.05311761423945427, 0.2873522937297821]	[0.7644267082214355, 0.3631778061389923, 0.10030043870210648, 0.02394923008978367, 0.8737196922302246, 0.0850108414888382, 0.022977136075496674, 0.07359428703784943, 0.049287036061286926, 0.2772987484931946]	
subject1_file_869	[3]	[0.30960825085639954, 0.36581796407699585, 0.06047592684626579, 0.44819071888923645, 0.44008785486221313, 0.10283070057630539, 0.06822340190410614, 0.07339084148406982, 0.08933471888303757, 0.2581828832626343]	[0.2123679369688034, 0.35438162088394165, 0.0326356515288353, 0.4976576566696167, 0.4548763632774353, 0.07792080193758011, 0.054136812686920166, 0.040775690227746964, 0.06551944464445114, 0.2494852989912033]	[0.1059236079454422, 0.25550952553749084, 0.028738146647810936, 0.4826928377151489, 0.5272639393806458, 0.0950460433959961, 0.022346502169966698, 0.04830479994416237, 0.0723753273487091, 0.3291720151901245]	[0.0636049136519432, 0.1172562763094902, 0.027664311230182648, 0.3309445083141327, 0.5391873717308044, 0.1477452665567398, 0.017774319276213646, 0.07915565371513367, 0.11279819905757904, 0.4469884932041168]	[0.2956761121749878, 0.32499223947525024, 0.04190077260136604, 0.6914771199226379, 0.5241471529006958, 0.06876371055841446, 0.04500914737582207, 0.03976946696639061, 0.03802274167537689, 0.1725396364927292]	[0.10143622756004333, 0.2668602168560028, 0.01661619357764721, 0.855837881565094, 0.17840255796909332, 0.027218427509069443, 0.04698591306805611, 0.030507082119584084, 0.02413593977689743, 0.11609027534723282]	[0.03697880357503891, 0.10201539099216461, 0.013232083059847355, 0.8469288349151611, 0.11249388754367828, 0.027021070942282677, 0.031153226271271706, 0.04451179504394531, 0.03821678087115288, 0.18589001893997192]	[0.06949873268604279, 0.028445539996027946, 0.024818792939186096, 0.19949163496494293, 0.5541636347770691, 0.0791000947356224, 0.009995393455028534, 0.06567396968603134, 0.09327464550733566, 0.6778849363327026]	[0.02082500047981739, 0.0701584443449974, 0.0041677383705973625, 0.9111300110816956, 0.05060485750436783, 0.00950262788683176, 0.02620122581720352, 0.028355639427900314, 0.023192862048745155, 0.109763503074646]	[0.018683910369873047, 0.067987360060215, 0.002045438624918461, 0.9398802518844604, 0.03187962993979454, 0.004743191413581371, 0.030846407637000084, 0.022163644433021545, 0.017211994156241417, 0.07940907031297684]	
subject1_file_807	[0, 3, 6]	[0.49535757303237915, 0.42513105273246765, 0.10990457236766815, 0.5218703150749207, 0.45744261145591736, 0.09504111856222153, 0.19146102666854858, 0.07921934872865677, 0.0688926950097084, 0.16207365691661835]	[0.5720035433769226, 0.38508886098861694, 0.12764708697795868, 0.6193422675132751, 0.5325742959976196, 0.08477704226970673, 0.23552438616752625, 0.07020092755556107, 0.047887057065963745, 0.12933401763439178]	[0.5970539450645447, 0.3363364636898041, 0.12482097744941711, 0.6784105896949768, 0.6013247966766357, 0.0961737334728241, 0.25074315071105957, 0.06246735528111458, 0.03920024260878563, 0.10156695544719696]	[0.6007259488105774, 0.18864615261554718, 0.1137414425611496, 0.6290233135223389, 0.598759651184082, 0.12613141536712646, 0.28644901514053345, 0.08033804595470428, 0.04555033519864082, 0.09692180156707764]	[0.5161053538322449, 0.182868093252182, 0.09451952576637268, 0.3742291331291199, 0.6478517055511475, 0.14809253811836243, 0.11752496659755707, 0.07876516133546829, 0.07873562723398209, 0.1867923140525818]	[0.517734706401825, 0.10035768151283264, 0.1488703042268753, 0.4514338970184326, 0.6420403122901917, 0.15670742094516754, 0.2718328833580017, 0.1021537259221077, 0.06854069232940674, 0.2519610524177551]	[0.5644190907478333, 0.0864703357219696, 0.1531068980693817, 0.46887391805648804, 0.6507251262664795, 0.15930314362049103, 0.3043096959590912, 0.10970242321491241, 0.0748685672879219, 0.26226022839546204]	[0.6023527383804321, 0.075810506939888, 0.15870146453380585, 0.36050474643707275, 0.730614185333252, 0.17654964327812195, 0.25824791193008423, 0.10775420814752579, 0.07325712591409683, 0.3298702538013458]	[0.6402482390403748, 0.05941382050514221, 0.1342555284500122, 0.4662971794605255, 0.675979733467102, 0.1492488533258438, 0.31379058957099915, 0.0867747813463211, 0.04904696345329285, 0.2634322941303253]	[0.6700956225395203, 0.04252897948026657, 0.112349733710289, 0.4596874713897705, 0.6782691478729248, 0.13012409210205078, 0.3041315972805023, 0.07388343662023544, 0.03714141994714737, 0.24198518693447113]	
subject1_file_463	[0, 9]	[0.473612517118454, 0.4848760664463043, 0.08368249237537384, 0.4074610769748688, 0.4908396005630493, 0.07835064828395844, 0.13544917106628418, 0.09143426269292831, 0.09222180396318436, 0.17286819219589233]	[0.6285080909729004, 0.5483416318893433, 0.09707346558570862, 0.31355032324790955, 0.5808106064796448, 0.06417357921600342, 0.1382177323102951, 0.09902675449848175, 0.0699891746044159, 0.14568860828876495]	[0.5620070099830627, 0.4786616563796997, 0.08989381790161133, 0.2635357081890106, 0.7944386005401611, 0.09412796050310135, 0.09012952446937561, 0.07552680373191833, 0.06609803438186646, 0.18177430331707]	[0.6633373498916626, 0.4290827810764313, 0.18556484580039978, 0.06003211438655853, 0.9436563849449158, 0.16990576684474945, 0.05183958262205124, 0.12593995034694672, 0.10817241668701172, 0.40225377678871155]	[0.7216342091560364, 0.4369361102581024, 0.1001887246966362, 0.10096043348312378, 0.6667569875717163, 0.1337846964597702, 0.12613308429718018, 0.08959219604730606, 0.08354761451482773, 0.19181865453720093]	[0.7170336246490479, 0.44599857926368713, 0.13959696888923645, 0.06987222284078598, 0.801245927810669, 0.12936604022979736, 0.09394562989473343, 0.08354880660772324, 0.06343540549278259, 0.241879403591156]	[0.7059987187385559, 0.3396538496017456, 0.28997665643692017, 0.0570082925260067, 0.9442470669746399, 0.2676086723804474, 0.06978799402713776, 0.13262636959552765, 0.1279769241809845, 0.5448497533798218]	[0.8544116020202637, 0.4358677566051483, 0.17873726785182953, 0.043658703565597534, 0.8752772212028503, 0.1440732479095459, 0.07479503750801086, 0.09294363856315613, 0.06146712228655815, 0.26488950848579407]	[0.7550707459449768, 0.2915743589401245, 0.41905516386032104, 0.02807922475039959, 0.9672479629516602, 0.4650160074234009, 0.03599536791443825, 0.19781610369682312, 0.11329018324613571, 0.6720436215400696]	[0.8217896223068237, 0.3061509132385254, 0.33412736654281616, 0.019206415861845016, 0.9412937164306641, 0.3566342294216156, 0.03649739921092987, 0.19660352170467377, 0.10106930136680603, 0.5077807307243347]	
subject1_file_830	[4, 9]	[0.4079180061817169, 0.5028673410415649, 0.07097643613815308, 0.33266481757164, 0.5302870869636536, 0.0816451832652092, 0.0931105837225914, 0.10260993987321854, 0.12247682362794876, 0.1972600370645523]	[0.5519501566886902, 0.5580125451087952, 0.08119429647922516, 0.23663228750228882, 0.642620325088501, 0.06511466950178146, 0.09467664361000061, 0.104808509349823, 0.09220360219478607, 0.18476815521717072]	[0.5988315343856812, 0.5811039805412292, 0.11509779095649719, 0.10773691534996033, 0.787741482257843, 0.09269843250513077, 0.06584854423999786, 0.13057927787303925, 0.10144631564617157, 0.2564705014228821]	[0.6488484144210815, 0.520041823387146, 0.12517298758029938, 0.06056530028581619, 0.8586102724075317, 0.12447085976600647, 0.05049234628677368, 0.13290606439113617, 0.09988416731357574, 0.30653122067451477]	[0.47780096530914307, 0.6210050582885742, 0.045906681567430496, 0.20271708071231842, 0.6331213712692261, 0.06504520028829575, 0.0474383682012558, 0.050381891429424286, 0.05069556459784508, 0.1985747069120407]	[0.5066784620285034, 0.468464732170105, 0.0937795490026474, 0.0685422420501709, 0.7697069644927979, 0.09827027469873428, 0.041632674634456635, 0.08083624392747879, 0.05879141762852669, 0.29052409529685974]	[0.570147693157196, 0.4286996126174927, 0.10102607309818268, 0.04361201450228691, 0.8366588950157166, 0.10805824398994446, 0.031045719981193542, 0.07887983322143555, 0.05856352299451828, 0.3266230821609497]	[0.580458402633667, 0.4333929419517517, 0.10267848521471024, 0.04191948100924492, 0.8569256663322449, 0.10212093591690063, 0.023869451135396957, 0.06945487856864929, 0.050985537469387054, 0.33375346660614014]	[0.5451123118400574, 0.4103828966617584, 0.06283687055110931, 0.04212213307619095, 0.818867027759552, 0.0706225037574768, 0.015029212459921837, 0.06058664619922638, 0.047349222004413605, 0.3142591118812561]	[0.5313917994499207, 0.4043886065483093, 0.05696955695748329, 0.03854561597108841, 0.8373023271560669, 0.06150796636939049, 0.012664073146879673, 0.05366146191954613, 0.04044920578598976, 0.30185994505882263]	
subject1_file_272	[4, 9]	[0.5029862523078918, 0.5033442378044128, 0.07657887041568756, 0.4095534384250641, 0.4969663918018341, 0.07317998260259628, 0.15482160449028015, 0.08977575600147247, 0.09268803894519806, 0.15816637873649597]	[0.6816276907920837, 0.5713579058647156, 0.09053663909435272, 0.3677733242511749, 0.5360841155052185, 0.05864938721060753, 0.18955475091934204, 0.09122181683778763, 0.06218915060162544, 0.1175542101264]	[0.7240943908691406, 0.6084467768669128, 0.1514817774295807, 0.11285149306058884, 0.7633486986160278, 0.09324561059474945, 0.11293279379606247, 0.14514869451522827, 0.09772194176912308, 0.22635315358638763]	[0.6911078691482544, 0.45332732796669006, 0.1838330626487732, 0.07863405346870422, 0.8703327178955078, 0.14481228590011597, 0.07776488363742828, 0.1575787514448166, 0.10056118667125702, 0.27800247073173523]	[0.6158455014228821, 0.30625662207603455, 0.07331546396017075, 0.21034613251686096, 0.34882980585098267, 0.0987464189529419, 0.21393391489982605, 0.1348063200712204, 0.08712181448936462, 0.11031383275985718]	[0.7308315634727478, 0.43678954243659973, 0.07747003436088562, 0.21201355755329132, 0.39401212334632874, 0.06558173149824142, 0.2544044554233551, 0.09113547205924988, 0.042234886437654495, 0.06004771962761879]	[0.7870654463768005, 0.37962356209754944, 0.09292522817850113, 0.14592429995536804, 0.5108846426010132, 0.07734687626361847, 0.23747821152210236, 0.12277605384588242, 0.05986952781677246, 0.08684293925762177]	[0.8225443363189697, 0.41665175557136536, 0.07389552146196365, 0.17799797654151917, 0.4712885320186615, 0.054742712527513504, 0.27331194281578064, 0.0984337255358696, 0.045677971094846725, 0.06094960495829582]	[0.8375664949417114, 0.4518197774887085, 0.04843718931078911, 0.22064565122127533, 0.3658997714519501, 0.03911761939525604, 0.33506837487220764, 0.08773530274629593, 0.043168481439352036, 0.038602065294981]	[0.8367548584938049, 0.34577158093452454, 0.04171090945601463, 0.1774129569530487, 0.38852545619010925, 0.03222095966339111, 0.3221360146999359, 0.09469658881425858, 0.04695746675133705, 0.042159587144851685]	
subject1_file_382	[9]	[0.4002811908721924, 0.49846383929252625, 0.07003394514322281, 0.33336639404296875, 0.5290393829345703, 0.07946451008319855, 0.08732305467128754, 0.0990053042769432, 0.11871224641799927, 0.1980912685394287]	[0.22472746670246124, 0.39020922780036926, 0.034929968416690826, 0.45836904644966125, 0.4971056282520294, 0.07940419018268585, 0.05533585697412491, 0.04124557226896286, 0.0712396651506424, 0.25455886125564575]	[0.12346012890338898, 0.32265177369117737, 0.026144621893763542, 0.5191105008125305, 0.5094621181488037, 0.08091520518064499, 0.02726750448346138, 0.039466336369514465, 0.06437310576438904, 0.29289913177490234]	[0.1155012995004654, 0.3358099162578583, 0.02153005450963974, 0.29780468344688416, 0.34344249963760376, 0.0816551148891449, 0.02047792449593544, 0.05460544303059578, 0.06943847239017487, 0.24780811369419098]	[0.42744123935699463, 0.35212090611457825, 0.049762971699237823, 0.14277616143226624, 0.7508924007415771, 0.10521652549505234, 0.037435926496982574, 0.07073291391134262, 0.08790621161460876, 0.3638492226600647]	[0.1839638650417328, 0.13319529592990875, 0.04779452085494995, 0.09773463010787964, 0.602444589138031, 0.10273008793592453, 0.023566683754324913, 0.12483077496290207, 0.1305808573961258, 0.621317982673645]	[0.12389553338289261, 0.07443597167730331, 0.03372078016400337, 0.08804473280906677, 0.5214268565177917, 0.08437575399875641, 0.01598167046904564, 0.11193245649337769, 0.14560401439666748, 0.6967311501502991]	[0.10731620341539383, 0.06301361322402954, 0.02571757324039936, 0.08897095173597336, 0.5038464665412903, 0.0651651993393898, 0.011600172147154808, 0.09025458991527557, 0.1297132819890976, 0.7077503204345703]	[0.1005626693367958, 0.05314493924379349, 0.019154539331793785, 0.08198646456003189, 0.4870157241821289, 0.05034046992659569, 0.008213634602725506, 0.08134093880653381, 0.11762990057468414, 0.7239295840263367]	[0.08512286096811295, 0.0391429178416729, 0.01364866178482771, 0.08160137385129929, 0.47904276847839355, 0.0378093346953392, 0.006193759385496378, 0.06672999262809753, 0.1048441082239151, 0.7503607273101807]	
subject1_file_588	[3]	[0.3813154697418213, 0.3688856363296509, 0.06553388386964798, 0.48026520013809204, 0.39577701687812805, 0.09682507067918777, 0.09998957067728043, 0.07843601703643799, 0.07895521074533463, 0.22231070697307587]	[0.4816693961620331, 0.3518733084201813, 0.08310379087924957, 0.599297046661377, 0.4700121581554413, 0.07901205122470856, 0.1554637998342514, 0.06855397671461105, 0.0538659505546093, 0.1585484892129898]	[0.7030628323554993, 0.47290199995040894, 0.17506304383277893, 0.5293731689453125, 0.6159083843231201, 0.08144158124923706, 0.3015093207359314, 0.0881900042295456, 0.05153646320104599, 0.13379952311515808]	[0.5078161358833313, 0.19946929812431335, 0.05740910395979881, 0.7211862802505493, 0.40135306119918823, 0.08728083223104477, 0.17748364806175232, 0.07634646445512772, 0.04309158772230148, 0.08684853464365005]	[0.46860966086387634, 0.26018843054771423, 0.04859200492501259, 0.46357688307762146, 0.5902948975563049, 0.09676199406385422, 0.06710253655910492, 0.05624585598707199, 0.051676392555236816, 0.17587199807167053]	[0.7137186527252197, 0.4806515574455261, 0.08359461277723312, 0.33903032541275024, 0.803253173828125, 0.08710920810699463, 0.09369261562824249, 0.02852398157119751, 0.01741386391222477, 0.08957278728485107]	[0.7721754908561707, 0.5200487375259399, 0.09513211995363235, 0.26839157938957214, 0.8689863085746765, 0.09143149107694626, 0.0645371749997139, 0.027624309062957764, 0.015444530174136162, 0.10250087082386017]	[0.839767336845398, 0.5626724362373352, 0.13062109053134918, 0.22300618886947632, 0.925160825252533, 0.11173368245363235, 0.04668480157852173, 0.024288564920425415, 0.01210520975291729, 0.11609333008527756]	[0.8626648187637329, 0.5888931155204773, 0.12149686366319656, 0.23535332083702087, 0.9343253970146179, 0.10190761089324951, 0.03124525398015976, 0.019512979313731194, 0.008078382350504398, 0.09324619919061661]	[0.8541510701179504, 0.45999976992607117, 0.11227722465991974, 0.3312990367412567, 0.903400719165802, 0.09253114461898804, 0.04127238318324089, 0.02402740903198719, 0.007982808165252209, 0.06708446145057678]	
subject1_file_140	[3]	[0.3086361885070801, 0.244780495762825, 0.07395005226135254, 0.5770493745803833, 0.35435932874679565, 0.11762744933366776, 0.11170122027397156, 0.09884580224752426, 0.0855434462428093, 0.2990676462650299]	[0.1789259910583496, 0.16162808239459991, 0.048868149518966675, 0.682165265083313, 0.2681124806404114, 0.10075478255748749, 0.09691695123910904, 0.08532580733299255, 0.08525858074426651, 0.34499984979629517]	[0.10201102495193481, 0.11393211036920547, 0.032731153070926666, 0.7955737113952637, 0.17132073640823364, 0.09223629534244537, 0.09458120912313461, 0.07585450261831284, 0.07832301408052444, 0.2954603433609009]	[0.09494923055171967, 0.07392943650484085, 0.027531573548913002, 0.7557289600372314, 0.1385648250579834, 0.10775052756071091, 0.13924334943294525, 0.09850545227527618, 0.09714556485414505, 0.2608703076839447]	[0.13938327133655548, 0.10034871101379395, 0.04982287436723709, 0.6335826516151428, 0.37636876106262207, 0.11992007493972778, 0.06341160088777542, 0.10163992643356323, 0.11914133280515671, 0.44555601477622986]	[0.20051823556423187, 0.08324360847473145, 0.032217733561992645, 0.5149601101875305, 0.33573415875434875, 0.08516331017017365, 0.09172777831554413, 0.07581789046525955, 0.07698845118284225, 0.3572051525115967]	[0.07011322677135468, 0.12258610129356384, 0.015276506543159485, 0.9087067246437073, 0.09667731076478958, 0.02952195331454277, 0.08140876889228821, 0.04422196000814438, 0.039548762142658234, 0.13223718106746674]	[0.057404160499572754, 0.08470643311738968, 0.010392599739134312, 0.9303357601165771, 0.06620166450738907, 0.020336318761110306, 0.09696289151906967, 0.04194903001189232, 0.03464916720986366, 0.0993051677942276]	[0.04235168918967247, 0.0653875470161438, 0.005881930235773325, 0.9596561789512634, 0.035095177590847015, 0.012004166841506958, 0.10964575409889221, 0.03367619588971138, 0.026513461023569107, 0.07218234986066818]	[0.035642869770526886, 0.04968566820025444, 0.003514342475682497, 0.9651581048965454, 0.027623269706964493, 0.007534414995461702, 0.10904666781425476, 0.030051082372665405, 0.023409133777022362, 0.06901109963655472]	
subject1_file_213	[0, 3, 6]	[0.4738277196884155, 0.509941816329956, 0.07346256822347641, 0.37532779574394226, 0.515579879283905, 0.07562124729156494, 0.13087236881256104, 0.09384380280971527, 0.10157138854265213, 0.16218304634094238]	[0.6442562341690063, 0.5890862941741943, 0.08436284214258194, 0.29208895564079285, 0.6039396524429321, 0.0590825080871582, 0.1416635662317276, 0.09402626007795334, 0.07270121574401855, 0.1353430151939392]	[0.7146446704864502, 0.6226059794425964, 0.07699915766716003, 0.3294425904750824, 0.5777488946914673, 0.06699173152446747, 0.1563442200422287, 0.0754472091794014, 0.048183757811784744, 0.0953189879655838]	[0.7138420343399048, 0.46868896484375, 0.06502654403448105, 0.40516865253448486, 0.36175763607025146, 0.07013187557458878, 0.25742530822753906, 0.08300178498029709, 0.04080147296190262, 0.045974407345056534]	[0.6960698962211609, 0.42365020513534546, 0.09072244167327881, 0.16540761291980743, 0.4969908893108368, 0.10363707691431046, 0.1877325177192688, 0.10507015883922577, 0.07081416249275208, 0.11142977327108383]	[0.7463390827178955, 0.4609711766242981, 0.08728475868701935, 0.19079160690307617, 0.4387196898460388, 0.06803218275308609, 0.22894752025604248, 0.09122998267412186, 0.043179795145988464, 0.06745143234729767]	[0.8120672702789307, 0.43835148215293884, 0.09116905927658081, 0.20072191953659058, 0.4911382496356964, 0.068662129342556, 0.2783498167991638, 0.10936816036701202, 0.05143054947257042, 0.06543305516242981]	[0.833688497543335, 0.42713916301727295, 0.07927146553993225, 0.20640280842781067, 0.458539217710495, 0.053237807005643845, 0.30165281891822815, 0.10357647389173508, 0.04711534455418587, 0.05744097754359245]	[0.8158610463142395, 0.3628970682621002, 0.05261487886309624, 0.244602233171463, 0.311441034078598, 0.041018664836883545, 0.4066287577152252, 0.11106221377849579, 0.05736584961414337, 0.04934307187795639]	[0.7320135235786438, 0.1776067167520523, 0.03292090445756912, 0.23363089561462402, 0.20869451761245728, 0.02953483909368515, 0.4857301414012909, 0.1275741457939148, 0.07645788788795471, 0.06873008608818054]	
