Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	[3]	[0.39163723587989807, 0.40738895535469055, 0.14063985645771027, 0.7005175948143005, 0.3823610246181488, 0.09467052668333054, 0.09495022147893906, 0.09484729170799255, 0.06515775620937347, 0.22234921157360077]	[0.2828860878944397, 0.3464227318763733, 0.0043962630443274975, 0.9916509985923767, 0.08963319659233093, 0.0012602834030985832, 0.0414862222969532, 0.011583431623876095, 0.004473575856536627, 0.00695250416174531]	[0.1415291428565979, 0.227476567029953, 0.0004071300500072539, 0.9994533658027649, 0.02834540791809559, 0.0001610878825886175, 0.13339762389659882, 0.0036136142443865538, 0.002071590395644307, 0.000986122409813106]	[0.12362921237945557, 0.13345640897750854, 1.6161760868271813e-05, 0.9999401569366455, 0.003474779659882188, 1.1280199942120817e-05, 0.1943376213312149, 0.0006903756293468177, 0.0007678464753553271, 0.0003140002954751253]	[0.05297088995575905, 0.09331072121858597, 6.637537353526568e-06, 0.9999802112579346, 0.0007996579515747726, 4.582214842230314e-06, 0.19566799700260162, 0.0004016546590719372, 0.0007892983267083764, 0.0005010988097637892]	[0.008983220905065536, 0.04878971725702286, 1.4300456996352295e-06, 0.9999948740005493, 9.194372978527099e-05, 9.87507064564852e-07, 0.1044340580701828, 0.00020683267212007195, 0.0009673222666606307, 0.0006203966331668198]	[0.0002968506596516818, 0.025062257423996925, 1.2454111129045486e-06, 0.9999234676361084, 0.0006500704330392182, 3.9418404185198597e-07, 0.012392787262797356, 8.340309432242066e-05, 0.0009189925622195005, 0.0011993907392024994]	[0.0006766454898752272, 0.05016537755727768, 5.711032713406894e-07, 0.999984622001648, 0.00019195185450371355, 4.310021495257388e-08, 0.017451182007789612, 3.0136243367451243e-05, 0.0002265658840769902, 0.0004423761274665594]	[0.0002607349888421595, 0.0163558479398489, 2.2045419711957948e-07, 0.9999909400939941, 3.162116263411008e-05, 1.7181891465156696e-08, 0.022554822266101837, 6.569777906406671e-05, 0.0004950666916556656, 0.0007518445490859449]	[3.1805826438358054e-05, 0.013198981992900372, 2.8425736431358928e-08, 0.9999996423721313, 1.8560666603661957e-06, 1.5428408550732797e-09, 0.007589312735944986, 1.1840191291412339e-05, 0.00010332505189580843, 0.0001496355253038928]	
subject2_file_679	[3, 6]	[0.3083665370941162, 0.3935321271419525, 0.15229815244674683, 0.71916264295578, 0.3482419550418854, 0.14907796680927277, 0.1532159447669983, 0.19055096805095673, 0.11883701384067535, 0.22410979866981506]	[0.2581433951854706, 0.26269856095314026, 0.04595404863357544, 0.9771925806999207, 0.1398761123418808, 0.04918823763728142, 0.23845897614955902, 0.39606016874313354, 0.1471254527568817, 0.04806174337863922]	[0.5718538165092468, 0.46486520767211914, 0.03701899200677872, 0.9786469340324402, 0.20602290332317352, 0.03293907269835472, 0.309096097946167, 0.7764055132865906, 0.4825659394264221, 0.06289397180080414]	[0.6697275638580322, 0.38183778524398804, 0.0023322608321905136, 0.9996445178985596, 0.03713865950703621, 0.001992641482502222, 0.4054299294948578, 0.8078858256340027, 0.35179510712623596, 0.006149704102426767]	[0.9230824708938599, 0.6767568588256836, 0.004644922912120819, 0.9993239641189575, 0.05365271866321564, 0.0034642282407730818, 0.4692985415458679, 0.8977898359298706, 0.4629986584186554, 0.010708341374993324]	[0.9672089219093323, 0.6246213912963867, 0.000588270602747798, 0.9999762773513794, 0.010487963445484638, 0.00041567542939446867, 0.5478184223175049, 0.8679206967353821, 0.2729456126689911, 0.0015959690790623426]	[0.9705772399902344, 0.7848853468894958, 0.0004201656556688249, 0.9999821186065674, 0.017209477722644806, 0.0002067037275992334, 0.6591766476631165, 0.9636147022247314, 0.5835444331169128, 0.000527599360793829]	[0.9642137885093689, 0.6804866790771484, 9.867179323919117e-05, 0.9999963045120239, 0.005660463590174913, 3.5042932722717524e-05, 0.610211968421936, 0.953626275062561, 0.3808002769947052, 0.00032488713623024523]	[0.9855061769485474, 0.7860322594642639, 0.004554898478090763, 0.9992173910140991, 0.1314079761505127, 0.003567795967683196, 0.3543020188808441, 0.9455660581588745, 0.6434288024902344, 0.01662496291100979]	[0.9927935600280762, 0.7666946053504944, 0.0010594910709187388, 0.9999023675918579, 0.051911115646362305, 0.0009345426806248724, 0.5126181244850159, 0.939505398273468, 0.450741708278656, 0.006635981146246195]	
subject2_file_95	[0, 6]	[0.3256763815879822, 0.22363252937793732, 0.04791300371289253, 0.4196765124797821, 0.45185503363609314, 0.05966512858867645, 0.08028078824281693, 0.03781595826148987, 0.06536856293678284, 0.3822439908981323]	[0.270872563123703, 0.1101856604218483, 0.11784994602203369, 0.3442004323005676, 0.6637507677078247, 0.057588763535022736, 0.05681031197309494, 0.30565130710601807, 0.4267982244491577, 0.6968356966972351]	[0.6176180839538574, 0.03438067436218262, 0.024805812165141106, 0.04036205634474754, 0.9582086801528931, 0.013484389521181583, 0.04095086455345154, 0.20582453906536102, 0.15037380158901215, 0.7073081731796265]	[0.5399176478385925, 0.013137409463524818, 0.0027849890757352114, 0.09012370556592941, 0.9630610942840576, 0.001452545984648168, 0.03181798756122589, 0.0516233891248703, 0.026232268661260605, 0.4553040862083435]	[0.6129977107048035, 0.003219848033040762, 0.0005956108216196299, 0.009323198348283768, 0.9905072450637817, 0.0003471402160357684, 0.00480286218225956, 0.03183591365814209, 0.004903336986899376, 0.6758174896240234]	[0.6412278413772583, 0.00032029522117227316, 7.64596406952478e-05, 0.001961297355592251, 0.9925221800804138, 9.059999865712598e-05, 0.002705291146412492, 0.020507778972387314, 0.0027186402585357428, 0.8686075806617737]	[0.7374369502067566, 0.003306939033791423, 0.0001993904443224892, 0.0018573002889752388, 0.9965988993644714, 0.00041918529313988984, 0.0007652376079931855, 0.020498523488640785, 0.002394898096099496, 0.5794519782066345]	[0.983323872089386, 0.000817249936517328, 0.0002028716407949105, 2.8624694095924497e-05, 0.9998513460159302, 0.00034591622534208, 0.00013545426190830767, 0.0028025673236697912, 0.00013174931518733501, 0.8086517453193665]	[0.9502402544021606, 1.5054036339279264e-05, 6.959686288610101e-05, 1.5124070159799885e-05, 0.9998886585235596, 0.0001577172224642709, 7.021040073595941e-05, 0.002211564453318715, 2.0235012925695628e-05, 0.9459211230278015]	[0.9960657954216003, 1.0997786375810392e-05, 2.1728417777922004e-05, 9.590092304279096e-06, 0.9998888969421387, 6.074882185203023e-05, 4.547859862213954e-05, 0.000304832065012306, 3.894656401826069e-06, 0.9729304313659668]	
subject2_file_899	[0, 4, 9]	[0.3582150936126709, 0.311250239610672, 0.09091001003980637, 0.5000162124633789, 0.3761941194534302, 0.07723965495824814, 0.08606907725334167, 0.03824359551072121, 0.041966069489717484, 0.3152836263179779]	[0.5070710778236389, 0.6643224358558655, 0.07612959295511246, 0.3226463496685028, 0.37827280163764954, 0.01857639104127884, 0.012403162196278572, 0.02532508410513401, 0.02835545502603054, 0.18148498237133026]	[0.24258604645729065, 0.360763281583786, 0.008771042339503765, 0.0853729173541069, 0.4433354139328003, 0.001026818878017366, 0.0005683139315806329, 0.012743262574076653, 0.007846476510167122, 0.32037562131881714]	[0.10012640804052353, 0.14821887016296387, 0.0011076851515099406, 0.004734519869089127, 0.7135225534439087, 0.00013119370851200074, 5.389830403146334e-05, 0.005699974484741688, 0.002149607054889202, 0.5057879090309143]	[0.09291322529315948, 0.1510329246520996, 0.0003796085366047919, 0.0005258240853436291, 0.9009911417961121, 4.2873947677435353e-05, 5.834173862240277e-06, 0.0031847762875258923, 0.0004378521116450429, 0.531329870223999]	[0.0634794756770134, 0.14919042587280273, 8.941291889641434e-05, 0.0003238184144720435, 0.834865152835846, 7.211174761323491e-06, 3.7548005593635025e-07, 0.0007179609965533018, 8.701024489710107e-05, 0.24407841265201569]	[0.00041819768375717103, 0.0008113296353258193, 1.0272120562149212e-05, 6.597742321901023e-05, 0.19459621608257294, 0.00014818509225733578, 1.1430188351368997e-07, 0.0001177972590085119, 0.00034798149135895073, 0.9898500442504883]	[0.0005465707508847117, 0.0031958443578332663, 3.8175030567799695e-06, 8.090642950264737e-05, 0.27868276834487915, 5.1750124839600176e-05, 1.8454375805276868e-08, 2.862496694433503e-05, 4.8730100388638675e-05, 0.9308571219444275]	[5.3926182772556785e-06, 0.0005315839080139995, 4.878494905824482e-07, 0.0058194492012262344, 0.19430063664913177, 8.585958312323783e-06, 6.614172320951184e-09, 6.506861245725304e-05, 1.1874703886860516e-05, 0.7544360160827637]	[3.3966696832976595e-07, 0.0003720472159329802, 9.683774671032097e-09, 0.006677354220300913, 0.035835955291986465, 6.342200435938139e-07, 4.5278572557982955e-10, 1.4342358554131351e-05, 1.0835546163434628e-05, 0.5614233613014221]	
subject2_file_368	[4]	[0.39962223172187805, 0.3062845766544342, 0.07633012533187866, 0.45155128836631775, 0.4568573534488678, 0.05894991010427475, 0.06861551105976105, 0.034938253462314606, 0.03556198254227638, 0.33643579483032227]	[0.8477845788002014, 0.8438887000083923, 0.09828519076108932, 0.13734875619411469, 0.7200343608856201, 0.013405411504209042, 0.010158748365938663, 0.04126166179776192, 0.02156783826649189, 0.14292220771312714]	[0.8570336699485779, 0.9373379945755005, 0.025998027995228767, 0.09712359309196472, 0.6765338182449341, 0.0015605965163558722, 0.002599646570160985, 0.017959026619791985, 0.004401028156280518, 0.027527762576937675]	[0.7915075421333313, 0.8638210892677307, 0.002315698890015483, 0.048666536808013916, 0.6647940278053284, 8.173462265403941e-05, 0.0004014006699435413, 0.004543531686067581, 0.0006366752204485238, 0.018068134784698486]	[0.893750011920929, 0.8194969892501831, 0.00033523954334668815, 0.011984895914793015, 0.8289129137992859, 9.258747923013289e-06, 5.882763798581436e-05, 0.0009965967619791627, 4.2176281567662954e-05, 0.014126033522188663]	[0.8571728467941284, 0.476967453956604, 5.835622505401261e-05, 0.008630124852061272, 0.7085997462272644, 1.3541376802095328e-06, 5.169849373487523e-06, 0.00030004969448782504, 8.740149496588856e-06, 0.007481983397156]	[0.21554043889045715, 0.4135899245738983, 2.581752596597653e-05, 0.006192585453391075, 0.12845396995544434, 8.547593097318895e-06, 6.521167961182073e-06, 0.0009102416224777699, 0.00036816770443692803, 0.06382880359888077]	[0.10043173283338547, 0.6175550818443298, 9.05134675122099e-06, 0.0027818402741104364, 0.4209592938423157, 2.0894938188575907e-06, 1.1053359827428721e-07, 0.0003145311784464866, 6.81675664964132e-05, 0.02413664571940899]	[0.0019152252934873104, 0.16657663881778717, 7.307591204153141e-06, 0.00973663292825222, 0.6137903928756714, 2.097908009091043e-06, 3.045857965844334e-08, 0.0005663902265951037, 2.378177123318892e-05, 0.021231941878795624]	[5.276727824821137e-05, 0.004728367086499929, 4.941942410852107e-09, 0.25534161925315857, 0.003024412551894784, 2.8040858524036594e-09, 3.082365696016609e-09, 2.663510895217769e-05, 3.2503442071174504e-06, 0.00822781678289175]	
subject2_file_425	[4, 9]	[0.4043331742286682, 0.2892491817474365, 0.08947719633579254, 0.38741737604141235, 0.5713648796081543, 0.09076453000307083, 0.09652495384216309, 0.09882714599370956, 0.0964801236987114, 0.43737781047821045]	[0.48324403166770935, 0.22679901123046875, 0.24712719023227692, 0.06363455206155777, 0.887596607208252, 0.10987506806850433, 0.03459983319044113, 0.513801634311676, 0.46858641505241394, 0.8387647867202759]	[0.17976507544517517, 0.008781258948147297, 0.023982614278793335, 0.03974924609065056, 0.8057533502578735, 0.01835738867521286, 0.030836379155516624, 0.7128285765647888, 0.7787988781929016, 0.981558620929718]	[0.13227634131908417, 0.0017438981449231505, 0.007016312330961227, 0.003616824047639966, 0.8426952362060547, 0.004946875385940075, 0.02521160989999771, 0.8643734455108643, 0.926861584186554, 0.9972007274627686]	[0.960046648979187, 0.813954770565033, 0.1531819850206375, 0.06399578601121902, 0.9825735688209534, 0.07081212103366852, 0.04245256260037422, 0.7536801695823669, 0.3908708095550537, 0.10700156539678574]	[0.9895888566970825, 0.959985077381134, 0.46934401988983154, 0.03083616867661476, 0.9980925917625427, 0.1578863114118576, 0.010544546879827976, 0.8466092348098755, 0.3185498118400574, 0.02734263427555561]	[0.13215728104114532, 0.005665941629558802, 0.009446167387068272, 8.466365397907794e-05, 0.9912574291229248, 0.07730991393327713, 0.0005794123280793428, 0.7019204497337341, 0.79326993227005, 0.9941555261611938]	[0.035038743168115616, 0.00032330636167898774, 0.006232709623873234, 1.7968131942325272e-06, 0.9934225678443909, 0.11188741028308868, 0.00021587776427622885, 0.6784865856170654, 0.9233496785163879, 0.9998445510864258]	[0.09056472033262253, 0.0002624979824759066, 6.987616507103667e-05, 0.0016117278719320893, 0.9679135680198669, 0.0004638788232114166, 0.00013573690375778824, 0.9429079294204712, 0.55836421251297, 0.9379357099533081]	[0.1332743614912033, 0.022575950250029564, 0.00011030183668481186, 0.23823492228984833, 0.9142560362815857, 0.00041642202995717525, 0.00023105352011043578, 0.9699664115905762, 0.7011197805404663, 0.05037940666079521]	
subject2_file_646	[3]	[0.41312333941459656, 0.26913464069366455, 0.060634028166532516, 0.28214195370674133, 0.5765248537063599, 0.05564263463020325, 0.04219209775328636, 0.02803153358399868, 0.04168408364057541, 0.49160152673721313]	[0.04451720044016838, 0.0571199394762516, 0.007520927581936121, 0.9595164656639099, 0.07518065720796585, 0.0017426287522539496, 0.004007791634649038, 0.017282163724303246, 0.0069504668936133385, 0.1456046998500824]	[0.024898700416088104, 0.026030879467725754, 0.0012925945920869708, 0.990500807762146, 0.040700603276491165, 0.00032930931774899364, 0.002348045352846384, 0.016907453536987305, 0.005201148334890604, 0.11995241045951843]	[0.026448531076312065, 0.025043269619345665, 3.523248960846104e-05, 0.9997907280921936, 0.002226962009444833, 8.46127477416303e-06, 0.0015731160528957844, 0.0025722600985318422, 0.0004967753193341196, 0.006279601715505123]	[0.017993353307247162, 0.010574054904282093, 3.1540816962660756e-06, 0.9999727010726929, 0.0001433280558558181, 1.0146620752493618e-06, 0.0021736689377576113, 0.0006531976978294551, 0.00013727450277656317, 0.01053957361727953]	[0.009549545124173164, 0.0018141710897907615, 2.0174891801616468e-07, 0.9999959468841553, 4.748649189423304e-06, 5.566677785395768e-08, 0.0010189590975642204, 0.00012718509242404252, 4.0852366510080174e-05, 0.012008652091026306]	[0.001404472510330379, 0.0005382100353017449, 3.836990103422977e-08, 0.9999933242797852, 5.353608230507234e-06, 7.337479956959214e-09, 0.0002980041899718344, 0.0003297507355455309, 0.00010541920346440747, 0.03482852131128311]	[0.003525858512148261, 0.0032816084567457438, 2.2123465726053837e-08, 0.9999996423721313, 8.447975119452167e-07, 1.0515723847248637e-09, 0.0004099686339031905, 5.3710049542132765e-05, 1.3864078937331215e-05, 0.00314321368932724]	[0.005783425644040108, 0.003155952785164118, 6.022619913892413e-08, 0.9999984502792358, 1.3672553222932038e-07, 1.4940555459475036e-09, 0.0007446531672030687, 1.3676046364707872e-05, 6.520762781292433e-06, 0.0076058548875153065]	[0.0019717004615813494, 0.006933475378900766, 6.806684105242766e-09, 1.0, 4.670849484966766e-09, 1.1361616508720473e-10, 0.00032482610549777746, 1.2027985576423816e-06, 7.365946430581971e-07, 0.00026292953407391906]	
subject2_file_52	[3, 6]	[0.33177322149276733, 0.3552907109260559, 0.13661426305770874, 0.4468771517276764, 0.3272503614425659, 0.13393153250217438, 0.15236367285251617, 0.05701017752289772, 0.05765245854854584, 0.2960279583930969]	[0.3782792091369629, 0.7010869979858398, 0.024221694096922874, 0.9734987020492554, 0.05214698240160942, 0.01082937978208065, 0.05383751168847084, 0.02479522116482258, 0.008574437350034714, 0.00977685209363699]	[0.3155401051044464, 0.8824527263641357, 0.006147864740341902, 0.9786645770072937, 0.029286112636327744, 0.0026520276442170143, 0.039555568248033524, 0.004742424003779888, 0.0028425732161849737, 0.0031256419606506824]	[0.21492238342761993, 0.8367060422897339, 0.0006660380167886615, 0.9246196150779724, 0.03026857227087021, 0.0008797139162197709, 0.03302764892578125, 0.0002037074591498822, 0.00025044693029485643, 0.0014317380264401436]	[0.20354588329792023, 0.8340837359428406, 0.00016413474804721773, 0.9517657160758972, 0.01634017378091812, 0.0002825346600729972, 0.026512296870350838, 4.0367776819039136e-05, 8.839011570671573e-05, 0.0009711143211461604]	[0.2426011711359024, 0.8664694428443909, 6.445007602451369e-05, 0.9442801475524902, 0.0038931947201490402, 0.0001068084966391325, 0.026540212333202362, 9.383596989209764e-06, 3.570926492102444e-05, 0.0003781647828873247]	[0.8096132874488831, 0.9981502294540405, 6.11156428931281e-05, 0.9996404647827148, 0.00037021696334704757, 5.008560037822463e-06, 0.037265799939632416, 0.0001425835071131587, 0.00027248956030234694, 2.329552808078006e-05]	[0.9380082488059998, 0.9990214109420776, 3.556524097803049e-05, 0.9996784925460815, 0.0001470490387873724, 1.8715321630224935e-06, 0.039873089641332626, 7.761755841784179e-05, 0.00013002836203668267, 1.610744402569253e-05]	[0.7594771981239319, 0.9994528889656067, 0.07659681141376495, 0.5896957516670227, 0.028795786201953888, 0.002365073887631297, 0.0009723090333864093, 8.889807759260293e-06, 0.00014408650167752057, 0.0010723189916461706]	[0.40427497029304504, 0.9995591044425964, 0.020190035924315453, 0.49159157276153564, 0.010807829909026623, 0.0009904135949909687, 0.00014817590999882668, 1.6547306813663454e-06, 8.889194577932358e-05, 0.0007914919988252223]	
subject2_file_123	[0, 6]	[0.30772843956947327, 0.33378517627716064, 0.13278567790985107, 0.6113319396972656, 0.25851866602897644, 0.1152377799153328, 0.1299142837524414, 0.058568213135004044, 0.07095496356487274, 0.2540414035320282]	[0.3616376519203186, 0.5708596110343933, 0.23399250209331512, 0.6456940174102783, 0.18632248044013977, 0.1632256656885147, 0.08620339632034302, 0.07523294538259506, 0.11666461825370789, 0.17021840810775757]	[0.40968337655067444, 0.6695458889007568, 0.22787947952747345, 0.3839475214481354, 0.18976937234401703, 0.17735277116298676, 0.06020814925432205, 0.04163343086838722, 0.058921363204717636, 0.20141763985157013]	[0.6608154773712158, 0.8116447329521179, 0.4180770516395569, 0.08650326728820801, 0.2609650790691376, 0.24462254345417023, 0.02906079776585102, 0.017012719064950943, 0.053078681230545044, 0.31779149174690247]	[0.5459893941879272, 0.6534810662269592, 0.2204764038324356, 0.1150042936205864, 0.095634326338768, 0.14603187143802643, 0.018618792295455933, 0.0088777681812644, 0.03824636712670326, 0.3400859832763672]	[0.40941184759140015, 0.4847792088985443, 0.30306822061538696, 0.024949172511696815, 0.09278613328933716, 0.21682493388652802, 0.006310871336609125, 0.0065566194243729115, 0.042421963065862656, 0.45979925990104675]	[0.679556131362915, 0.972372829914093, 0.4290488660335541, 0.1686718463897705, 0.012095996178686619, 0.06599439680576324, 0.0012793786590918899, 0.0007178033119998872, 0.006110881455242634, 0.12422789633274078]	[0.8673616051673889, 0.9927296042442322, 0.39532938599586487, 0.18955937027931213, 0.007829860784113407, 0.022914117202162743, 0.0004914056044071913, 0.00015821942361071706, 0.001437333063222468, 0.02976243942975998]	[0.7741162180900574, 0.9946379065513611, 0.09172273427248001, 0.9303632378578186, 0.0012070214143022895, 0.0017057281220331788, 0.0026708075311034918, 4.8828482249518856e-05, 0.0001916970795718953, 0.0030435838270932436]	[0.6563695669174194, 0.9985635876655579, 0.048270970582962036, 0.8871367573738098, 0.0009270863374695182, 0.0012933211401104927, 0.0011815075995400548, 1.540069752081763e-05, 8.786068792687729e-05, 0.0019287308678030968]	
subject2_file_821	[0, 9]	[0.2648811936378479, 0.3149122893810272, 0.13356700539588928, 0.5703619718551636, 0.2714257836341858, 0.14691273868083954, 0.20419898629188538, 0.0805172249674797, 0.08991555124521255, 0.26914992928504944]	[0.2642224133014679, 0.26613757014274597, 0.0931384265422821, 0.10344316810369492, 0.5366820096969604, 0.09927123785018921, 0.11977335810661316, 0.017058465629816055, 0.04623540863394737, 0.4283220171928406]	[0.15202723443508148, 0.05618744716048241, 0.01594260334968567, 0.009707729332149029, 0.6827443242073059, 0.044083863496780396, 0.06539362668991089, 0.009294562041759491, 0.03438857942819595, 0.6602962017059326]	[0.03115363046526909, 0.07088328152894974, 0.0009533741394989192, 0.02292768470942974, 0.355903297662735, 0.0021073310635983944, 0.007149003446102142, 0.0004593744233716279, 0.006116795353591442, 0.3277497887611389]	[0.09506627172231674, 0.14885415136814117, 0.002015138976275921, 0.0001390265388181433, 0.9648528099060059, 0.006056006066501141, 0.002336726291105151, 0.00032875908073037863, 0.0024225416127592325, 0.3930972218513489]	[0.020433859899640083, 0.02573859691619873, 0.0005575632676482201, 1.0372914402978495e-05, 0.9966787099838257, 0.004537464585155249, 0.0005176413687877357, 0.00016331778897438198, 0.0025991869624704123, 0.4964059293270111]	[0.03955451026558876, 0.04901111125946045, 7.805384666426107e-05, 1.1673331528072595e-06, 0.9990115165710449, 0.002674539340659976, 0.00033886617165990174, 6.669553113169968e-05, 0.00033704997622407973, 0.5807799696922302]	[0.022382427006959915, 0.08167394250631332, 2.8341548386379145e-05, 1.6803674895982113e-07, 0.9997439980506897, 0.0007060105563141406, 3.0111337764537893e-05, 1.345325381407747e-05, 9.566736844135448e-05, 0.42495059967041016]	[0.013509213924407959, 0.6088758707046509, 1.2397703358146828e-05, 7.253538205986843e-05, 0.9995792508125305, 6.589033728232607e-05, 0.0001392004342051223, 1.53459968714742e-05, 2.027669870585669e-05, 0.004797010682523251]	[0.014292174018919468, 0.7844222187995911, 4.51475943918922e-06, 3.021733573405072e-05, 0.9998416900634766, 5.4835436458233744e-05, 4.568532676785253e-05, 8.087038622761611e-06, 2.3822221919544972e-05, 0.006681688595563173]	
