Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject2_file_457	0	[0.5626976490020752, 0.5870357155799866, 0.5114132165908813]	[0.7950066328048706, 0.39602553844451904, 0.6128034591674805]	[0.8116700053215027, 0.3502528667449951, 0.6570205092430115]	[0.8035985827445984, 0.3145320415496826, 0.6919679045677185]	[0.7712940573692322, 0.23172880709171295, 0.8250616192817688]	[0.7429981827735901, 0.27097025513648987, 0.8250613212585449]	[0.7204813957214355, 0.2625296413898468, 0.8416193127632141]	[0.6878272294998169, 0.2555161714553833, 0.8623308539390564]	[0.64715975522995, 0.25588247179985046, 0.8829345107078552]	[0.5997890830039978, 0.2526673972606659, 0.9017890095710754]	
subject2_file_679	0	[0.8515800833702087, 0.3745524287223816, 0.41114887595176697]	[0.9512444138526917, 0.18193843960762024, 0.44781842827796936]	[0.9742556214332581, 0.12103060632944107, 0.4547581076622009]	[0.9783819913864136, 0.16471368074417114, 0.3681040406227112]	[0.9095925092697144, 0.3148411810398102, 0.6550162434577942]	[0.950596272945404, 0.24865591526031494, 0.5662208199501038]	[0.9487268924713135, 0.2390611469745636, 0.6044432520866394]	[0.9473822116851807, 0.23228292167186737, 0.6346947550773621]	[0.9406733512878418, 0.23444035649299622, 0.6707599759101868]	[0.9355231523513794, 0.24072785675525665, 0.6905145049095154]	
subject2_file_95	0	[0.7518514394760132, 0.4495489299297333, 0.40328627824783325]	[0.8338030576705933, 0.239104762673378, 0.5048387050628662]	[0.8045063018798828, 0.3130956292152405, 0.5471562743186951]	[0.9426705837249756, 0.11193634569644928, 0.4995505213737488]	[0.8823894262313843, 0.1939491182565689, 0.5550751686096191]	[0.8850603103637695, 0.2381901741027832, 0.4841156005859375]	[0.8898840546607971, 0.20065683126449585, 0.5219672322273254]	[0.911014199256897, 0.14432066679000854, 0.5314735174179077]	[0.9280503392219543, 0.10380998998880386, 0.539416491985321]	[0.937004029750824, 0.09016595780849457, 0.5327723026275635]	
subject2_file_899	0	[0.45804154872894287, 0.40264344215393066, 0.5828903913497925]	[0.5410815477371216, 0.16970695555210114, 0.7223444581031799]	[0.4524935483932495, 0.10181161016225815, 0.8104968070983887]	[0.35009950399398804, 0.09340667724609375, 0.8098329901695251]	[0.17931781709194183, 0.6675889492034912, 0.5423574447631836]	[0.18451958894729614, 0.43665069341659546, 0.6562883853912354]	[0.21279573440551758, 0.40203461050987244, 0.6434920430183411]	[0.245976060628891, 0.3729858994483948, 0.6257594227790833]	[0.2728385627269745, 0.3692713677883148, 0.5957797169685364]	[0.29354795813560486, 0.36553701758384705, 0.5779023170471191]	
subject2_file_368	0	[0.486448734998703, 0.4382011890411377, 0.6005715727806091]	[0.4989670515060425, 0.39927545189857483, 0.6965211033821106]	[0.49675503373146057, 0.22842620313167572, 0.8175415992736816]	[0.3602360486984253, 0.14226248860359192, 0.8953515887260437]	[0.20558176934719086, 0.10041948407888412, 0.940068781375885]	[0.20213058590888977, 0.11531602591276169, 0.932266354560852]	[0.1891201287508011, 0.09953376650810242, 0.9385836124420166]	[0.17204737663269043, 0.09008298069238663, 0.9440970420837402]	[0.1605946570634842, 0.08052095025777817, 0.9493827223777771]	[0.1490233689546585, 0.07580330967903137, 0.9539631009101868]	
subject2_file_425	0	[0.6408576965332031, 0.44282904267311096, 0.42952272295951843]	[0.4590519070625305, 0.6405600905418396, 0.5008659362792969]	[0.3272570073604584, 0.7968196868896484, 0.4539985656738281]	[0.30166324973106384, 0.7770423889160156, 0.5046002268791199]	[0.331405907869339, 0.7065603137016296, 0.7192707657814026]	[0.25254565477371216, 0.8196263313293457, 0.568946123123169]	[0.17586660385131836, 0.8862854838371277, 0.50133216381073]	[0.15361762046813965, 0.9049875140190125, 0.4998323917388916]	[0.14056631922721863, 0.9154932498931885, 0.5056711435317993]	[0.13283903896808624, 0.9219436645507812, 0.515445351600647]	
subject2_file_646	0	[0.40147268772125244, 0.4158606231212616, 0.6542789340019226]	[0.4067372977733612, 0.2680901288986206, 0.7838284969329834]	[0.3960660696029663, 0.18379715085029602, 0.8586727976799011]	[0.34013670682907104, 0.151201993227005, 0.8916863799095154]	[0.33179911971092224, 0.20287208259105682, 0.8555077910423279]	[0.3715892434120178, 0.1742764115333557, 0.8749346137046814]	[0.3817592263221741, 0.17282691597938538, 0.8749351501464844]	[0.3896806836128235, 0.17331725358963013, 0.8758484721183777]	[0.3947446048259735, 0.17026345431804657, 0.8777517080307007]	[0.3896256685256958, 0.16977497935295105, 0.8825024962425232]	
subject2_file_52	0	[0.6229795813560486, 0.46221405267715454, 0.502203643321991]	[0.3167436718940735, 0.8502716422080994, 0.37976473569869995]	[0.2848954498767853, 0.9294171929359436, 0.26583579182624817]	[0.4453827738761902, 0.936467707157135, 0.19949394464492798]	[0.4031067490577698, 0.9535537958145142, 0.19369949400424957]	[0.561052143573761, 0.8955197334289551, 0.19052377343177795]	[0.577465832233429, 0.8914539217948914, 0.18994227051734924]	[0.576917827129364, 0.8974774479866028, 0.18705116212368011]	[0.5732004642486572, 0.9025675654411316, 0.1850767284631729]	[0.5804681181907654, 0.9082697033882141, 0.17946848273277283]	
subject2_file_123	0	[0.32120630145072937, 0.526488721370697, 0.5884705185890198]	[0.2851695418357849, 0.4356946051120758, 0.6674700379371643]	[0.43529006838798523, 0.8514543771743774, 0.3622472882270813]	[0.7251315116882324, 0.4695311486721039, 0.46090665459632874]	[0.6567877531051636, 0.8801924586296082, 0.30664536356925964]	[0.7721666693687439, 0.7910845279693604, 0.3200889527797699]	[0.722759485244751, 0.8613961935043335, 0.24808913469314575]	[0.7696905732154846, 0.8728276491165161, 0.16971412301063538]	[0.7956418395042419, 0.825505256652832, 0.20241084694862366]	[0.8071340322494507, 0.8005748391151428, 0.2189803421497345]	
subject2_file_821	0	[0.7929887175559998, 0.37150999903678894, 0.412519633769989]	[0.7352521419525146, 0.41613394021987915, 0.48837172985076904]	[0.8231543302536011, 0.37356311082839966, 0.49254855513572693]	[0.9146788716316223, 0.32388752698898315, 0.3954177498817444]	[0.8527407646179199, 0.4667395353317261, 0.4703322947025299]	[0.7864058017730713, 0.5795271396636963, 0.4832517206668854]	[0.7709364891052246, 0.5872839093208313, 0.5282282829284668]	[0.744015634059906, 0.6116148233413696, 0.5685586929321289]	[0.7262065410614014, 0.6227051615715027, 0.6046783924102783]	[0.7164517641067505, 0.6354563236236572, 0.6280650496482849]	
